,youtube_id,comment,like_num,comment_date
0,nyoungs,언니 영상이라면 일단 다 좋은데 그중에서 제주도 있을때는 찐으로 행복해보이는게 잘 보여서 저까지 다 기분좋아져요ㅠㅠ 그나저나 순대집 진짜 맛있어보여요!! 나중에 저도 꼭 가볼래요!!!!,6.0,11개월 전
1,usertz6my7om2h,와 하마씌가 늘씬자피를 가지고 다닌다니!!! 너무 신기해요 ㅋㅋㅋㅋㅋㅋㅋㅋ 그만큼 찐인가보닼ㅋㅋㅋㅋㅋ 바위랑 잘 어울린다고 했을 때 넘 웃겼구요 ㅋㅋㅋㅋㅋㅋ 즐겁게 보내셔서 다행이에요~~~,2.0,11개월 전
2,userpt3ep8hr5r,하마님이랑 하늘님 보면 극강의 e와 i의 조합인 거 같아서 너무 재밌어요ㅋㅋㅋ 곧 다가올 결혼 미리 축하드립니당!!!!,7.0,11개월 전
3,userhr2bc1bl7z,오늘도 하늘님 제주도 파르나스 데이트 브이로그 영상 재밌게 잘봤습니다.하늘님 10월에도 방송 열심히 하시고 행복하세요.ㅎㅎ,4.0,11개월 전
4,chloewc1xl,순대 때문에 제주도 가고싶은건 처음..  늘 맛있는 맛집들 공유해주셔서 감사해요 하늘님♡,0.0,10개월 전
5,heeyamu3150,"넘나 재밌었던 이번 브이로그
저도 제주로 떠나고싶어용",2.0,11개월 전
6,happyhyepic8906,하마님이 늘씬자피 홍보(?)해주시니 몬가 제품에 대한 진지함이 묻어나요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,22.0,11개월 전
7,Luv3U,"하늘님!! 결혼하시고도 브이로그 많이
올려주셔야해요 늘 잘 보고있어요 하늘️",1.0,11개월 전
8,diary7870,언니 너무 잘보고 가요,2.0,11개월 전
9,useryo3qx3ey6z,언니 나중에는 부산도 가주세요!,8.0,11개월 전
10,usertr7wi2se7k,와우 제주도 여행을 다녀오셨네요 고급 호텔로 잡으셔서 해외여행 오신거 같으세요 추천 음식으로는 유명한 고등어회 추천드려요 꼭 드셔보세요,1.0,11개월 전
11,asmaavlog85,당신의 비디오는 매우 차분하고 심미적이어서 모두가 원하는 것입니다 ️,3.0,11개월 전
12,rose0920jyh,전 추석때 부터 코로나 걸려서 생일도 우웅하게 보내구 아직도 후유증으로 고생중이네요 ㅠㅠ 호캉스 너모너모 가고싶다아 ㅠㅠ 곧 결혼기념일인데 ㅠㅠ,1.0,11개월 전
13,jijidm9oc,너무 재밌어요 브이로그맛집 하널,0.0,11개월 전
14,userkq6lo9bc4u,인형이네요..사랑스럽네요 반디 ,4.0,11개월 전
15,userxk4kc9xd5v,즐거운 연휴 보내세요,2.0,11개월 전
16,userog5lg8sk9y,7:07 하마님 은근 개그캐 ㅋㅋㅋㅋㅋㅋ 웃겨용,5.0,11개월 전
