,youtube_id,comment,like_num,comment_date
0,Pillloveya,목소리랑 영상에서 느껴지는 전체적인 분위기랑 찰떡이네용 ! 좋은 노래 잘 듣구 갑니다 ~,1.0,11개월 전
1,lemony1009,센치하면서 몽환적인 그 느낌의 목소리,4.0,11개월 전
2,usersz1cs7sv1p,목소리 너무 좋아 미쳤다 ️,0.0,10개월 전
3,heeyamu3150,민초님 스물다섯 스물하나 듣고 제 최애곡이되어서 애창곡까지 되었는뎅 이곡도목소리랑 너무 잘어울려용,0.0,10개월 전
4,dinnail,안녕하세요ㅠㅜ 혹시 커버할 때 사용하시는 마이크랑 프로그램 알 수 있을까요?? 노래 커버 너무 하거 싶어서 이런 저런 영상 찾아보다가 진짜 레전드인 거 같아서 초면에 여쭤봐요ㅠㅠ 노래 진짜 후... 너무 잘 하세요 정말...,0.0,9개월 전
5,userro6xq9lp7k,오랜만의 영상  허스키한 목소리가 좋습니다,1.0,11개월 전
6,seochocityboy,갓민초 폼 미쳤따이,0.0,1개월 전
7,userxc6hs6gl5z,도대체 누나가 못하는 건 뭔가요 도대체 증말,1.0,11개월 전
8,ehdgns1996,,0.0,9개월 전
9,legend48840,민초 사랑해!,1.0,11개월 전
10,aorkgoftm,이쁜사람이 이쁜짓 ㅎㅎㅎ ️  ,1.0,11개월 전
11,userqw6ix6lv1m,와우 오랜만 여자여자해지셨네,1.0,11개월 전
12,JINblue,왤케 반쪽이 됐어요~?,1.0,11개월 전
13,usergv8mw5js7i,우 런 니 예 브 다 체 고 다,3.0,11개월 전
14,knight61857,누나!!!! 볼살 어디 갔어요??? 나 누나 볼살 못 잃어!!! 다시 붙여오세요~ ,0.0,10개월 전
15,userlm7xd6wv9u,개.이.뻐,0.0,10개월 전
