,youtube_id,comment,like_num,comment_date
0,userbasasac,저렴이 니트 먼저 보고 왔는데 확실히 저가제품이랑 비교해보니까 짜임새부터 마감처리 표면감까지 차이가 나긴하네용 ,12.0,8개월 전
1,usernp3gf4on8h,와 니트 딱 필요했는데 !!!! 오늘따라 오자님 감정색이 고급스럽게 잘 어울려요••• 컷팅 들어간게 과하지 않아서 엄청 궁금해요🥹,3.0,8개월 전
2,junekim2325,코스 니트 품질 좋아서 오래입게 되더라구요  저는 오히려 너무 저렴한것보다 십만원대가 스테디로 딱좋았어요 ,13.0,8개월 전
3,uservw8ec9zu3u,"여윽시 겨울옷은 비쌀수록 이쁘다... 겨울옷은 외투 안에 입기때문에 그냥 좀 대에충 입어서 가성비로 사면 진짜 내년에 못입겠더라고요..ㅋㅋㅋ 다시 입을라고 하면 손이 안가는 ㅠㅠ
파란색 니트들 넘오 이뿌네요>_< 마지막 니트도 넘 이쁜데 요롱이인 저한테는 가슴가리개일듭...따흙",19.0,8개월 전
4,userqb9zb3ud6c,겨울에도 블루컬러 넘 이쁘네용!!!️,2.0,8개월 전
5,userwe3wg7zz9i,니트가 10-25만원대 저에겐 허들이 너무 높습니다 허헛 ㅎㅎ 저렴이 니트 영상 기다릴께요 가성비 니트템♡,182.0,8개월 전
6,setnewhandle,네번째 니트 눈여겨보고 있었는데! 니트 10만원은 줘야 괜찮은 거 같아요 그래서 할인상품 찾아보고 있어요ㅋㅋㅋㅋ 2편 기대할게요!,1.0,8개월 전
7,sumlee7116,터틀넥 니트 완전 눈에 쏙 들어왔는데 품절이라니요... ㅠㅠ 예쁜 니트들이 많네요~,0.0,8개월 전
8,useroj9co3kf2e,요즘에 진짜 어쩜 그리 궁금한거만 알려주시는지... 진짜 사랑해여...,5.0,8개월 전
9,KongKing,블루 니트 너어무 예쁘네요 오늘도 잘 봤어요 너무 두꺼운 니트는 아우터 안에 입기 불편할 때도 있고 부해보이기도 하더라구요 이너로 입기 좋은 얇은 니트도 소개해주세요!! 저렴이 니트도 업데이트 기다릴게요~!,2.0,8개월 전
10,dlk451,고렴이 니트 기다리고있었어요 감사합니다 나이드니까 퀄리티 있는걸 원했어요 ㅠ,3.0,8개월 전
11,half5233,고렴이 니트도 보풀은 날텐데 뭐가 다를지 궁금했는데 봉제선에 차이가 있군요!,8.0,8개월 전
12,userbt8qe4ry2x,언니가 썸넬에 들고있는 코스 니트 여쿨라이트 보고 헉 이건 내꺼야!!하고 왔다가 가격에서 조용히 손절..허허.. 25만원.. 왜 젤비싸냐.. 저렴이 버젼 존버탑니다..,0.0,8개월 전
13,userml3xz3ju6e,오랜만에 보러왔는데 더 예뻐지신거같아요!! 귀걸이 추천도 해주세요!!! (어그때 신은 귀걸이도 찰떡이었어요!),0.0,8개월 전
14,siwooly,코스 품질 최고죠... 갠적으로 자라 니트도 관리 잘하면 몇 년 이상 입는거수같아용  니트는 이제 비싼걸로 사서 오래 입는게 돈 아끼는 것 같아요,0.0,8개월 전(수정됨)
15,soyeon8560,"어머 오자님 영상소개때 입으신 옷 넘 이뻐욤여리여리하셔서 더더욱 찰떡이예욤
코스 라이트블루니트 색감무슨일이죠?
파스텔톤 러버라서 호다닥 달려왔네욤 ㅎㅎ",1.0,8개월 전(수정됨)
16,brmv,입고 계신 검은티? 니트?가 제일 예뻐요! 잘어울리시네요!,27.0,8개월 전
17,DARAMK,"오자님이 진짜 여기는 믿고 살 수 있다! 아니면 참새가 방앗간 들리듯 자주 드나드는 애정하는 브랜드, 인쇼도 궁금해요!!!",0.0,8개월 전
18,userlm8ir8cx4p,"니트 화면상으로도 이쁘고 좋아보여용,,, 가격대는 조금 거리감있지만(ㅋㅋ) 털빠짐 너무해
검정색도 잘어울리는 지존짱오자님 아름답다...",1.0,8개월 전
19,userxk6qo4rd4z,저렴이 니트 존버탑니다..️‍,0.0,8개월 전
20,dandelionlily,언니가 입고 있는 니트가 제일 예뻐요.. 우아 섹시 다 하는..,19.0,8개월 전
21,userst6gb8uk5g,"코스 예쁜데 가격이 저렴이 버전도 기대할게요
입고 나오신 니트는 어디 걸까요?",0.0,8개월 전(수정됨)
22,userjc6jj9rr8j,옷세탁 잘못해서 하루만에 산 폴로니트 유아사이즈로 줄어든 이후로 조금 나가는 니트 구매를 안하고있어요 다음편 기대할게여..,1.0,8개월 전
23,jellybelly8681,믿고보는 오자님 추천템..,0.0,8개월 전
24,usernt3md2xl4d,입고계신 니트 정보 궁금해요!!,0.0,8개월 전
25,userpg3qq6hb8p,착용하신 검은색 니트도 정보 궁금해요!,1.0,8개월 전
26,userbm2tw2hu7x,옷 구입할 때 무조건 참고하고 있어요 !! 혹시 보풀제거기 추천해주실 수 있나요? 보풀제거방법 알려주세요ㅠ,0.0,8개월 전
27,userbj8qc9te1v,"니트가 예뻐요 
오늘도 잘 볼게요",0.0,8개월 전(수정됨)
28,usergt9oo4fn4t,블루 러버인 저한테 너무 취저인 색감이네요 입고계신 검은 니트는 어디 제품인가요??,9.0,8개월 전
29,userxk4kc9xd5v,오자님 행복한 연말 되세요,1.0,8개월 전
30,userem1ov7pb3e,8:48 입고 출근하면 단추가 상사한테 실눈뜨고 쳐다보는 느낌을 주고 너무 좋을듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ (조크조크),2.0,8개월 전
31,useryx5ye4pp1l,바이탈사인 저번 영상에서 넘 잘어울리신다고 어디꺼냐고 달았었는데..!! 다시 봐도 예뻐요ㅠㅠ근데 바스트가 있으면 크게 입으시라 하셨는데 저 옷은 딱 맞게 입어야 예쁘죠..? 마른 체형이라 바스트에 맞춰 크게 입으면 부해보일 때가 있어서요,0.0,8개월 전
32,yewonj,코스 캐시미어 니트 라이트 블루 색감이 예쁜 거 같아요.,0.0,8개월 전
