,youtube_id,comment,like_num,comment_date
0,euneun9813,에잇세컨즈가 뭔가 올해부터인지 디자인이랑 사이즈가 다양하게 많이 나오더라구요! 예전엔 가도 딱히 살게 없었는데 요즙엔 질도 괜찮고 디자인+사이즈 다 좋아서 여름옷 8초에서 엄청 샀어요 근데 이 영상보니 또 한번 구경 가봐야겠다는 생각이 드네요!!,15.0,2개월 전
1,na00,"원래 패션 하울, 리뷰 볼 때 같이 쇼핑하는 장면은 스킵하는데, 오자님 영상은 다 보게 되는 매직",84.0,2개월 전
2,levi19871,제 최애 spa 다뤄주셔서 너무 감사합니다 패션유튜버 중 유일하게 믿고 보는 오자님 영상...!! 오자님 영상은 건너뛰기 한번도 안하고 다 챙겨 보는 거 같아요. 영상에서 입으신 옷들 오자님이랑 다 찰떡이네요. 특히 검은색 원피스+실버백+오자님 헤어스타일까지 찰떡궁합 이번 여름에만 8초에서 50만원 부었는데 신상 보고나니 100만원 채우게 생겼습니다ㅋㅋㅋ,16.0,2개월 전
3,nbnb56,"본인에 맞게 사이즈선택 잘 하시는거 같아서 볼때마다 감탄해요. 전 교환,반품비 혹은 결국 불편해서 안입고 처박템이ㅠㅠ",5.0,2개월 전
4,userom2nd8tr2w,와 오늘 리뷰템 진짜 다 넘 이뻐요. 혼자 쇼핑갔으면 안쳐다봤을 제품인데 언니가 입은거 보니까 구매욕이 상승해요ㅋㅋㅋ언니랑 키가 똑같아서 쇼핑할때 기장감 참고하기 좋아요,28.0,2개월 전
5,hhy23,"에잇세컨즈.. 매장에서도 온라인몰에서도 제품이 너~~무 많다보니 잘 고르기가 쉽지 않은데 이번에 오자님 픽은 대부분 다 성공인듯요~~
거기다 오자님께서 센스있게 코디를 딱 잘하시니까 더더 예뻐보여요!!",8.0,2개월 전
6,userdc2kc7pz3j,"에잇세컨즈 진짜 좋아하는데 너무 잘봤어요 저도  최근에 에잇세컨즈 성공 많이 한 거 보면 제품이 다 괜찮은 거 같아요 무난템, 데일리템 추천도 너무 좋고 브랜드하울 하실 때마다 그 브랜드에서만 볼 수 있는 조금은 실험적인 아이템까지 소개해주셔서 너무 좋아요! 에잇세컨즈에서 롱스커트 다른거 사봤는데 그건 너무 좋더라구요 세일해서 2만원 안쪽에 핏도 괜찮고 다양한 상의랑 잘어울려서 활용도가 말도 못하게 좋아욬ㅋㅋㅋㅋ 만족중입니다 니트가디건 산 것도 너무 만족스럽게 잘 입고있구요 여름인만큼 롱스커트 영상도 찍어쥬시면 좋을 거 같아요 다음 영상도 기대할게요!",1.0,2개월 전
7,userun2er6ff7c,가성비 좋아서 애용하는 브랜드인데 신상 이쁜거 많이 나왔네요~ 이번 영상도 솔직 깔끔해서 시간 가는줄 모르고 봤어요,8.0,2개월 전
8,bbung8127,"오프라인 쇼핑할 때마다 방문하는 에잇세컨즈... 집에만 벌써 다섯 벌이 넘게있네요 오자님이 고르신 옷들 보니까 또 쇼핑 하러가고 싶어졌어요,, 추천하는 아이템들 오프라인에서 보면 피팅해봐야겠어요 히히",1.0,2개월 전
9,cuzim2spicy4urs2,오자님 하울영상 너무 좋아요~~~ 에잇세컨즈는 시즌별로 정말 유행템 잘 만들어서 나오더라구요 . 퀄리티는 겨울아우터는 삼성물산쪽은 별로였고 이랜드쪽 미쏘 이런곳들이 진짜 잘만들더라구요~~~^ ^,14.0,2개월 전
10,userzk8iu5ge6v,오자님 간만에 쇼핑 대성공하셔서 업되신거 보니깐 오구도 덩달아 기분이  좋아져 버렸습니다용..ㅋㅋㅋ 전 에잇세컨즈 좀 둘러보러 가야겠어요 총총..,19.0,2개월 전
11,ryurimental,나일론 후디 모자 쓰신거 보자마자 흡! 했어요!!! 너무 귀여워요 오자님 에잇세컨즈 따라 들어갔다가 구매 해버렸어욬ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 생각보다 퀄리티가 좋은 옷들이 많아서 놀랐어요 좋은 옷 소개 감사합니당!!>~<,1.0,2개월 전
12,kkomi,에잇세컨즈 할인할때 한두시즌동안 입을 반팔니트들 구매하기 넘 좋아요 몇년째 애용중 오늘 보여주신 원피스 눈여겨보는 중입니다ㅎㅎ,3.0,2개월 전
13,useruc2pt5sd4h,"에잇세컨즈 트렌드 반영잘하고 은근 다 예뻐서 가면 눈돌아가요! 오자님 픽들 다 예뻐서 텅장되는건 시간문제
경량셔링점퍼 착샷에 나오는 선글라스 정보도 궁금해요",7.0,2개월 전
14,Kkvh2zx,에잇세컨즈 요즘은 트렌드 반영한 디자인 많아져서 자주 구매하게되는곳인데 오자님 픽 옷들 마음에 드는거 너무 많아요~~~,5.0,2개월 전
15,SEUUUL,"ㅋㅋㅋㅋ 찐텐 나올때마다 너무 귀염뽀짝하십니다요... ㅋㅋㅋㅋ 
전 에잇세컨즈 바지가 좋아서 바지만 사봤었는데 가방 블라우스 원피스 다 예쁘네요! 구경가야겠어요 ㅎㅎ 
 특히 오자님한테 원피스 진짜 찰떡..
머리부터 발끝까지 코디를 정말 잘하시는 거 같아요",1.0,2개월 전
16,myungkikim7902,오자님 리뷰는 재밌게 볼수 있어서 좋아요 ㅋㅋ 에잇세컨즈는 그다지 입어본 경험이 없는spa브랜드인데 괜찮게 나오네요,1.0,2개월 전
17,andante86,에잇세컨즈 호보백은 진짜 별기대안하고 샀다가 휘뚜루 마뚜루 맨날 드는 가방인거 인정이요. 디자인은 예쁜데 간혹 원단이 안좋거나 실이 간지러울때가 있어서 조심해서 골라야 되는 경우가 있어서 좀 그래요.,4.0,2개월 전
18,KongKing,에잇세컨즈 자주 이용하는데 제품이 너무 많아서 보다가 항상 지치거든요ㅋㅋㅋ 오자님 코디 보고 바로 지르러 가고싶어졌네요ㅋㅋ 항상 후기가 솔직해서 좋아요! 좋은 영상 고맙습니다,1.0,2개월 전
19,userkx7jg2pd1c,후디 쓴 모습 너무 귀엽구여ㅠㅠ 실버백 진짜 찰떡이에요!,0.0,2개월 전
20,userlr3xe3xr5m,쇼핑몰 둘러보기 컨텐츠 좋네요 뭘 중점적으로 봐야할지 집어주셔서 보여주신 제품 말고 다른 제품 구입할 때에도 도움이 될 것 같아요,3.0,2개월 전
21,userxy8ob6vt6m,"에잇세컨즈는 전체적으로 폼이 넉넉하구 하의기장감이 길게 나온답니다 ㅎㅎㅎㅎ
그래서 보세에서 절대 원피스/ 바지못사는 172저에겐 뭐를사도 넘 잘맞고 좋아요 ㅠㅠㅠ
퀄도 좋고 가격도 합리적 !ㅎ 특히 바지맛집입니다 ㅎㅎㅎㅎ",10.0,2개월 전(수정됨)
22,gubbongpeace,"에잇세컨즈 넘 좋아요..! 스파브랜드 중에서는 에잇세컨즈만 이용함., 매장 구경가도 꼭 하나씩 마음에 드는 것들이 있어서 맨날 사옴 ㅠㅠ 이번에 세일로 네이비 나일론 반팔 셔츠도 하나 건졌어요 지금은 품절이던데 온라인에서 산 거치고 너무 잘산 옷입니다 ㄷㄷ 개꿀",2.0,2개월 전
