,youtube_id,comment,like_num,comment_date
0,yony675,아니 소라님 세상 도도하게 생기셔서는 실제론 넘나 큐티뽀짝하시네여,258.0,1년 전
1,userps3li4fz1h,소라님 3ce정체성 그 자체…인형닽아요 너무 예뻐요,16.0,1년 전(수정됨)
2,jonnathewar,와 저 분 말하시는거 처음 봐요.... 신기하다,11.0,1년 전
3,userer1ud6yj8p,옥쌤님 메이크업 디테일도 미뗬고..이세상 미모 아닌 바츄얼 같은 소라님 미모도 미뗬고.. 요번 컬렉션 촤고 조합은 옥쌤 소라 조합..,7.0,11개월 전
4,soo889,"공홈에서 사진으로만 모델 분 볼 땐 세상 차갑고 도도해보이셔서 제가 감히 말도 못 걸어볼 것 같아보였는데 ㅎㅎ 너무 귀여우세요️
그나저나 옥쌤 의상이랑 헤어 너무 귀여우세요! 이번에도 좋은 영상 감사해요",79.0,1년 전(수정됨)
5,daebakdaebak465,3ce 섀도팔레트 모델컷만 보면 실생활에서는 어떻게 조합해서 메이컵할수있을까.. 고민하면서 사용했는데 따라해보고싶게 옥쌤이 잘 가르쳐주시니 넘 좋네요,26.0,1년 전
6,usertd8du1xg5c,역시 옥쌤 메이크업 짱!!! 개인적으로 옥쌤 메이크업이 젤 예쁘고 뭔가 남들과 다르게 특별한거같아요 모델분도 예쁘지만 옥쌤도 예뻐요>< 앞으로 옥쌤이 더 잘되셨음 좋겠어요,17.0,1년 전
7,hyejinmin8785,잉 메이크업 너무 이뻐요 ㅠㅠㅠㅠㅠ 옥쌤 최고️,19.0,1년 전
8,Loveiu5ez,옥쌤 정말 너무너무 오랜만이예요오 ㅠㅠ 보고싶엇어요 ️ 항상 좋은 영상 보여주셔서 감사합니다 ! 옥쌤 항상 건강하셔야해요 ,22.0,1년 전
9,pplattee,Finally I get to see her in person. I always loved her for stylenanda shoots️,7.0,1년 전
10,iiyagi,옥쌤 앞머리 되게 잘 어울리신다...,39.0,1년 전
11,usertp4kj5fg9d,옥쌤영상~ 하나도 빠짐없이 다 보고있는데...옥쌤 셀프메이컵영상~ 이 가장&최고로 좋은영상인것같습니다~~!! 메이크업 할때마다 옥쌤영상틀어놓고 옥쌤&옥희 브러쉬로~메이크업 하는데...옥쌤 셀프영상~ 강력하게 보여주시길 촉구합니다~~!!!!,21.0,1년 전
12,usergg7nu6yt4r,와 얼굴이 매력있게 개이쁘다,2.0,8개월 전
13,plsachikolq,これも日本語ありがとうございます️チークの色合い、めちゃくちゃかわいい〜〜,0.0,5개월 전
14,Taekyussam,저도 이런 메이크업 해보고 싶습니다.... 분위기가 넘사,5.0,1년 전(수정됨)
15,soominp3416,"블러셔 너무 이쁘고 팔레트 다 소장하고싶네여
옥쌤~!옥펄 출시 목빠지게 기다리구잇어여!!
출시되면 쟁여둘거에여~!~!~!",3.0,1년 전
16,userhh1dd6xe1z,진짜 잘어울리신다 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ,2.0,1년 전
17,userjk5uu8nb4d,와 진짜 너무 예쁘시다...,15.0,1년 전
18,daebakdaebak465,케이스 완전 고급지고 이쁘네요,4.0,1년 전
19,userpu4hb8ho9h,"소라님 얼굴 보고 화들짝 놀라서 들어옴
인간 3ce 소라님 너무 좋아요ㅠㅠㅠㅠㅠㅠ",2.0,11개월 전
20,heeiiisso,3ce신상 너무 이뻐요.모델분들도 넘 이쁘세요.섀도우팔레트 갖고싶어요.,5.0,1년 전
21,DNDD0101,모델분한테 완전 찰떡 ㅋ 색감 넘 예뻐요,6.0,1년 전
22,userbh2rf2cz1s,와 너무 예뻐요 ㅠㅠ 사고싶다 구매예정입니다,7.0,1년 전
23,userbh2rf2cz1s,옥쌤 진짜 다 사고싶어요ㅋㅋㅋㅋㅋㅋ와 이번에 대박이다 진짜,4.0,1년 전
24,Chickenmansei,헐 이분 3ce의 상징이시잖아요 넘모이뻐 ㅠㅠ,19.0,1년 전
25,uncooll,와 잘어울려요!!!!,4.0,1년 전
26,janeinseoul6881,앗 미드센츄리st 케이스 ️️️take 1 2 3 모두 예뻐요 ㅜㅡㅜ .... 그나저나 언니가  3ce모델한테 3ce 블러셔 사라고 ㅋㅋㅋㅋㅋㅋ 영업하시는거 너무 웃겨요 ㅋㅋㅋㅋㅋ,3.0,1년 전
27,userkm6uw9cu7o,옥쌤이 눈가에 사용하신 베이스(옐로우브라운?색)섀도우 색 과 애교살 컬러 궁금해요 ㅠㅠ 넘예,1.0,1년 전
28,userpz4yl9sb4b,"3ce… 너 이녀석 드디어 찐쿨톤 내준거니...?
그나저나 케이스 이번에 너무 이쁘네요 ㅠㅠ",38.0,1년 전(수정됨)
29,userxf2ek6gy9j,뉴테이크 짱예,0.0,1년 전
