,youtube_id,comment,like_num,comment_date
0,usercx1fc7hp4i,우와 메컵 색감을 어쩜 저리 이쁘게 하시지...,3.0,11개월 전
1,lastpartymm,메이크업 너무 맑고 예쁘네요!,1.0,11개월 전
2,usered5ez4dx9k,화장 너무 이뻐요 ㅎㅎㅎ,0.0,11개월 전
3,ksjmj0102,신부님 완전 청초,2.0,11개월 전
4,Bellaiu7ue,초밀착 영상 넘 좋아요,2.0,11개월 전
5,angelhs5kl,와 넘 예뻐... 여신이다 ㄹㅇ,0.0,6개월 전
6,ssm6416,옅은화장인데도 넘 이뻐요,0.0,11개월 전
7,Eueu4544,옴겼어요—> 옮겼어요,48.0,11개월 전
8,eexsohee,렌즈정보 너무너무 궁금해요 ㅜㅜ,0.0,11개월 전
9,SUNke5pu,너무이뻐요 혹시 렌즈정보도알수잇나요,7.0,11개월 전
10,userro2jd1tg2v,옮,18.0,11개월 전
11,SMEA109,3:06 립스틱정보 궁금해요,0.0,9개월 전
12,usermh5tb1lt8d,메이크업 샵 어딘가요?,1.0,7개월 전
13,riri90kim81,렌즈정보좀요,0.0,10개월 전
14,userxp6fn7ef1r,맑,0.0,11개월 전
