,youtube_id,comment,like_num,comment_date
0,jiyoungleeeo8bz,확실히 아티스트가 경험에 의해서 쉽게 설명해주니까 구매할때 너무 좋네요 ㅠㅠ 사랑해요 온리원,4.0,10개월 전
1,fromempathytoresonance,"얇은 속쌍커풀 메이크업 영상 닳고 닳도록 봤는데 이번에도 넘 유익해요...ㅠㅠㅠㅠㅠ 마침 지난번 영상보고 사서 잘쓰던 깜빡 속눈썹 다 사용해가길래 몇미리 기둥 몇 개 까지 살까 고민하고있었는데 고민 할 필요도 없이 결제 갈기러 가려구요...  
구세주입니다 진짜 감사해요 사랑합니다,,,",5.0,1년 전
2,usercy3zw5vu3b,와 진짜 유익하고 자세하네요 감사합니다ㅠㅠ 쌍커풀 얇고 눈두덩이에 살 많은데 속눈썹 강조하는 건 예쁘지만 뷰러 바짝하고 마스카라 하면 뭔가 안어울리더라고요 j컬로 역시 해야하는군요!!!ㅎㅎㅎㅎ 감사합니다 ,0.0,11개월 전
3,userkj8ci8jk9b,너무 저랑 잘 맞아서 소름돋네요. 감사합니다..,1.0,11개월 전
4,uservv6rp6qu1v,속눈썹 정말 어려운 영역 같았는데 유용한 강의 정말 감사드려요! 깜빡은 두땀 사이에 검정이 아니라 투명한 대가 있던데 이것도 아이라인을 강조해주는 건가요? 3땀은 부자연스러워서 추천 안 하시죵?,3.0,1년 전
5,userde5fu1wk8l,혹시..속눈썹 붙이면 쌍커풀이 생기는 눈은 어떤걸 붙이면좋은가요..?,0.0,8개월 전
6,userej3th8ks6b,쌍커풀이 여러겹일땐 쌍커풀 두꺼운눈 추천으로 사면 될까요??,1.0,10개월 전
7,userhi3gd9bt5e,무쌍이고 맨날 뷰러하면 눈두덩이에 붙어서 가닥 속눈썹 사용하려고 하는데 8mm 1기둥짜리 사용하면 어떨까요??ㅠㅠ,0.0,4개월 전
8,HSrf7dq,눈 점막이 많이 보이는 눈은 어떻게 해야할까요? ㅠㅠ 뷰러하고 마스카라하면 점막이 너무 많이 보여요...속눈썹은 무리일까요? 성형외과를 가야하는지 고민입니다,0.0,3개월 전(수정됨)
9,userlunacyan,40 넘어서 속눈썹 처음 붙여볼까 시도하는 1인입니다 매우 유익한 영상 감삼다,3.0,4개월 전
10,userym6pp4bl7l,화려하거나 쉬머한 애교살 섀도우 추천 영상 좀 올려주세용 ~~~,1.0,1년 전
11,userbv5cs4zq2m,"선생님! 쌍커풀이 여러겹인데 눈두덩이에 살많고 풀려보이는 눈이면 어떤거 붙여요...??
...",0.0,9개월 전
12,userym6pp4bl7l,애교살 섀도우 펄감 이쁜거 추천 좀 부탁드려용 넘 잘 보구있어요,0.0,1년 전
13,usermu9lt7ud8t,헐 개꿀팁이에요!엘스몰제품도 해주세용 ㅜㅜ!,0.0,1개월 전
14,makeup2jjung,양쪽이 쌍꺼플이 다른 눈은 어떻게 해야할까요??!!! 한쪽은 풀린눈이고 한쪽은 얇은 쌍꺼플입니다!!,0.0,11개월 전
15,Taupeqh4qf,"원장님 오늘 바르신 글리터 섀도우는 뭘까요,, 영상 내내 반짝거려서 궁금합니다 !",1.0,1년 전
16,nature4815,홀이 깊으면서 쌍커풀이 얇으면 어떡하죠~?,0.0,4개월 전
17,minni4296,"돌출형 눈은 홀이 깊은 눈이랑 그럼 반대로 속눈썹이 길고 c컬로 하면 될까요~?진짜 애증의 속눈썹!!!!
사놓고 결국 버린 것만 몇 십개...후.. 돌출형이라 그런지  붙여놓으면 속눈썹이 따로 노는 느낌이 들어요ㅠㅠ조언부탁드립니다🫶",0.0,1년 전
18,userxz3fe5pt8t,J컬과 c컬 어떻게 다르게 붙이는건지 긍금합니다아아\\!!,2.0,1년 전
19,userxk4kc9xd5v,온리원님 행복한 휴일 보내세요.,1.0,1년 전
20,userbw7zf4nn8n,눈두덩이 살때문에 쌍커풀라인이 먹혀서 강제로 얇은 쌍커풀을 가지게된 사람은 어떡하죠...?,0.0,10개월 전
21,userqp4lt1fh3b,사랑해요 진심,1.0,8개월 전
22,cultivateeeee,속눈썹 붙이는고 클래스 열어주세여-!!!,7.0,1년 전
23,moonhyezzing,제 눈 사진꼭꼭 보여드리고 싶은데  ㅜ 인스타 아이디가 뭘까요 선생님,0.0,10개월 전
24,userir4sq1nw5s,저 부라운 찐 최애 박스채로 쟁이고 써요,1.0,1년 전
25,userkm5us4ki6r,WoW ️,0.0,7개월 전
26,userqp4lt1fh3b,1:40,1.0,8개월 전
