,youtube_id,comment,like_num,comment_date
0,userob5wj2uz1s,"프스캇은 넘사벽  어떤코디에도 어울리는 컬러웨이 

그리고 다시는 없을 힐컵에  박혀있는 요망한 번개와 객터스잭 심볼 삼자 협업 마킹 

너무 이쁩니다.",0.0,1년 전(수정됨)
1,shoeslook,코디 너무 러블리하다아아아,8.0,1년 전
2,userlo7bh8jk8j,아침부터 누나라니…! 개인적으로 이번 스캇이 스캇을 잘 표현한거 같아서 구매욕구 올라오고 코디도 하기 편할꺼 같애요…,0.0,1년 전
3,Nochuck,애기 신발 너무 탐나네.. 진짜 졸귀다 코디룩도 잘 봤어요 잘 참고할게요!,0.0,1년 전
4,userrz6nf4zj1t,신발도 이쁘고 니드님은 말할것도 없고..ㅋㅋ 신발 너무 부럽습니다 ㅠㅠㅠㅠ,0.0,1년 전
5,KIMKIMI,"아침 출근길에 니드님을 볼 수 있다니 난 오늘 행복...

리버스모카 꼭 당첨되고 싶었는데 당첨안돼서..
한 120선이면 리셀로 구입하려고했는데 안내려와서 포기했어요... 흑흑 ㅠㅠ",0.0,1년 전
6,hgsfgd,프스캇이 진짜 코디 깡패인데 너무 많이 알려져 있어서 그런지 신으먄 다들 쳐다보는게 좀 부담되긴 하더라구요 ㅠ,0.0,11개월 전
7,folf089,"프스캇은 발매수량 20만족
리버스모카는 발매수량 6만족
리셀시장은 전만 못하지만 트래비스 스캇 특히 로우 제품은 여전히 강세인 상황에서 경험을 통해 재미를 본 리리셀러들이 5족, 10족, 20족... 통장잔고 영끌해서 시세차익 얻고자하는 분들이 생각보다 어마어마하게 많아져서 요즘엔 최저가 제품 판매됨과 동시에 판매가가 1000원 단위로 자동정렬... 프스캇때와 또다른 점은 현재는 보관판매라는 시스템이 너도나도 가능해서 인기제품군의 경우 제품의 평균시세가가 하락하는 것을 방어해주는 역활을하여 오히려 시세가 서서히 오르는 추세임!! 나도 3족(실착2,전시1) 사두었지만 내 주변사람만 보더라도 5~8족씩 구매해둠!! 해외발매 상품이 국내에 풀리더라도 해외나 국내 리셀가격의 차이가 미미해서 당분간은 가격이 내려가지 않을 것으로 추측됨... 프스캇처럼 발매수량이 많은 것도 아닐뿐더러 ...특히 리버스 모카의 경우 색상도 깰끔특별이라 지금보다 가치가 높아지면 높아지지 떨어질거란 생각이 안드는건 나뿐인건가요? 아무튼 현재까지 개인적으로 이번시즌 0순위 신발!!",0.0,1년 전(수정됨)
8,ziaki,너무 예쁘네요 크림진이랑 흰바지정도로 코디가 한정적일거라 생각했는데....일단 사고 봐야겠다 ㅠㅠ,0.0,1년 전
9,userbf8iw9wu5k,"9가지 코디 다 너무 좋아요 ㅎㅎ
바로 즉구 갑니다",0.0,1년 전
10,goonsun,리버스모카엔 3번코디 진짜 이쁘네요. 깔맞춤코디근데 당첨되신거 PS처럼보여요.ㅋ  토들러가 꽤 커보여서 ,0.0,1년 전(수정됨)
11,userdv3yh3pe1f,개인 취향이지만 리버스모카가 스캇 조던중에 젤 예쁘다ㅠㅠ,0.0,1년 전
12,seony986,저도 240 정사이즈 가도 헐렁했어요! 코디 잘 보고가용,0.0,1년 전
13,sejunoh,존예.. 패션도 다 찰떡이에용,0.0,1년 전
14,beentogether,진심 착샷 미치셨고 미모 미치셨고 패션 미치셨고 ... 나 마저 미치게하시네...,0.0,1년 전
15,jhk6234,너무너무이쁘네요. 옷걸이가 +_+️️️,0.0,1년 전(수정됨)
16,userur3sb3ec9y,줌인줌아웃 상큼상큼 너무 귀욥ㅜㅜ 오버사이즈 쟈켓 코디 알랍️,0.0,1년 전
17,uservf7qd2xq8s,두번째 룩 정보 알려주실수있나요오,1.0,1년 전
18,userpp4hf1kk2j,7.30에 홍스에서 봤는데 실물 짱 이뻐요~,3.0,1년 전
19,useryy5rg2so1n,영상보니 리셀로라도 사야할거같아요ㅜ,0.0,1년 전
20,userix2jq7wu1v,얼굴이 너무 이쁘시니 신발까지 이쁘고 어울려보이네요,0.0,11개월 전
21,psesung1,"리버스모카 즉구하고 싶은 영상입니다ㅠㅠ
조금만 가격이 내려가면 바로 사려고했는데 점점 올라가네여ㅠㅠ",0.0,1년 전
22,2345pok,올니드님 오늘 좀 멋지신듯요 저도 스캇 당첨!!,0.0,1년 전(수정됨)
