,youtube_id,comment,like_num,comment_date
0,userui8ct5wx8u,"늘 해왔던 대로 나아가시면 됩니다. 많은 사람들이 함께 즐기면 좋겠지만, 결국 유쾌한 박자에 맞는 사람들끼리 만나서 그룹을 형성하는게 인간사 아니겠습니까. 응원합니다.",35.0,11개월 전
1,ngu9840,"솔직히 요즘 스니커즈 시장이 물리는 건 인정할 수밖에 없는 현실이긴 한데...
그 와중에 와디님께서 멋있는 스니커즈와 같이 매치할 만한 모자, 의류 등을 계속 만드시고 소개해 주셔서
비유하자면 마치 비싸고 맛있는 소고기라도 고기만 계속 먹으면 물리니까 소금, 고추냉이, 명이나물이랑 같이 먹어서 맛의 변화구를 주듯이 스니커즈 덕질에 즐길만한 걸 알려 주셔서 꾸준히 운동화를 좋아할 수 있는 것 같습니다
앞으로의 행보도 계속 응원하고 있다고요!",3.0,11개월 전
2,userxc7gz6il2m,"좋은 신발 리뷰 감사합니다 :)

앞으로도 종종 신발을 좋아하는 분들과 공유하고 싶은 신발이 있다면 와디님께만 빌려드릴게요!!

꾸준하게 좋은 컨텐츠를 만들어나가시죠!!",3.0,11개월 전
3,Sjuliuce,"확실히 요즘 같을 때 신발에 비싸게 돈주기는 부담되는건 사실이죠 
그래서 마니아 층들도 얇아진거 같구요 

그럼에도 일선에서 힘써주시는 와디님 파이팅 입니다 항상 재밌게 시청하겠습니다",11.0,11개월 전
4,userob4gd1nf9u,"예전에는 리셀이 붙어도 어나더레벨이 아닌 이상 비싸야 50,70선이었는데 리셀시장이 선을 넘은 이후부터 진짜 매니아들은 학을 뗀 느낌이에요",9.0,11개월 전
5,leokkkingg,맞습니다 요즘들어 요 몇년사이 핫해도 너무 핫했던 스니커 씬이 좀 수그러든 느낌이 많이 드네요ㅠ 오히려 좀더 매니악해지는거 같아서 좋기도 하구요 여튼 저희 스니커 매니아들은 오늘처럼 스니커에만 집중된 영상통해서 가볍게 매니아들끼리 담소를 나누는 느낌받으며 잘보고있습니다 늘 놀러오겠습니다 와디님!🫡,2.0,11개월 전
6,since1987,"오랜만에 와디형 영상에서 구독 부탁한다는 말을 다 듣네요
패션에 관심있는 사람들이 아디다스와 뉴발로 넘어간다는게 ... 저는 그들만의 리그라 생각하는데 결국은 신발씬은 나이키가 대장주이고..야네들이 잠잠하니 패션에 그다지 관심없는 스니커매니아들에겐 힘빠지는 날들이 아닐까요~",3.0,11개월 전
7,Zak765P,소신발언 멋지십니다. 저는 이제서야 취미로 해서 예전 영상 즐겁게 보고 있습니다 ㅎㅎ 가늘고 꾸준히 얘기 많이해주세요~!,1.0,11개월 전
8,yongyong3226,맞아요 신발이 비싸서 점점 소비자들이 멀어지는 리셀샵에서 가격을 좀 내리면 가격이 내려갈탠대 ^^,0.0,10개월 전
9,peterparkstudiola,"이거 아직도 기억이 나는게,  7시에 다른 신발 드로우 기다리다가 갑자기 뿅 떠서 급하게 들어갔는데 완전 럭키로 당첨되서 받아봤드니 페인트 에러여서 되팔지도 못해서 신고 있습니다. 하아... 나이키 퀄리티 ...",3.0,11개월 전
10,gunlee1422,이번 신발 등장 노래와 장면 역대급이네 ..,1.0,11개월 전
11,hyeongkwan,"ㅋㅋㅋㅋㅋ스니커문화에 이 또한 스토리이고 나누기에저도 운동화신고, 문화를 즐길수 있는 
몸이 있는한 끝까지~~응원하고 즐겨보겠습니다^^
",1.0,11개월 전
12,teeeeeeemo,항상 재밌게 보고있습니다. 앞으로도 화이팅!,1.0,11개월 전
13,DASRIGO,"와디님 신발 협찬은 어떻게 받을수
있을까요? 항상 귀한 영상 감사합니다.",0.0,4개월 전
14,kimyunho1000,요즘 경기가 안좋은지 완전 탑급 빼고 신발 시장 조금씩 줄어드는 느낌..,0.0,10개월 전
15,usercz4jp6td1q,형님 응원합니다,0.0,10개월 전
16,detectivepikachu673,고물가 고금리 문턱이 더 높아진 취업시장. 신발 살 여유가 있는 사람은 이제 많지 않겠죠. 중개업체만 배불리 먹는 구조에 리셀시장도 옛날같지 않고. 유행은 다시 돌아오겠지만 한동안은 진골 매니아들만 자기들만의 리그가 될거 같네요.,2.0,11개월 전
17,hgsfgd,크 흔하지도 않고 버질 유작으로 소장하기 딱 좋은느낌,0.0,10개월 전
18,deaninny,늘 그랬듯이 우리는 이곳에 있을 겁니다.,2.0,11개월 전
19,dddyu5nh,뭔가 코인 시장 같네요 애초에 스니커 리셀시장자체가 기형적으로 과열되었음. 명품처럼 재질이 좋아서 오래 유지되는 물건들도 아닌데,0.0,9개월 전
20,Pygtj3jt,뚝심 존경합니다,0.0,11개월 전
21,userjx9mw7fq6n,신발로 신고다니기엔 너무 부담스러워서 장식용으로 소비하면 좋을 놈,2.0,11개월 전
22,userdz4yt5tw3r,항상 응원합니다!!^^ 화이팅!!ㅋ,1.0,11개월 전
23,951227657,살려내라 스니커스,1.0,11개월 전
24,yopu1uk,경기침체로   신발에 흥미를 잃었네요  조던로우 파블처럼  갓성비 아니면   눈길이 안가네요,1.0,11개월 전
25,gunlee1422,"형님 지급된 여분끈도 순정으로 해줘잉 ,,,",2.0,11개월 전
26,masterwontv,가즈아~쭈~~~욱~~~~,1.0,11개월 전
27,savior2k,유골을 한번 열어봅시다...뭔가 어감이 이상하네요,0.0,11개월 전
28,userby2ss4ry4v,나도 순정이 있따 이거야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1.0,11개월 전
29,userpubgingfc,실착하기엔 지금이 적기지,1.0,11개월 전
30,mssm6778,그래도 내 신발들 사랑해,2.0,11개월 전
31,sangwoo2256,저걸 어떤옷에 신어야 할지 가슴이 답답해짐,0.0,7개월 전
