,youtube_id,comment,like_num,comment_date
0,userqp2xb3js9q,확신의 쿨브라이트톤! 대비감을 주니까 훨씬 잘 어울리시는거 같아요,2.0,10개월 전
1,userhz9ti6rd6p,언니 왜 더 예뻐졌어요…..!!!???,3.0,10개월 전
2,userqe6sp8ud4t,"오늘도 예쁘네요 
틴트 리뷰를 잘 볼게요",0.0,10개월 전
3,userdn1vh4no8e,언니 예뻐요♡ 참고 잘 하구 가여!,0.0,9개월 전
4,userru2vz7fi1o,머리 톤다운 훨 이뻐요 이목구비가 사는 느낌적인 느낌,9.0,10개월 전
5,userff7hd8xq1k,립 색깔 표현이 ㅠㅠ 너무 영상에 안되네요 ㅜㅜㅜㅜㅜㅜ 스카치도 ㅜㅜ,0.0,7개월 전
6,Yerin0101,입술 클로즈업 해서 색을 좀 더 잘 보여주셨으면 더 좋았을 거 같아요 잘 안보여요 다 비슷해 보여요,3.0,10개월 전
7,userxk4kc9xd5v,이응님 안녕하세요.,1.0,10개월 전
8,userec7oe6dj9g,이응님 성형한 거 후회안하세용??,0.0,10개월 전
9,usernv8nf7zo7d,붙임머리신거져,0.0,10개월 전
10,userdr8tt7kv6n,대박 타투 진짜 안어울린다 ..,0.0,10개월 전
