,youtube_id,comment,like_num,comment_date
0,userdk8xq6ux3y,"장점들밖에 없어서 물건 고를때 항상 단점도 검색하는편인데...
혹해서 결제까지 갔다가 한번 서칭한게 큰 도움되었네요...",25.0,10개월 전
1,driveat333am,솔직한 리뷰 감사드려용 ㅠㅠ,12.0,11개월 전
2,userky6tn2rw1i,"솔직한후기 감사합니다
새벽주문하고 바로 주문취소했네요
다들 후기가 너무 완벽하더니 영상보길 참잘했네요",1.0,8개월 전
3,usernn5ub9qb8h,"진심 후기 너무 감사합니다 
구독하고 갑니다 

수많은 유튜버 차박 캠퍼들(광고사기꾼들)이 소개 해주길레 좋은가 싶었는데~ 마지막 구입전 혹시나 하며 검색을 했었는데 이영상이 알고리즘으로 떴습니다",3.0,5개월 전(수정됨)
4,userxq5in3bb7l,진짜 너무 감사한 후기네요 감사합니다 잘보고가요!,8.0,9개월 전
5,mki3584,저도 사려고 찾아보던 중이었는데 감사합니다... 18만 원이면 적지 않은 금액인데 속상하실 거 같아요ㅜ,0.0,8개월 전
6,usermj1uc2se4b,요거 인스타에서 세벽세일 하기에 살까 말까 엄청 고민 했는데 솔직후기 감사 합니다~,0.0,8개월 전
7,usertc3wx9xn5p,"사용후기 솔직  느껴집니다.
좋아요 꾸 우욱!
감사합니다.",2.0,9개월 전
8,kimkyongbok,"제가 왠만하면 댓글 안다는데..정확한 후기 너무고맙습니다.. 마약매트리스  토퍼 같은게 있는데.. 
거의 같은수준이군요..  차박용으로  살뻔했네요.. 감사합니다.",6.0,10개월 전
9,stroudrick3157,"구해주셔서 감사합니다!!!!
이런 느낌이였는데 역시 제 느낌이 맞았네요!",0.0,2개월 전
10,usercn4vj9po6v,할인한다길래 홀려서 샀다가 여러 후기들보고 정신차린후 취소합니다 ㅋㅋ 지갑 지켜주셔서 감사감사,8.0,8개월 전
11,useric9lp7fm1y,"저도 구입하여 사용하고 있는데
격벽방의 바느질한 부분이 눌려
서 꺼짐으로 인해 푹신하진 않아요
메모리폼이나 라텍스 제품의 푹신함 하고는 비교 불가 합니다....
그러나 가벼움 세탁의 용이성은
좋은거 같네요",5.0,11개월 전
12,userhd9ct6yc7q,"요즘 유투브에 자꾸 광고가 떠서 상세보기에 들어갔더니
역시나 SNS 광고제품답게 너무너무 땡기더라구요
더욱이 지금은 신년할인을 SS 88,000원 Q 98,000원에 팔아요
그래도 가격이 저렴한 건 아니라 단점에는 뭐가 있나....해서 찾아봤더니
이런 솔직한 예쁜쓰레기라는 후기덕분에 흑우를 면했네요 감사합니다
좋아요 구독 알람설정 하고 갑니다",3.0,8개월 전
13,dhswjdrkrjkm,방금 결제했다가 혹시나 하고 유튜브 들어왔는데.. 정말 감사해요 ,5.0,8개월 전
14,akbb9680,내똥내산ㅋㅋㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋ한마디로 정리됐네요 제 지갑을 지켜주셔서 감사합니다 ,1.0,9개월 전
15,usergq6pz2lf7u,두어달 고민한 시간이 아까워지는 영상이네요. 감사해요.,0.0,1일 전
16,userqe6sp8ud4t,"오늘도 예쁘네요 
매트리스 리뷰 잘 보고가요",0.0,11개월 전
17,userbc8lz1jf6i,"차박용으론 부피도 너무 커요~~
저도 구매하고싶어 많이 고민했었는데 포기했어요~
유튜버 하시는분들 과장광고 유의해 주심 좋겠어요~ 후기보고 많이들 사요~",0.0,9개월 전(수정됨)
18,uservz6zn6qs2k,이뻐이뻐 오목조목 잘 설명해주었습니다,0.0,2개월 전
19,habinj7618,"마침 토퍼가 필요해서 세일에 혹해서 샀다가 돈 아까워서 1년째 걍 쓰고 있습니다. 
저 격자사이사이로 먼지 오지게 껴서 매번 털다가 포기하고 
제일 바닥밑으로 좌천시키고 저역시 그 위에 다른 이불깔고 잡니다. 
여전히 평이 좋던데 쓰신분들 아직도 그생각이신지 궁금해집니다.",1.0,7개월 전(수정됨)
20,TheVenti,"저도 이런저런 후기 많이 보고 누잠 토퍼 꺼짐이 솜이라는 특성상 어쩔 수 없다는걸 알고도 샀어요.
제가 이런 치명적인 단점을 알고도 산 이유가 좀 꺼지더라도 침대 위에서 약간의 푹신함을 추가하고 싶어서 샀는데 흠... 그냥 그렇네요
실 사용 5일정도 밤에 잘 때만 썼는데 벌써 중앙부가 꺼지고 있어요
전 라텍스나 메모리폼이 취향이 아니라 솜 토퍼로 샀는데 그냥 다음에는 비싼 침대를 사려고요...
인터넷에서 솜 안꺼진다는 리뷰는 99% 광고이거나 일주일 미만 사용자니 믿거하시길 바랍니다.",0.0,2개월 전
21,userww6yk4wv7c,저는 기존에 쓰던 매트리스가 너무 딱딱해서 그 위에 토퍼처럼 깔아서 쓰고있어요 만족하며 쓰고있습니다,2.0,8개월 전
22,userpc2zy3vg3t,도움이 되는 후기입니다,3.0,11개월 전
23,usermw9cc5mj6g,"차박할때 추천하시는 건 어떤 거에요?
괜찮은 슈퍼토퍼 좀 추천해주세요",0.0,6개월 전(수정됨)
24,geonkk4934,살뻔했는데..리얼리뷰 감사합니다,1.0,3개월 전
25,useruq7ll4gc6z,와 살뻔했는데 너무 감사합니다 혹시나하고 유튜브도 찾아봤는데.. 20만원 날릴뻔했네요,0.0,3일 전
26,usercc4iw6is2j,토퍼는 세탁하면 다 끝쪽으로 솜이 몰리더라구요. 커버 무조건 있어야됨,0.0,4개월 전
27,userso4gv4vw9u,오늘 살려고 했는데 감사합니다,1.0,8개월 전
28,userxw5dx4ge4h,그럼 지금 어떤 제품을 사용하고 계신가요??? 추천좀!!!! 부탁드려요,0.0,6개월 전
29,jdu9213,맞아요.. 가운데부분 다 꺼져서 완전 걍 이불 깔고 자는수중이고 양 가장자리만 쿠션이..;;,6.0,10개월 전
30,tonycan6186,고맙습니다~~!!!!,1.0,3개월 전
