,youtube_id,comment,like_num,comment_date
0,useril5ym7kv7s,블로그마스 계속 되는거 너무 좋아요ㅜㅜㅜㅜ 갑자기 툭 끊어지지 않아서 너무 휑하지 않아서 좋고 감사해용 ㅎㅎㅎ 우린님 최고 ,116.0,8개월 전
1,Tomyuniverse,우린님 그동안 블로그마스보면서 브이로그 속 등장인물이랑도 다 친해진 거 같아요...!! 넘 좋음 ㅋㅋㅋㅋ 늘 느끼는 거지만 브이로그 속 지인들 챙겨주고 먹이려고 하는 우린님 모습 너무 다정해...,68.0,8개월 전
2,userkj9zi2vt7t,"진플루언서님 말에 반응하는 우린님 모습이 넘 귀여워욬ㅋㅋㅋㅋㅋ 남자친구가 이상한 말 할 때 극혐하는 거 국룰,,, 블로그마스 덕에 우린님이랑 더 가까워진 느낌  안끝났으면 좋겠어용 오늘도 잘봤습니다!!!",13.0,8개월 전(수정됨)
3,hyunjin7476,꺄 우린님 ~~~  덕분에 더 즐거운 연말이에용 영상들 다 너무 존잼이쟈나아 같이 나오는 친구분들도 진플루언서님도 다 정들어버렸어요  주 1회씩이라도 너무 좋아용 히히 우린님 겟레디윗미도 너무 좋아해서 겟레디도 자주 올려주세요  연말 마무리 잘하시구 2023년도 화이팅이에오 🫶🫶🫶,15.0,8개월 전(수정됨)
4,run7292,"볼매 우린님. 착하고 털털하고 뒷끝없고 능력있고 마음여리고 야무지고 현명하고 진짜 다가졌다. 이번 블로그마스로 완전입덕ㅠ 일이바빠도 코로나로 아파도 그와중에 주변인들은 또 다챙기고 섭섭하고 화가나도 다챙김ㅠㅠ 그래서 주변에 좋은분들이 많은것같아요. 진솔님은 우린님이 다 챙겨놓으면, 우린님의 영역 이외의 부분에서  도와주고 잘하려고 하고 태호님은 우린님이 어떤일을하거나 흘려보낸 얘기를 다 캐치해서 다음번엔 본인이 미리 준비하고 진행해놓는 스타일이신거 같아요. 블로그마스 덕분에 우린님 지인들한테도 다 빠져듬..ㅠㅠ",7.0,8개월 전(수정됨)
5,userwp9bs1uy5z,우린님 농담들 다 너무 제 스타일 우린님과 주변 분들 다 너무 재밌구 시트콤같아요ㅋㅋㅋ 오늘도 우린님 블로그마스로 하루를 행복하게 마무리합니당,11.0,8개월 전
6,lareve5342,블로그마스로 언니와 한층 더 가까워진거 같아요 예전부터 팬이고 저랑 비슷한 성향이셔서 조용히 뒤에서 응원하고 있었는데 매일 영상 올리시는거 보고 감동해서 오랜만에 글 남겨봐요! 유일하게 유튜버들중에 친해지고 싶다고 생각한 분은 우린님이 처음이에요ㅎㅎ 항상 건강하시고 유튜브 번창하시길 기도드릴게요!,10.0,8개월 전
7,userdl4cv5wz2s,"우린님 힘드실텐데 이렇게 영상 많이 올려주셔서 정말 감사합니다!
진짜 친해진 느낌이라 너무 좋아요.
행복한 연말 되세요 우린님",11.0,8개월 전
8,yangye427,전화예약 하는 말투가 넘 사랑스러워여... 전화받은 직원분 기분 좋으실듯 ㅎㅎ 크리스마스지낫지만 블로그마스 계속 올라와서 너무 좋네요!!,11.0,8개월 전
9,userph1uh5cs1f,우린님 14:55 여기 너무 귀여워서 계속 돌려봄요ㅜㅋㅋㅋㅋㅋㅋ 두리번두리번 보는겈ㅋㅋㅋㅋㅋ 이번 영상 킬포,6.0,8개월 전(수정됨)
10,whdlsdnr10,브이로그처돌이인 저는 어떤 연말 선물보다 우린님 영상이 넘 좋아요 이렇게 자주 올려주시는게 쉽지않은 일인데 정말 감사해요오,1.0,8개월 전
11,chlrhyun91,우린님이 올리시는 어떤 영상이든 다 죠아요️ 브이로그 겟레디 하울 다다 좋습니당 뭐든 우린님 편하신대로 올려만주세요 보는건 제가 할게요🫶 히히 이제 진짜 2022년이 얼마 안남았네유ㅠㅠㅠ 우린님도 연말 마무리 잘하셔요,4.0,8개월 전
12,userzm8oc6wi1e,브이로그가 주분야가 아니신거 알지만 너무 재밌는걸요ㅠㅠ 1월에두 자주해주세용ㅎㅎ 우린님이 힘드실까봐 걱정이지만요ㅠ글구 진솔님이랑 투닥투닥 하시는거 넘 재미써요 현실커플너낌ㅋㅋ 아우푸글렛 아아마실때 아이스니까 시원하지 하실때 탄식...ㅋㅋ 블로그마스에서 귀여운 아이템들 옷들 보는것두 쏠쏠한 재미예영,4.0,8개월 전
13,bbotto,"14:58 19:30 아ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 귀요미..
저도 언니랑 더 가까워진 것 같아서 좋아용 오늘도 좋은 밤 되길,,!",10.0,8개월 전(수정됨)
14,corykkk,마지막 인사 보며 절로 웃음 나왔어요 ㅎㅎ 귀여운 우린님 ️,8.0,8개월 전
15,userhl6vf2dz6m,브이로그마스 계속 하시면 안돼요?? ㅋㅋㅋㅋ 찐친 된 거 같고 너무 조아요ㅋㅋㅋ 우린님 넘나 귀욥고 매력적,4.0,8개월 전
16,Sarrrrr,7:37 ㅋㅋㅋㅋㅋㅋㅋㅋ대화가 너무 웃기면서 우린님 빵터져서 웃으시는데 너무 이뻐요!!! 자주 웃어주세요,12.0,8개월 전
17,useruh7do1ei5z,"오늘 하루도 블로그마스로 마무리해욘,, ️️   영상 꽉꽉 채워주셔서 넘 행복해요 ㅎ 히히",2.0,8개월 전
18,usertu7fb3ds2k,우린님처럼 좋은 사장님 또 없을듯ㅜㅜ♡,3.0,8개월 전
19,useryi7nc7wr6z,"꺄아 오늘도 찾아온 선물
전 매일매일 브이로그만 올리셔두 너무 좋아용 뷰티유튜버의 브이로그가 이렇게 재밌어도 되냐구요!!? 항상 신선하고 유익한 정보를 주셔서 얼마나 감사한지 몰라오 우린님도 남은 한 해 잘 마무리하시며 뜻깊은 하루하루 보내세요🫶️",1.0,8개월 전
20,userjg4zt1en2f,언니는 어떻게 이름도 이우린이야…. 쏘완벽  요즘 언니 븨로그 보는게 낙이에요 ,1.0,8개월 전
21,uservm6gu8jt3t,블로그마스 보면서 전보다 더 너무너무 좋아졌어요️ 우린님 완전 사랑둥이 아니신지..,0.0,8개월 전
22,userfp2ex9pq6b,언니 너무 잘보고 있어요~~~ 이번달은 브이로그보는게 루틴이었어요 :) 브이로그에도 정보 많으니까 종종 올려주세요,2.0,8개월 전
23,userid2kw1ir6x,우린님 브이로그 너무 좋아요~~ 우린님 말씀대로 더더 친해진 거 같구 우린님이 더더 좋아졌어요>< 헤헤,2.0,8개월 전
24,userte1fr2uc8j,"우린님 채널 안지 얼마안되어 브이로그마스 시작하셔서 급 친해진 느낌 저두저두요!! 항상 잘 보고있답니다 ㅎㅎ 옷도 이지하면서도 이뻐서 막 따라사고싶고 그러네요! 얼그레이시럽은 따라사보려고 장바구니 담아놨어요. 
남자친구분은 얼굴을 가리시던데 지인이라고 다 가리시는건 아닌것 같고 진플루언서님은 영상에서는 가려달라는 요청이 있으셨던걸까요?(순수한 궁금증)
그리고 언젠가 영상에서 태호동생님 얼굴 카멜커피사장님 닮았다고 댓글달렸다 말한 내용 보고나서 자꾸 겹쳐보여서 혼자 웃어요ㅋㅋ진짜느낌비슷해요! 하지만 태호님이 더 잘생!!",2.0,8개월 전
25,userco1ok6hx7x,아....우린님!!태호님 진솔님....너무 웃겨요♡  블로그마스 진짜 넘 재밌습니다!!최고🫶,4.0,8개월 전
26,minsunflimvolg,진짜 자주올려줘서 넘 좋아요 오늘따라 우린님 넘 귀여워어어어어어 짱조타 진짜 ㅎㅎ,2.0,8개월 전
27,pandayaa,호다다다다다닥 우린님 진짜 올해가 얼마 안 남았어요🥹 연말 마무리 행복하게 보내세요🫶,7.0,8개월 전
28,userqf2cr8iu2c,브이로그 너무 좋아요,3.0,8개월 전
29,userqz3bb9bk8h,요즘 일상영상 많이 올려주셔서 너무 잘 보고있아요!!,2.0,8개월 전
30,hahahaha91805,올 연말은 우린님 덕분에 더 행복했던거 같아요 우린님 새해에는 더 건강하세요그리고 오래오래 영상 만들어주세요,2.0,8개월 전
31,gsw34,"저 인생처음으로 코로나걸려서 앓아누웠는데 언니 영상 올라와서 넘 행복했어요!! 그리고 우린님은 확신의 쿨톤이실듯,,!ㅎㅎ",3.0,8개월 전
32,ieebori,우린님 짧은 원피스 너무 잘어울리시는데요?? 너무 귀엽고 사랑스러워요 🫶 머리스타일도 완전 찰.떡 ,0.0,8개월 전
33,xaxa198,언니가 더 좋아졌어요! 블로그마스 너무 너무 감사히 잘봤습니다 ,1.0,8개월 전
34,userwz2yy3ww4x,"꺅 오늘 울민수로 얼그레이하이볼 먹었는데
브이로그마스라니이이익 ️
재밌게 볼게용  행복한 연말되세요 우린님 ",2.0,8개월 전
35,useroy7mh1ix8h,"블로그마스 넘 좋당..
넘 따뜻해..",2.0,8개월 전
36,yjp6922,우린님 너무 좋다요 하 ㅠㅠ..별이 다섯갠딩..️️️️️ 이 마음을 표현할 표현법이 모자랍티비,1.0,8개월 전
37,kksj0065,아악!!! 우리님 마지막 인사 너무 귀여운거 아니에요?!?,2.0,8개월 전
38,userpv1hh5ss3v,우린님 브이로그로 입덕했어요..🫶 너무 힐링재질🥹,1.0,8개월 전
39,useref3iv2ct6c,계속 크리스마스였으면 좋겠어요ㅠㅠㅠㅠㅠㅠ 블로그마스 계속 보고싶음,0.0,8개월 전
40,calmmoon8153,우린님 넘 귀엽고 사랑스럽고 ㅜㅜㅜ,1.0,8개월 전
41,misuuu4019,언니랑 똑같은자리에 앉아서 같은메뉴 만두전골이랑 파전먹었었어요! ㅋㅋㅋㅋㅋ 신기신기,1.0,8개월 전
42,userpn3ny9qz9v,일상 영상 넘 좋아요~ 앞으로 자주만나요~️,1.0,8개월 전
43,usersj8di8uc1r,"항상 너무 잘 보고 있어요!! 우린님이랑 더 가까워진거 같아요ㅎㅎ,, 항상 기다려지는 ootd와 일상🫶",1.0,8개월 전
44,userns6tj8su1f,우린님 일상브이로그 넘 쪼아여,0.0,8개월 전
45,ollllot,마지막 넘 겸둥 그자체.....약속하셨어요 브이로그 마니 올려주기로ㅠㅠㅠㅠㅠㅠ요즘우린 쳐돌이 여기 누워요 긍데 올해 말부터 갑자기 알고리즘에 우린님 영상 막 5년전 3년전 이렇게 뜨는데 갑자깈ㅋㅋㅋㅋㅋ새삼 오래 뵀다싶어요....물론 저만...봤지만..암턴...암턴.... 따수운 밤 보내세용!!!,1.0,8개월 전(수정됨)
46,soogieonandon2651,"저 요즘에 우린님 블로그마스 틀어놓고 잠드는게 습관이 되어부렀어요 ,,,,,,,, 안 끝났으면 좋겠다 블로그마스 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ",0.0,8개월 전
47,userxw7qi6qb3g,귀여워....!!!!! 우린님 저보다 언니고 키도큰데 왤케 귀여우신거죠..♡ 원래 겟레디 제일 좋아했는데 이제 브이로그가 최애♡♡♡ 1월에도 자주 올려주세요,1.0,8개월 전
48,fnvjxmlove,14:58 ㅋㅋㅋㅋㅋㅋ옆자리 남자 재밌는 사람이네욬ㅋㅋㅋㅋㅋ 우린님 표정 넘나 귀여워용 ㅎㅎㅎㅎㅎ,3.0,8개월 전
49,posomi8762,우린님이 라테가 밍밍하다는 자막 여러번 봐서 글넘겨요 ! 오틀리 바리스타에다가 폴바셋  콜드브루 원액 타서 드셔보세요ㅠ진짜 진하고 맛잇어요,1.0,8개월 전
50,BKhe5li,헐 … 일주일에 하나씩 너무 좋아요… 우린님이 팡도리노 맛있다고 해서 저도 케이크 예약해봤어요 다음영상도 기대할게요🥹,1.0,8개월 전
51,useruw5pj3ru4l,이번에두 재밌었던 블로그마스!!! 올해 마지막영상은 더더욱 아쉬울것같아요! 우린님 말처럼 일상을공유받다보니 친구가 된느낌ㅎㅎㅎ 방금은 칭구따라 나른테리집업사고왔습미다 연말이라구 할인쿠폰많이주네요!,0.0,8개월 전
52,yunjipark1215,연말마무리 잘하시고 내년에도 잘 부탁드려요,1.0,8개월 전
53,usereg1ey6jp8b,우린언니 최고 ️,1.0,8개월 전
