,youtube_id,comment,like_num,comment_date
0,waychannel,"여러부운~~~~ 행복한 설 연휴 보내세요
연휴에도 영상 보러와줘서 넘 고마워용",16.0,8개월 전
1,usersw5bm7yf4s,웨이님 영상은 잔잔하고 목소리도 차분해서 편하게 볼 수 있어서 정말 좋은 것 같아요 ️ 저도 깜깜한 밤을 무서워해서 제가 운전을 안 해도 정말 무섭고 식은땀이 나는 편인데 웨이님 썰 들으니까 제가 더 무섭네요.. 그래도 안전하게 와서 다행이에요..! 그리고 노력 안 해도 웨이님 자체로 넘 매력적이고 빛나는 사람이에요..! 뭔가 이 말을 해주고 싶었어요  새해 복 많이 받으세요 웨이님!,14.0,8개월 전
2,userji4wj3bb2m,올해도 웨이님 건강하고 행복하세요 ,3.0,8개월 전
3,JIni,"웨이님두 해피 설 연휴 보내세용 ..♡ 
오늘 영상두 잘보겠습니당 ",1.0,8개월 전
4,hhhyy883,남은 설 연휴 행복하게 보내세요 ︎,3.0,8개월 전
5,inbora,"웨이님 ㅠㅠ 오늘 메콥 넘 예뻐요  비오브도 좋아해주셔서 곰아오요,,",4.0,8개월 전
6,userzy6kd2hj9q,올해도 웨이님 건강하고 행복하세요,0.0,7개월 전
7,userno5yv9to7x,진짜 웨이님 코 볼때마다 느끼지만 너무너무너무 예뻐요 .. 진짜 콧대 일자인거랑 높은거랑 너무 제가 원하는 코 .. 🥹️,0.0,7개월 전
8,userrw2ot5gq4i,"공감이요ㅠㅠ 20살에서 21살 될 때는 슬펐는데 23살은 감흥도 없어용… 저는 웨이님의 차분한 목소리가 좋았는데 다르게 생각하신 분들도 계셨군요!! 저는 지금 좋은 것 같아요 ㅎㅎ
스튜디오같이 예쁜 곳에서 찍는 패션 영상도 보고 싶어요!! 웨이님 옷도 넘 잘 입으셔서 도움이 많이 될 것 같아용
구독자와의 만남 너무 좋아요ㅠㅠ 한다면 꼭 참여하겠습니다!!! 오랜만에 겟레디윗미 봐서 넘 좋네용 웨이님 새해 복 많이 받으세요오",0.0,8개월 전(수정됨)
9,wannie2069,웨이님 항상 영상잘보고가요!!!!!^^매일 영상올리신거볼때마다 좋아요와 댓글많이많이남길게요!!!!!^^,0.0,8개월 전
10,useruo9tw4lr7o,겟레디 기다렸는데 오늘도 잘 볼게요🫶,1.0,8개월 전
11,yeeun0485,"진짜 너무 이쁘세요 ㅜㅜ 
새해 복 많이 받으세요️

“SON“ 님이랑 “박기범” 님이랑, “백승운”님 댓글 조심하세요!! 시용자 차단하세요 !!

여자 유튜버들 먹방 영상이든 메이크업 영상이든 브이로그 영상이든 모습이 항상 이쁘다하고 여성스럽다하고
남자 유튜버들 영상에는 멋지다하고 
공통적으로는 항상 잘 볼게요, 잘보고 갑니다~, ~하셨나요 이렇게 댓글 다는데 오래동안 댓글 달리고 잘못하면 봇계정으로 인식되어서 계정 인증 하라고 문구뜨고 인증 안되면 정지된대요..",1.0,8개월 전(수정됨)
12,dwoo0712,"예쁜 웨이님
행복한 명절 보내세요",1.0,8개월 전
13,useryc5dv6wr8v,"오늘영상 너무 재미있어요 
웨이채널님 너무 예뻐요 
설연휴 재미있게 보내요 
새해복많이받아요",0.0,8개월 전
14,userzy6kd2hj9q,오늘도 미모 열일,0.0,8개월 전
15,userkn8zy4iq3u,오늘도 미모 열일,4.0,8개월 전
16,CROESUSY,"안녕하세요
카메라 뭐 쓰시는지 궁금해서 여쭤보고 싶어요ㅎㅎ 영상보는데, 오늘은 조명없이 찍으셨다고 하셔서 궁금해요 예뻐용",0.0,8개월 전
17,useris3kp8ri3r,웨이님 혹시 딘토 섀도우 전색상 리뷰 해주실 수 있나요??,0.0,7개월 전
18,userxk4kc9xd5v,즐거운 설명절 되세요,0.0,8개월 전
19,userhk3er1es2v,23년 새로운 메이크업,0.0,8개월 전
20,bidaaahmed399,️‍️‍,0.0,8개월 전
21,yeondalrae,빠르게 왔당,0.0,8개월 전
22,userxg9ci4bm2y,저승사자 ㅋㅋㅋㅋㅋㅋ,0.0,8개월 전
23,davidparnell2684,Hi way,0.0,8개월 전
