,youtube_id,comment,like_num,comment_date
0,userud8ty1mq5i,"제발 내돈내산 컨텐츠 주기적으로 올려줘요 ••  넘 알차고, 신뢰감 올라가는 그 자체",50.0,2개월 전
1,userrw2ot5gq4i,패션하울 너무 좋아요ㅠㅠㅜ!!! 항상 편하면서 예쁜 옷 추천해주셔서 도움이 많이 됩니당,5.0,2개월 전(수정됨)
2,userxr9ki1pd1m,와우! 안 그래도 여름 옷 쇼핑 하려고 했는데.. 타이밍 완벽감사히 시청하겠습니다!!!,0.0,2개월 전
3,uservp8yj9uv1t,꺅 웨이님 패션하울 영상이다ㅜㅜ!!! 사랑해여 잘 볼게욥ㅂ,0.0,2개월 전
4,useriv8fh9zu3t,이쁘고 여성스럽고 멋지십니다,0.0,2개월 전
5,userye6fm1vf2f,패션영상 올려주실 때 더보기란에 신체 스펙? 같이 올려주시면 좋을 것 같아요 ,0.0,2개월 전
6,wannie2069,웨이님 항상 영상잘보고가요!!!!!^^매일 영상올리신거볼때마다 좋아요와 댓글많이많이남길게요!!!!!^^,0.0,2개월 전
7,topstar0304,저도 질바이질스튜어트 슈즈 구매했는데!! 웨이님도 샀다고 하니 반갑네요ㅎㅎ 영상 잘 봤습니다🫶,0.0,2개월 전
8,userku6bq4zn7s,왕 진짜 너무 제 취향이고 도움돼요.. 넘조타,4.0,2개월 전
9,userhk3er1es2v,여름맞이 패션,0.0,2개월 전
10,issamfatimafatima9469, thank you so much way,3.0,2개월 전(수정됨)
11,dobu7zu,젤 좋아하는 컨텐츠,1.0,2개월 전
12,jiminleeresults5846,,0.0,2개월 전
13,bidaaahmed399,,1.0,2개월 전
14,userzy6kd2hj9q,웨이채널님 재미있게 볼게요,0.0,2개월 전
15,userks4eh1eb9g,우왕 너모 유용해요ㅜㅅㅡ펙이 어떻게 되시나욤?!!,0.0,2개월 전
16,userpe8cc7zs7j,혹시 영상 속 상의 쇼퍼랜드 옷일까요?!!,0.0,2개월 전
17,akinuakinu2087,🩶,0.0,2개월 전
18,davidparnell2684,Hi way,0.0,2개월 전
