,youtube_id,comment,like_num,comment_date
0,urose,진짜 너무 잘어울려요.. 본 메이크업들 중에 제일 찰떡이에욥,10.0,9개월 전
1,ZnCuFeAuAg,수능 끝나고 언니 영상 정주행 중인데 .. 너무 좋아요  언니 너무 예쁘고 재밌어요 🫶,0.0,9개월 전
2,nayouv8my,"그냥 뭘해도 예쁘심ㅠ
진짜 원하는거 다하세요 언닝♡",0.0,9개월 전
3,yelrami,꺅 진짜 너무 이쁘세요..️,1.0,9개월 전
4,usercd9nw6cr1c,헉 완전 찰떡!! 너무 예쁘다,0.0,9개월 전
5,LTboomeunonda,언니 오늘 텐션 미쳐 진짜,1.0,9개월 전
6,fq8zxx,볼 때마다 코쉐딩이 진짜 예술이에용 넘 예뿌.. 오늘도 잘 볼게요!,0.0,9개월 전
7,uservx3cy8er9u,요즘 태닝피부에 관심이 생겼는데 유나님 너무 태닝 잘 어울리고 핫걸 ㅠ,0.0,9개월 전
8,userqp5qj7zq4r,누디 메이크업 너무 잘 어울려요!!,1.0,9개월 전
9,Minyounggu,약간 단아한 핫걸 너낌 너무 예뻐요ㅜㅜ,0.0,6개월 전
10,userib4hb1eh9i,아 언니 너무 웃겨서 친해지고 싶은 스타일이야,1.0,3개월 전
11,BYYAAM,언니 텐션이 넘  귀여워요....,0.0,3개월 전
12,cyleerh,"you made my day, my sexy tanned girl",0.0,7개월 전
13,IXFX0829,앞으로도 화장 영상 계속 올려주세요:),0.0,9개월 전
14,usersd6mx3yl9b,진짜 언니가 렌즈 정보 알려줄때까지 숨 참는닷,0.0,4개월 전
15,uservr9jh3gn4f,너무 매력있어요,1.0,9개월 전
16,rawbel525,으앙 넘 핫걸️‍,0.0,9개월 전
17,userxg6rs5iy1e,언니 초면에 죄송하지만 줠라 예뻐요 진짜,0.0,4개월 전
18,uservx3cy8er9u,"누드립은 한국브랜드 제품들보다 외국 화장품들이 더 다양하고 이쁜 거 같아유 ,,",1.0,9개월 전
19,userqe6sp8ud4t,유나님 너무 예뻐요,0.0,9개월 전
20,abcdeyeg,"퇴근길 최고의 선택 ,, ",1.0,9개월 전
21,userqc9ge7lc5e,말투 넘 매력넘쳐,0.0,9개월 전
22,userct2bi3mm9c,렌즈 정보 좀 알려주세용 ㅠㅠ 넘 이뻐여 ㅠㅠ,0.0,7개월 전
23,userun1gs8rp6n,"본판이 다 한 언니,,",0.0,9개월 전
24,xhjdjdi7114,와 개이쁘다 태닝 유지해주세요..ㅠㅠ제방,0.0,6개월 전
25,sidjvhkp0571a,삐아 립 후에 바르신 립스틱 어떤 제품인가요..?ㅜㅜㅜㅜ,4.0,9개월 전
26,userxk4kc9xd5v,유나님 추운날씨에 감기 조심하세요,3.0,9개월 전
27,useruw7cl9lo7l,언니 태닝 몇번 했어요?,0.0,9개월 전
28,IMtw7dj,렌즈 모에요?ㅠㅠㅠ개이뻐욤ㅜㅠㅠ,0.0,9개월 전
29,uservr3wk8vy1z,렌즈는 대체 어떤건가요??,0.0,9개월 전
30,nayulli9213,렌즈 정보 제발 부탁드립니다ㅠ,0.0,3개월 전
31,claramkim2979,려원님 어릴적 같아요!!,20.0,9개월 전
32,userop6vy3nu6z,렌즈정보 알려주세요!,0.0,6개월 전
33,khunwoo430624,립스틱 정보 좀용 ..,1.0,9개월 전
34,gracekim1147,여러분 유나님이 마지막에 바르신 립이 대체 뭘까요.. 애엄마라 브랜드 조차도 못알아보겠어요ㅠㅠㅠㅠ,5.0,6개월 전
35,imyeahrim,걍 본판이 예뻐서 그 뭐냐 숯 칠해도 예쁠 진유나임ㅋ,0.0,9개월 전
36,userbc9he4dk6e,콧대 브러쉬 정보좀요 …ㅎ,0.0,9개월 전
37,zetzero3588,헐 썸네일보고 홀린듯이 들어옴....,0.0,2개월 전
38,useruu9sq8ei5x,"이 영상보고 태닝했다가 그냥 인종만 바꼈습니다 ㅎㅎ
휴",0.0,3개월 전
39,userww8iu6st1u,립스틱 정보좀요...,0.0,4주 전
40,tstop123,"목색깔,손색깔이랑 비슷한 화장보니 눈이편안 하네요ㅎ",0.0,9개월 전
41,seunghyunkim8913,유나님 쏘큩...찐친 먹고 싶어요 ㅠㅠㅠ,4.0,9개월 전
42,userox2ny9ck6e,블로셔 어디꼬에요,1.0,8개월 전
