,youtube_id,comment,like_num,comment_date
0,hanyul,"숍님 시간 1시간이 넘어가도 끝까지 다 볼테니까 다음에 업데이트 되면 나이트 루틴, 특별+데일리 제품들 꼼꼼하게 추천해주세요!
영양제도 궁금해요!!
이 영상도 저장해놓고 부지런하지는 않지만 부지런하데 열심히 노력해 볼게요! 알려주려서 감사합니닷",32.0,7개월 전
1,userdi3yk1gj5i,"관리 루틴이 이렇게 철저하니까 이렇게 피부를 유지하실 수 있는건가봐여,, 이번에 디디다 필링기 사면서 관리 루틴 알아보다가 왔는데 같이 쓸 수 있는 꿀템 정보랑 루틴 많이 알아갑니당 감사해용 ><",0.0,1개월 전
2,dandelionlily,꿀템 어떻게라도 더 떠먹여주시려고 노력하는 마음이 넘 잘 느껴져서 감동적이에요..,18.0,7개월 전
3,userke8lx9sd3t,번개괄사 하면서 쓸 수 있는 케어제품 찾다가 우연히 보게 된 영상인데 하나같이 다 좋아보여서 지름신 강림해버렸네요ㅠㅠㅋㅋ 좋은 제품 추천 너무 감사해요!,0.0,1개월 전
4,userrz7qk2ft6z,언니 오늘 영상 완전 꿀템 가득이네용.. 특히 바디랑 헤어 꿀템들 참고할게요오>.<,3.0,7개월 전
5,Bonge,"진짜 좋은템들 소개해주고 싶은게 많아서 허겁지겁 다 보여주는거 넘 귀여워요 🫠 
그치만 꿀템인만큼 진짜 텅장 예약이여요 ㅜㅜ",11.0,7개월 전(수정됨)
6,usergt8gy4cz5q,"나이의 앞자리가 바뀌고나서 좋은 피부,좋은머릿결 갖고 계신분들이 얼마나 눈에 밟히던지......... ㅠㅠㅠㅠ 그래서 그런가 유튜브로 루틴 엄~~청 찾아보다가 괄사가 좋대서 난생처음 번개괄사도 사보고 거기에 걸맞는 스킨케어가 뭐있을까~ 다른거 관리할건 없을까~ 하다가 이거보구 추천해주신거 다샀어요 ㅋㅋㅋㅋㅋ 저도 루틴하게 관리 해볼게요 화이팅!!!!!!!",57.0,7개월 전
7,userwi7pn1yd8o,언니 존경행… 진짜 보고 많이 배워여어어엉,1.0,7개월 전
8,claire3355,너무 알차고 유용한 영상이에요!!! 사랑해요,2.0,7개월 전
9,proo,"언니 마스크팩 하고 닦아내실 때 그냥 아무것도 묻히지 않은(물이나 토너) 화장솜으로 닦아주는 건가요?? 그리고 화면에 쓰신 제품(자막)(15분16초대)은 글루타치온 앰플인데, 더보기 설명이나 타임라인에는 바쿠치올 앰플이라고 나와있어요오🫣 오늘도 꿀팁 가아아아아아아득 알려주셔서 고마워요",4.0,7개월 전
10,micky3804able,"유리님 피부에서 진짜 광나요
반모 영상 친근해소 개인적으로 너무 좋아하는 영상이에융 
영상 감사해요!",2.0,7개월 전
11,userkk3bu4lj3m,"피부는 과하면 탈나!! 인정입니다. ㅎㅎ 근데 한번도 마스크팩 잔여물을 닦아낸다는 생각을 못했네요. 역시 프로자기관리러는 달라!!!
저도 이제 자기관리 해야지 하면서 번개괄사 샀는데 마사지할때 같이 쓰게 추천템도 사야겠어요.",0.0,1개월 전
12,useryyyyii,언니 너무 조아서 말이 다 신빙성 있고 손민수 하고시퍼용 방금 시모먼트 앰플이랑 크림 질렀어오요,2.0,7개월 전
13,lj2132,와.. 이런 영상을 그냥 봐도 되는건가요? ㅜㅜㅜ 좋은 건 다 같이 쓰려는 울 언니..,3.0,7개월 전
14,userel8qp7xe7t,시모먼트라고 처음 들어본 브랜드인데 레티날이 들어있다니 기대되네요 레티날에 콜라겐의 조합이면 항노화작용이 아주 강력한가봐요!! 나이 앞자리가 3으로 바꼈는데 안티에이징 관리를 더더 열심히 해야한다는 결심을 했어요! 아주 필요한 제품이네요,1.0,7개월 전
15,userfq2bv3bw8o,달바 아이패치는 매일 붙여서 사용하시는지 혹은 일주일에 몇번정도만 사용하시는지 궁금해요 :),0.0,7개월 전
16,userzf8qq5rt6f,바디로션바르고 번개괄사로 바디 마사지해주면 하루종일 뭉쳤던 피로가 싹날라가는거 같아여 언니가 추천해준 바디로션이랑 같이 써봐야겠어요!!!!!,0.0,1개월 전
17,userkm7do3zi5g,나이트루틴 브이로그도 보고 싶어요 ! ,0.0,7개월 전
18,usernd8mn4uz9b,헐헐헐 레티날 제품 안 그래도 찾고있었는데 완전 나이스타이밍 ㅠㅡㅜ 그리고 유리숍님 따라서 센텔라 파우더 샀는데 여행가서 톡톡 바르는 건 진짜 꿀팁ㅋㅋㅋㅋㅋ 아 생얼 커버하는 거 진짜 대박이네용 egf도 써보고 싶었는뎅 아직은 필요하진 않을 거 같아성 근데 유리숍님 쓰시는 거 보구 언제부터 쓰면 좋을지 봐야겠어욤,0.0,7개월 전
19,dalkingroses,진짜 꿀팁 계득이다 ㅜㅜㅜ 월급 들어오면 진심 다살거예요 언니 ㅠㅜ 유일하게 믿고 모든걸 사는 유튜버임,2.0,7개월 전
20,abcyl3zu,"언니 나중에 토니모리 립 색상 더 추가하게 된다면 언니 생얼 입술 색 비슷하게 내주세요!
봄라이트인데 예전에도 아무것도 안 바른 입술인줄 모르고 립 제품 물어볼뻔 했던ㅋㅋ
저채도 고명도의 맑은 핑크코랄립 보고싶습니다.. 절대절대 쨍하거나 딥하면 안됨...",2.0,7개월 전
21,userxx1kr1dz6n,앞에 구독자들 제품 추천해준다고 바리바리 가져오는거 넘 기여워요 언니ㅋㅋㅋ 항상 거마버요 이렇게 나이트루틴 전부 보여주시는거 너무 소중한 영상이에요.. 그리고 유리숍언니 얼굴에 털? 솜털? 이 없는거같은데 왁싱이나 눈썹칼로 정리하시나용?,0.0,7개월 전(수정됨)
22,userru5ig8jx7n,언니 고마워용,0.0,7개월 전
23,userbu1mr4dx4v,피부진짜 좋아용 ㅠㅠ,0.0,7개월 전
24,useroz1ry8ib4r,헐 추천템들이 이렇게 많다니...!!!!! 번개괄사 좋대서 이거 쓰고있는데 같이 사용해보면 좋을거같아염><,0.0,1개월 전
25,userdt7ox9mk1k,파우더 그냥 바르고 자도되는거에용 ?? 헬스갈때 생얼가릴때도 괜찮은 꿀팁인거같아요 !,0.0,2개월 전
26,yoooo7094,재생속도 또 확인한 나..역시 언니 짱빨라 보기 딱조아 진짜,0.0,7개월 전
27,userki8ht7ct5g,이런 찐후기 정말 조아~~~ 내돈내산 컨텐츠도 항상 너무 잘 보구있다구..,0.0,7개월 전
28,userJuha,"다른 추천템들도 너무 잘봤지만 시모먼트 마켓이라는 말에 순간 두근 했어요..ㅠㅜ...왜냐면 내돈내산으로 현재 찐으로 잘쓰고 있는 제품이라(미백 앰플, 레티날 크림)...! 시모먼트 기능성 맛집 인정인게 처음에는 와디즈에서 괄사가 궁금해서 구매했는데 지금은 저 레티날에 미쳐있어요...진짜 저거 진또배기 미친크림인게 바르고 다음날 피부 모공부터가 살짝 안보이는 피부가 된 느낌이 들어요. 거울보면 피부가 광나고 모공도 잘 안보이고 피부결 보들해진게 너무 좋아서 쟁이고 싶은 스킨케어 옛날 스티커 사진 뽀샤시 먹은 피부 된 느낌... 그리고 레티날은 투명할수록 레티날 성분이 깨지지 않게 들어있다는데 시모먼트는 찐투명... 다만 사바사일 수 있지만 레티날은 첨 써보거나 진짜 민감하다 하는 피부시면 원래 쓰는 크림에 섞어서 사용하시는걸 추천하고 많이 바르면 오히려 안좋을 수 있어서 사용방법 꼭 읽고 맞게 사용하시는거 추천해요!! 적다보니  '나... 무슨... 시모먼트에 지분있나?'싶은데 잘쓰는 제품 나와서 신난사람이라 생각해주세용...🥹",1.0,7개월 전
29,usercx2eb9um7p,혹시 부스터 힐러 사용할 때 얼굴에 붙인 거즈 ? 정보 알 수 있을까요 ,0.0,7개월 전
30,userwf8od2zj5o,엉니 시모먼트 데려와줘여 흑흑 일단 하나 사서 쓰고 있을게여 이번 영상 너무너무어무너무 좋아요,0.0,7개월 전
31,lhs198,언니 시모먼트 마켓 아예 무산된건가용?! 요즘 미백에 관심이 많아서 언니 예전에 미백 루틴 영상이랑 시모먼트 중에 뭘로 해야될지 고민돼요,4.0,7개월 전
32,useruu3mb2gz5d,교정 후기도 궁금해요 !!,0.0,7개월 전
33,usertc4jx9gd4r,진짜 믿고 살거 같아요 진짜루..,0.0,7개월 전
34,SONto4ip,유리숍urishop님 피부관리 잘하시네요.,22.0,7개월 전
35,usergs8in3xw5q,누가 쫓아오냐고요 ㅋㅋㅋㅋ 하나라도 더 알려주려는 정성 ,0.0,6개월 전
36,sunny276,센텔라파우더 생얼에 완전 꿀팁이네요ㅌㅋㅋㅋ! 마스크팩 붙이고 위에 프라엘 써도 될까요??,0.0,7개월 전
37,WasaBeee,언니 너무 예뻐요.,0.0,7개월 전
38,useryj8gi8wu4o,미치게써 율님 너무 귀엽고 좋아서  ♡♡ 크림사러가야지*^^*,0.0,7개월 전
39,Bellatrixsubs,I really wish that this video have english subtitles even if it is the automatic ones,1.0,7개월 전
