,youtube_id,comment,like_num,comment_date
0,URISHOP,월요일 되자마자 올영세일 관련영상을 올리겠어!!!!!!,10.0,1년 전
1,oliviahy4263,현실적으로 예뻐지는법 2탄은 언제 올라와요?? ㅠ,25.0,1년 전
2,userml8wc1hj8g,언니 꿀템 추천 영상 너무 좋아용 !!!!,0.0,1년 전
3,usergs2kk9rh6b,비디비치 섀도우 세가지 다 구매햇는데 색 너무 이뿌네용 ㅎㅎㅎ 선착순 이벤트도 받았구 넘 만족해용 글램던만 깨져서 와서  아쉽지만 좋은 기회 감사해요~,0.0,1년 전
4,abcyl3zu,"언니!!
가로로 넙데데하고 큰 얼굴 괄사도 추천 부탁드려요!! 얼굴이 작아지고 얼굴형 관리하는게 목적인!
댓글로 달아주세여",7.0,1년 전
5,yennnxn,나 진짜 언니 때문에 퓌 스웨이드 쿠션도 사고 비디비치 마켓도 땡 하자마자 주문하고 지금 배송 기다리는 중이예요.. 사랑해 율..,0.0,1년 전
6,usersz4vk4su4x,라비오뜨 선쿠션 파데프리에 쓰기에 톤업이 잘되나요?? 지속력은 오때요??,2.0,1년 전
7,userpo9fu2kn5j,염색 컬러진짜 너무 궁금해요,0.0,1년 전
8,userxk4kc9xd5v,유리님 즐거운 주말되세요,0.0,1년 전
9,userbj8qc9te1v,너무 예뻐요,0.0,1년 전
10,userkj6lb3si6v,"틴트 배송도 아직이고 조회도 안되는데
어떻게 해야하나요????",0.0,1년 전
11,paulek9zg,만족합니다^^,0.0,1년 전
