,youtube_id,comment,like_num,comment_date
0,userdx7ow5zu5i,오벌에 트라이앵글 진단 받았어요 ㅎㅎ 발란스타입!! 그 동안은 몸의 단점만 찾기  바빴는데 진단을 받고 나니까 내 몸의 장점을 더 알게 되고 그로인해 더 스타일리쉬하게 꾸밀 수 있을 것 같아서 너무 좋았습니다,27.0,5개월 전
1,naiza2454,확신의 트라이앵글 타입일 것 같아서 이번영상 애타게 기다렸어요 전부터 허리라인을 잡아주는 게 필수일 정도로 잘어울린다고 생각했는데 역시나..!,6.0,4개월 전
2,usergm8xp2tg5z,"꺄~~~ 제목이 딱 저라서 지나칠 수 없었어요!!! ㅋㅋ
어쩐지 일자라인으로 떨어지는 원피스나 H라인스커트, 통바지(?) 같은 류들을 입으면 몸전체가 드럼통같아보이는 ... 
허리선 잡아주는거 진짜 공감되요. 체중이 어떻든 베스트  제가 유독 플레어 디자인을 좋아하는 이유가 있었네요 ㅎㅎ 마침 옷살때도 됐는데 제 트라이앵글 체형을 살려주는 옷들로 데려와야겠네요^^ 한결 정리가 되었어요 ㅎ 감사합니다~~",8.0,4개월 전
3,ffwang,어쩐지 제가 옷을 살 때 무조건 허리선 잡힌 옷을 고르더니 트라이앵글 체형이었군요!! 저도 모르게 저에게 맞는 옷을 고르고 있었네요 짧은게 싫어서 긴 옷만 입었는데 다리라인이 드러나는 짧은 옷도 입어봐야겠어요 좋은 정보 감사합니다,24.0,5개월 전(수정됨)
4,nataliechan6081,"hii, please keep continuing this series in english. thankyouu! <3",3.0,4개월 전
5,userbu6mx2ou5s,저는 상체는 스퀘어+하체는 트라이앵글 같아요 서현님 예를들며 말씀하신게 다 평소에 느끼던것들이라 완전 공감했어요!,10.0,5개월 전
6,eunjw78,트라이앵글과 오벌 그 중간 어디쯤인 것 같은데... 흔히 말하는 웨이브 타입과 어떻게 다른가 궁금하네요. 그 틀에 맞추려는 건 아니지만 유이레님의 분류에 따른 추천영상은 찾기가 쉽지 않아서요 ㅠㅠ 해외거주만 아니면 정말 찾아가서 퍼스널컬러랑 체형진단 받고 싶네요 ㅠㅠ,7.0,4개월 전
7,userhl8vv6ok9x,우와... 진짜 살 많이쪄도 다들 티 안난다고 하는데 그게 트라이앵글 타입이였군요... 그치만 요즘 와이드팬츠에 크롭티 유행하면서 옷입기 정말 힘든데ㅠㅠㅠ 보여주신 예시도 너무 이쁘지만 일상생활에서 적용하기는 어려운것 같아서 좀더 디테일하게 알고싶네요ㅠㅠㅠ,103.0,5개월 전
8,hansy030894,"대박.. 체형분석 볼 때마다 내 체형은 뭘까 헷갈리고 도움이 하나도 안됐거든요.. 흔히 나누는 웨이브, 스트레이트, 내츄럴로 나눠서 분석하면 어깨 같은 골격 보면 스트레이트 같기도 하고 골반이나 허리라인 보면 웨이브 체형 같기도 하고.. 근데 이 영상보니 저는 확신의 트라이앵글 체형이였네요 ㅋㅋㅋ 트라이앵글이 살이 좀 있으면 정말 옷 입기 힘든거 같아요.. 허리가 엄청 얇지는 않지만 골반이 있어서 라인이 있는데 허리가 짧다보니 상의 기장 애매하면 허리가 아예 없어보이고.. 어깨가 넓어서 덩치도 커보이고… 골반 넓다 보니 엉덩이도 너무 크고.. 팔 다리도 허벅지랑 팔뚝은 겁나 통통 손목쪽이랑 발목쪽만 얇고.. ㅎ 최근 168에 66 까지 쪘었는데 아무도 그 체중으로 안 보더라고요 ㅋㅋ 저는 얼굴에도 살이 안 찌는 편이라 5키로 쪘는데 다들 찐줄도 모르고.. 왜냐면 제가 평생 이 체형으로 살아온 노하우로 안 찐 부분만 드러내고 옷입고 다니니깐요 ㅋㅋ 근데 그렇게 신경써서 옷 입는 것도 근데 정말 스트레스…. 남들보다 더 옷의 차이로 정말 뚱뚱해 보이기도 하고 내 몸무게보다 훨 말라보이기도 하니., 내가 원하는 스타일링은 거의 못해요  암튼 이 영상으로 제대로 제 체형을 이해하고 가네요.. 통통한 트라이앵글이라 이 영상에서 추천하는 코디 방법.. 지금은 못 쓰지만 ㅠㅠ 살 쫙 빼서 영상 연예인 처럼 예쁘게 원하는 옷 입고 싶네요.. 최근에야 마음 먹고 지금은 4키로 뺐는데 넘 힘들어 죽을 것 같아요ㅋㅋㅋ 아무튼 넘 감사합니다!!",7.0,2개월 전
9,elyzionia,와 체형 영상 이제까지 보면서 한 번도 '나같다'는 생각을 해본적이 없는데 처음으로 난가? 난가보다!! 하면서 봤어요 하 유이레 그저 빛,8.0,4개월 전
10,usercm3xg5gt3w,스퀘어와 트라이앵글 기본개념까지 듣고 나니 어느정도 뼈대가 잡히네요. 스퀘어=내츄럴+스트레이트 / 트라이앵글=내츄럴+웨이브 요런 느낌이네요! 그런데 아직은 기본 내용이라 좀 더 심화된 내용을 얼른 보고 싶네요.,9.0,5개월 전
11,pearlina101,저는 발레무용수인데 항상 발레복입으면 잘어울리고 평상복은 어딘지 모르게 부해보인다 생각했는데 허리선을 안잡아줘서 그랬던 거군요 제 체형은 트라이앵글이네요!! 좋은 컨텐츠 감사합니당,11.0,5개월 전
12,userlz7vc7es7n,"오늘 정말 힘든하루였어요 ㅜㅠㅠ 하지만 유이레영상을 보자마자 힐링되는 느낌!! 
요즘 제가 무슨 체형인지 정말 고민이에요 
살찐 스트레이트인지 내추럴인지 어딘가에 걸친건지 … 저는 결코 트라이앵글은 아니지만 내타입이 아닌 것도 관심을 가지면 오히려 나에 대해 더 잘 알게 되는데 도움이 되더라구요!! 제 타입은 절대절대 아닐테지만 ㅎㅎ 오늘도 유익한 영상 감사해요",8.0,5개월 전
13,rumini1202,"아 살이 전보다 조금 쪄도 계속 호리호리해 보인 게 전형적인 트라이앵글 타입이라 ㅋ ㅋ 근데 진짜 무의식중에 요즘 오버핏 유행이어도 통바지는 안 입고, 허벅지는 딱 붙고, 하이웨이스트 부츠컷을 고집한 게 다 이유가 있었네용~",1.0,4개월 전
14,userub9id6li2x,"제 체형은 대체 뭔가 했는데 이타입인거였네요 발목팔목 전체적인 뼈대는 얇은데 상대적으로 허벅지랑 팔뚝엔 살집이 있거든요 살이 쪄도 배,팔뚝,허벅지에 집중적으로 찌고 골반도 허리에 비해 있어서 옷입은것에 따라 마르네 부하다 살쪘네 의견이 나눠지구요ㅠ 오늘도 좋은 영상 감사드려요!",28.0,5개월 전
15,hmee113,완전 제 체형이네요ㅎㅎ 허리짧고 골반넓고 손목발목 가늘고 뱃살이랑 허벅지에 살 붙는 체형! 저도 와이드팬츠는 펑퍼짐해지고 안어울려서 골반 잡아주는 스키니나 세미부츠컷이 잘 어울리더라구요,7.0,4개월 전
16,userqh1ex6gm1m,이런 유형이 내가 보고 싶은 부분만 보면 쉽게 살 찌는 거 같아요 ㅋㅋㅋㅋㅋㅋ 항상 집에서도 배 딱 붙는 티 입고 다녀야함... 안 그러면 풀어져서 ,6.0,5개월 전
17,userci7vr9oo2e,오 나다!하면서 들어왔어요. 살쩌도 가운데다 찌다보니 의외로 사람들이 잘몰라요. 팔과 손목이 가늘다보니 적당히 상체만 가볍게 가려버리면 티가 잘안나거든요. 그래서 5kg쪘다고 하면 다들 놀라요. 하지만 반대로 5kg 빼도 잘모름ㅋㅋㅋ,8.0,4개월 전
18,SLwf9di,"와.. 이게 저 인거 같아요!! 살 엄청 쪄도 손, 발, 손목, 발목만 보면 뼈 밖에없어여.. ㅋㅋㅋ 근데 저는 연예인들처럼 허리가 짧지않고 긴데도 얼추 잘어울리는게 비슷하네요. A라인 짧은 치마랑 허리 잡아주는 옷 스타일이 베스트!",30.0,5개월 전(수정됨)
