,youtube_id,comment,like_num,comment_date
0,userlo4qw6lo9j,얼핏 보고 다른 폼롤러영상과 다른 부분들이 있어 따라해봤는데요 ㅠㅠ 평소 혈액순환 정말 안 되는데 따라하는 족족 그 부위들 피가 퐁퐁 돌아서 너무 신기하고 시원해요.. 매일 따라해볼게요.. 감사합니다..,6.0,7개월 전
1,userqb5ew9fx8y,오늘부터 영상보고 따라해볼게요 언니 언니랑 키는 같은데 몸무게는 거의 10키로 차이나네용🥹 좋은영상 감사해요,2.0,7개월 전
2,userbh9lu5zp4g,열심히 따라해서 언니 몸매 손민수 해볼게요!!,0.0,7개월 전
3,jocoolgirl,폼롤러는  운동하기 전에하나요?! 운동하고아서 마지막에 하는건가요?!ㅎㅎ,0.0,7개월 전
4,usersi3yz4om3t,폼룰러 좋아하는데 따라해봐야겠어요!!!,0.0,7개월 전
5,SONto4ip,황유자uja님 운동 열심히 하시네요.,1.0,7개월 전
6,squidwardtennisballs3390,Oh my goodness you look absolutely breathtaking ,1.0,7개월 전
7,useryf2zi1vu4b,멋있습니다,0.0,7개월 전
8,usergl5mo8qp5q,폼롤러 정보 궁금해요!,0.0,7개월 전
9,gangmi,유자님! 혹시 운동복 하울도 보여주시면.. 어떨까용!? 찐편한 애정 운동복 룩북..,0.0,7개월 전
10,jeewooseo,유자님 민소매 정보 알 수 있을까요..?!️,0.0,7개월 전
11,userbj8qc9te1v,황유자님 너무 예뻐요,0.0,7개월 전(수정됨)
12,userrj5qd9wo2m,"혹시 풀영상(편집 안되어있는..) 올려주실 수 있나요ㅠㅠ?
보면서 그대로 따라하고싶어서요ㅜ",3.0,7개월 전
13,TheJungyunji,혹시 키가 어떻게 되시는지 여쭤봐도 될까용? 저도 54인데 47이 목표라서욥ㅜ,1.0,7개월 전
14,userbj8qc9te1v,멋있습니다,0.0,7개월 전
15,uservn3wj5oi7y,,1.0,7개월 전
16,yourshinnyy,,0.0,7개월 전
