,youtube_id,comment,like_num,comment_date
0,userjk4uw9wf3w,맵시있고 너무 예쁘게 커트해주셨네요~^^♡,1.0,5개월 전
1,usergh8td5rr5t,쌤은 신의!손이십니다ᆢ나도당장  머리손보러 달려 가고 싶네요 ᆢ건행 하셰요ᆢ,3.0,8개월 전
2,userov1rl5jw7i,쌤  짱   존경  존경  ^^ 행복한  설  명절  되세요^^ 항상  영상  감사  합니다-^^,2.0,8개월 전
3,userop9rk7lq7c,진짜 실력 엉망진창인 미용인들 너무많습니다.머리망처놔서.속상한적 여러번있습니다.선택 잘해야합니다.,2.0,8개월 전
4,hsk7228,이뻐요~ㅎㅎ,2.0,8개월 전
5,userks6gs7nd4m,"안녕하세요 
지금 쓰시고 계신 드라이 짧은 커트머리에만 가능하는가요
단발 웨이브  들어가 머리에도 가능하나요",1.0,5개월 전
6,userhf3im6ko7q,"대박~~~  
정말 대박이에용~^^",2.0,8개월 전
7,Gracefb6yo,"위치가 상동1번 출구에서 다른곳으로 옮기신건가요?
어디로 가야뵐수있나요?",3.0,8개월 전
8,userpu3gp6og6y,"항상 잘보고있습니다 
선생님 왼손 맞으신가요
저도 왼손이라 왼가위 구하기 쉽지않아서ᆢᆢ 암튼 잘봅니다",2.0,8개월 전
9,usernh9yb5nt6j,"원장님은컷트만큽은멋져부려,ㅎㅎㅎ그리고드라이가아주좋은데요새로나온신제품인가요^^비싸게지요",2.0,8개월 전
10,userbw2fo1jb7s,예약하고싶은데요  장소가어디인가요  여기는 경기도 광주에요,1.0,5개월 전
11,userhd9kk9hn5p,진짜 손님 너무속상 하시겠네요,1.0,2개월 전
