,youtube_id,comment,like_num,comment_date
0,userwx3fy2tg9p,눈물날만큼 행복했어요,6.0,9개월 전
1,usernh9yb5nt6j,처음오실때모습이완전희다른모습으로달라지신게너무멋지히네요원장님짱,4.0,9개월 전
2,Pinkxm5jo,윤민쌤   산성단독 사용하셨는데  산성바르고헹구고 다시 바르고 직펌하신건가요?  아님  연화 다시 하고 연화셋팅하셨나요?,1.0,7개월 전
3,usersr3kr6ry5s,넘 예쁘셔요 머리결이  다르네요   윤민샘 최고네요,2.0,9개월 전
4,userwx3fy2tg9p,윤민쌤  화이팅 입니다 너무맘에들어요,3.0,9개월 전
5,usersz1mn9fn8t,윤민쌤 너무너무 재미있어요 제의머리도 똑같네요 쌤님 사업장이어디인지 걀르쳐주시면 감사하겠습니다 꼭옥 부탁드립니다 쌤 화이팅 입니다 ~~,2.0,9개월 전
6,userlp3cs7ig9j,"역시 윤민샘입니다
최고네요
저분 오늘 생파하셔야겠네요~~^^
마이다스의 손입니다~~",5.0,9개월 전(수정됨)
7,userzd7et5kr8b,대표님 일반펌펌제 두피가려움 없는 펌제 있을까요?,2.0,9개월 전
8,userje4uq5lk6s,볼륨매직기 하기전에 머리샴푸했나요?,2.0,8개월 전
9,uservh6un3fl8g,일반 펌가격은 얼마인가요,2.0,7개월 전
10,userpw5hq2xl8d,예약을 하고 가야되나요,2.0,9개월 전
11,userzd7et5kr8b,펌만하연 두피가 너무가려워요,2.0,9개월 전
12,userrg3hf7in8e,김대석 쉐프랑 말투가 비슷해요,3.0,9개월 전
13,usertu6jx1qs5h,완전딴분이네,7.0,9개월 전
