,youtube_id,comment,like_num,comment_date
0,GU,"올영 알바생으로서 이번 데이지크 신상 테스터 깔때 블러셔 보고 너무 예뻐서 충격받았어요,,,,어쩜 색도 예쁘고,,아가일니트처럼 해놓은거 진짜 신박하고 예쁘더라구요ㅠㅠㅠㅠ데이지크 신상 10월 올영픽이니까 다들 올영가서 구매해보자구요!! 저도 블러셔는 무!족!권! 구매할예정입니당ㅎ
윤새님 역시 쿨톤이 맞나봐요! 바이올렛 니트룩 완전 잘어울려요!근데 어쩜 베이지 니트룩도 이렇게 잘어울리죠,,?윤새 is 뭔들,,",16.0,11개월 전
1,Angkkonuna,웜톤이라 베이지니트 팔레트랑 블러셔 주문하고 왔는데 윤새님이 바이올렛니트도 너무 예쁘게 소화하셔서 뽐뿌 오네요 ,5.0,11개월 전
2,userln2tq3cl3c,저도 올영가서 보고왔는데 너무 예쁘더라구요! 요즘 화장품 구매 자제중이라 일단 놓고왔는데 진짜 소장하고싶은 모양으로 기가막히게 뽑았더라구요ㅋㅋㅋ 매트섀도우파라서 팔레트가 펄이 너무 많아서 아쉬웠지만 진짜.. 예쁘더라구요..,7.0,11개월 전
3,say8018,역시 팔레트 맛집 다운ㅠㅠ특히 패턴 새겨져있는 거 완전 도라방스..요새 니트 들어간 거 왤케 다 예쁜지 증말 베이지니트 곧 제꺼가 될 거 같네용,1.0,11개월 전
4,DARAMK,윤새님! 이벤트제품 에뛰드 팔레트 너무 잘 받았어용 감사해요 근데 웜이고 쿨이고 왤케 잘 어울리시나요 너무 이쁘네용 섀도우 팔레트도 그렇고 블러셔도 립도 탐나는 제품이네요 ㅎㅎ 이번에 3ce 콜라보로 새로 나온거도 너무 이쁘던데 제 지갑은 왜 텅 비었으며ㅠㅠ얼굴은 왜 하나고 눈코입도 왜 하나일까요ㅠㅠㅠㅋㅋㅋ,1.0,11개월 전(수정됨)
5,jsh,"신상인데다가 너무이뻐보여서
뭘살찌 고민스러웠는데 ㅠㅠ
이렇게나 빠른리뷰영상..감사해요!!🫶",1.0,11개월 전
6,userul4qo3py6f,제 취향은 웜톤인데.. 이번 데이지크 팔레트 쿨톤도 정말 이쀼네요…🫢🥹 무얼 사야하죠….. 텅장 되버리겠어요…! 그리구 색감두 색감이지만 음각이 징짜…미쳐버렸어요ㅜㅜㅜ 아가일이랑 니트 짜임 모양 너무 뽀짝해용️,2.0,11개월 전
7,usergj7hv5br7n,데이지크 너무 이뻐서 써보고 싶은대 걍경매트파라서 매트보다 펄 비중이 항상 많은게 아쉽더라구여 헝ㅠㅠ 그래도 대리만족 윤새님 리뷰 잘 봤습니당!!️,4.0,11개월 전
8,Counterattackofpig,"겨울쿨톤인데 리뷰영상에 발색, 컬러보니 웜톤섀도우 사고싶어지네요ㅠㅠ",1.0,11개월 전
9,yoonsae,"저녁 10시에 '샵에서 받은 것 같은 베이스 꿀팁' 영상도 올라가지유,,우리 또 만나용!",1.0,11개월 전
10,userrq4ir2jy2c,졸라리예쁘다,1.0,11개월 전
11,bobissagazi,헐 개이쁘노 사러가야지,0.0,11개월 전
