,youtube_id,comment,like_num,comment_date
0,Youneed,"노멀노모어X윤이든 4차 마켓
구매링크 : https://m.smartstore.naver.com/normal-nomore/category/6c0dd935dcae4f43bcb4adf7e69782ae?cp=1

 마켓일정 : 4/3(월) 저녁6시 ~ 4/5(수) 자정
 옵션
1. 안티 레드니스 크림 대용량(100ml) 단품
33,000원   19,800원(40% 할인) 
2. 안티 레드니스 크림 대용량(100ml) + 앰플 SET
61,000원   33,000원(46% 할인) 
3. 안티 레드니스 크림 대용량(100ml) + 세럼 SET
58,000원  31,900원(45% 할인) 
4. 안티 레드니스 크림 대용량(100ml) + 세럼 2개 SET
83,000원   41,900원(49.5% 할인) 
5. 안티 레드니스 크림 대용량(100ml) 2개 SET
66,000원   37,600원(43% 할인) 

 배송비:전지역 무료배송!
 배송일정:4/4(화)부터순차출고
 구매 방법 : @ 무엇이든마켓 카카오톡 플러스친구 등록하시면 오픈과 동시 에 안내 메세지와 함께 구매링크를 보내드립니다! 
 결제 방법 : 네이버페이,카카오페이, 신용카드, 휴대폰, 무통장입금 결제 가능
 무통장입금 결제 기한: 주문일 기준 익일 자정 전 까지(입금기한 안에 결제해주셔야 꼭 정상출고 되니 참고 부탁드려요)
 배송 및 교환환불 관련 문의사항은 노멀노모어 스마트스토어 톡톡을 통해 문의해주시면 됩니다!
이외 문의 사항은 카카오톡 플러스친구 @무엇이든마켓 으로 메세지 남겨주시면, CS 담당 매니저님께서 답변 도와드리겠습니다!

+ 선착순 6시 3분에 마감되었습니다!!!",5.0,5개월 전(수정됨)
1,am1229,설명을 들어야하는데 이든님 얼굴 보느라 계속 돌려서 들었지모에요 마켓 제품 후기들 더 보러 가야겠어요!  이든님 추천이라면 믿고 쓸 수 있죠,0.0,5개월 전
2,userme2eq3nt6x,친구분들의 인증까지.. 더욱 믿음이 가욧,0.0,5개월 전
3,letsil9915,하악 요즘 제 피부에 딱 필요한 영상이에요..,0.0,5개월 전
4,userde6kt2xc5x,"언니 2차,3차 공구로 두번 샀구요!너무너무 좋아서 이것만 기다렸어요ㅠㅠ",0.0,5개월 전
5,userch7yu5vo3c,레티놀 세럼 좁쌀이나 요철 없애는데 진짜 좋아요 ㅋㅋㅋ 영상 잘 볼게요~!,1.0,5개월 전
6,userjs4wn1yv3x,환절기 때문에 좁쌀 파뤼인데 노멀노모어 밤에 크림팩 해주기 딱 좋은 제형이에요! 근데 선착순 혜택 짱! 무려 앰플 본품이네요. 지금 크림 2개 납작해졌는데 마켓 탑승 준비 완료입니당!,0.0,5개월 전
7,userls8zr4cy9t,좁쌀 때문에 너무 스트레스받았는데 언니 믿도 노멀노모어 한 번 사 볼게요 !!!!! 저는 수부지인데 괜찮겠죱 ㅎ.ㅎ,0.0,5개월 전
8,roselw4gs,패드 다떨어져서 사야되는데 듀이트리 한번 사봐야겠어요ㅎㅎ오늘도 영상 넘 잘봤어요!!,0.0,5개월 전
9,jieun5449,이든님 추천으로 노멀노모어 크림 정말 잘 쓰고 있어요!!!,0.0,5개월 전
10,JinaHo,안쓰면 손해이구요 .. 저도 다 쓰고 기다린건데  왜 안쟁였나 후회했어요 !!!! ,0.0,5개월 전
11,usertx3vq3wp7m,이 것만 기다려써요 이번엔 넉넉하게 사야겠어요,0.0,5개월 전
12,jellyfish686,美しい肌です(⁠◍⁠•⁠ᴗ⁠•⁠◍⁠)⁠,0.0,5개월 전
13,manduzipsa,앞머리 너무 이뻐용,0.0,5개월 전
14,userbj8qc9te1v,윤이든님 스킨케어템 리뷰 잘 볼게요,0.0,5개월 전
15,useryl1ot3de6n,크림 구매완료용 배송오늘 와서 사용해봤는데..좋아요...믿고씁니당 ㅎㅎ,0.0,5개월 전
16,hyanniii2271,크림바르고 화장해도 밀리거나 뜨는거 없을까요~?,0.0,5개월 전
17,ayi,잡티제거에도 효과가 있을까요...??,0.0,5개월 전
18,userxd3vo9rv5h,"구매링크를 아무리봐도 못찾겠어요
세럼과 앰플의 차이도 알려주셨음 좋았겠어요",1.0,5개월 전(수정됨)
19,userrn1zu7kq5c,피부 진짜 예민한데 블루테라피안티크림 괜찮을까요..? 뭐 안 올라올까요ㅠ,0.0,5개월 전
20,useron9yv5zu5f,립제품 궁금해요!,3.0,5개월 전
21,usercv8qk2gg9k,5차마켓은 언제하나욤…?ㅎ,0.0,1개월 전
22,naay,레티놀제품 얼굴에 아토피가 살짝 있는데 써도 될까요..?ㅠㅠ,1.0,5개월 전
23,userzt4lv7du6d,드디어ㅜㅜㅜㅜㅜㅜㅜㅜㅜㅜ,0.0,5개월 전
24,userxk4kc9xd5v,4월달도 화이팅입니다,0.0,5개월 전
25,akinuakinu2087,,0.0,5개월 전
26,userck8zm4vi4u,구매링크가안와요,0.0,5개월 전
27,ctusca881,놓쳤다...ㅠㅠ,0.0,5개월 전
