,youtube_id,comment,like_num,comment_date
0,userwv8ri5dj9z,다른 유튜버들은 광고가 많아서 영상 보기 꺼려지는데 이든님은 한결같이 좋은 제품들만 광고하고 광고 없는 영상도 많아서 신뢰가 가요ㅠㅠ 오늘도 영상 잘 봣숨니당 ~ 덕분에 제 통장은 텅텅,11.0,7개월 전
1,userkr2vl5tb8v,"하울 영상 중에 설명, 화면 구성 제일 깔끔 명료하고 옷도 진짜 다 이쁘고. 최고♡.♡",3.0,7개월 전
2,userme2eq3nt6x,매번 예쁜 옷 가득한 쇼핑몰 알려주셔서 넘 감사해요 다 제 취향… 정보 공유에 진심이신 이든님 🫶🫶 날이 많이 추운데 감기 조심하세욧,2.0,7개월 전
3,yj7453,나중에 실제로 택배온거 하울 보고 싶어요! 착용샷두요,104.0,7개월 전
4,am1229,쇼핑 영상 오랜만이에요! 자세하게 설명해주시고 같이 쇼핑하는 듯한 영상이라 도움이 더더 됩니당,0.0,7개월 전
5,userem2ep8gq4r,이든님 이 콘텐츠는 믿고 봐요 앞으로도 찍어주세요️,3.0,7개월 전
6,userqi3qm8qo2w,이런 컨텐츠 넘나 좋아요 구독 갈겨버림 그 추천해주신 쓰리버튼 자켓도 샀는데 퀄리티 넘나 좋아요 앞으로도 저렴하고 퀄 좋은 쇼핑템들 많이 올려주세여 ㅜㅜ,0.0,7개월 전
7,yuji1342,언니 썸네일 옷 넘나 이뻐서 홀린듯 들어왔습니다 감사해요 만셰만셰만만셰~~,0.0,7개월 전
8,userrz6ux3sd9b,꾸안꾸 러블리...겨울옷 영상 너무 조아요...,0.0,7개월 전(수정됨)
9,danidanihr2ex,요런 콘텐츠 넘 좋아요!! 이든님이랑 취향 비슷해서 넘나 행복해유,0.0,7개월 전
10,userqj5bk5qe7q,오디너리먼트 메..모.. 예쁜 쇼핑몰 추천 감사합니당 ><,0.0,7개월 전
11,userxk4kc9xd5v,윤이든님 새해복 많이 받으세요,0.0,7개월 전
12,jiwonlee8560,립조합 너무 궁금해요!!,6.0,7개월 전
13,userpsdDADA,제 키가 151인데 온라인 쇼핑몰에서 구매하면 핏이 맘에 들지 않아서 윤이든님은 주로 지그재그에서 구매하시나요? 아니면 다른 온라인 쇼핑몰에서도 구매하시나요.?,3.0,7개월 전
14,useruy6xg5bu7p,이날 메이크업 영상 올려주세요..,0.0,7개월 전
15,userdi5ib8gg8v,아우터 입어줄때까지 숨참음 흡,0.0,7개월 전
16,Hoonjii,"이든님! 오늘 립 몰까요? 넘 빤딱빤딱,,예뻐요
영상 내용은 아니지만 헤이미쉬 립글로스 쉬어레드랑 누드로즈 중에 연한 메컵하면 더 잘 어울릴 컬러가 몰까요ㅠ참고로 저는 페리페라 손웜수템이랑 투쿨 포그선셋을 젤 잘 발라여!",0.0,7개월 전(수정됨)
17,userlr4ep8zw4x,인스타 스토리 보고 바루 달려와써요,0.0,7개월 전
18,userpp2iw6rj4i,이든님! 혹시 섬네일에 연분홍색 맨투맨 정보 혹시 알 수 있을까요? 영상 끝까지 봤는데 못찾아서요ㅠㅠ 제가 혹시 놓친건가용? ,0.0,7개월 전
19,userbj8qc9te1v,윤이든님 겨울 옷 영상 잘 볼게요,0.0,7개월 전
20,userkz8is2hy4b,언니 이 메컵 찍어죠요...아니 개예쁘네 진심...,0.0,7개월 전
21,userke4ri6lp4k,"요새 최근 언니 몸무게나 허리사이즈나 허벅지 사이즈 궁금해요!!
언니덕분에 살 많이 빠졌어용",0.0,7개월 전
22,userkp7ow6jw3b,립 뭐바르셨는지ㅜ궁금해요 넘 예부요,4.0,7개월 전
23,useryl7kc7ly4d,립 대박 궁금,0.0,7개월 전
24,userql3gd9pg2z,오늘도 잘 보구갑니다 ,0.0,7개월 전
25,daeunkim9214,폰케이스 너무이뻐요 ㅜㅜ 혹시 어디서 구매하셨는지 알 수 있을까요?,0.0,7개월 전
26,ejleeeeee,입고계신 후드니트 꿍금해요~!!!,0.0,7개월 전
27,usereh5ho9vc4g,입고계신 후드니트 정보가 궁금합니돠아,5.0,7개월 전
28,jyh8763,립 뭐 바른건가용?! 넘이뻐용,0.0,7개월 전
29,userlw3ej2gy9j,혹시 썸네일에 있는 핑크색 맨투맨 정보도 알 수 있을까요?,0.0,7개월 전
30,luluqp2ch,꺄!,0.0,7개월 전
31,userhi4hq4fm9p,언니..스텐드오일 오블롱미니 크림이랑 스티치블랙고민중인데 언니라면 뭘 살껀가요 평소에 밝은옷을자주입어서 크림이당기는데 가방자체디자인이나 기본템느낌?은 스티치블랙이 더 끌려서 며칠째고민중인ㅠ,0.0,7개월 전
32,userff1tj2hc9u,무스탕 너무 예뻐서 꼭 사고싶은데 어텀뮤트 쇼핑몰은 사라진건가요??ㅜㅜ,0.0,1개월 전
33,bbungbbungdug,요즘 언니 복숭아가타요 ,0.0,7개월 전
34,userqo3zn6oi4t,입술 뭐 바르샸나요??,0.0,7개월 전
