,youtube_id,comment,like_num,comment_date
0,userui8sc2qm3b,예전부터 느꼈지만 생각을 조리있게 잘 말씀해주셔서 크게 공감하고 갑니다 ㅎㅎ 응원할게요!>_< 솔직한 후기들 늘 믿고 봤어요 ㅎㅎ앞으로도 종종 영상 올려주세요 ㅎㅎ,5.0,6개월 전
1,broooown,"윤터터님 오랜만에 인사드리네요. 몇년 전 유튜브를 가입하게 된 이유가 윤터터님 채널을 구독하기 위해서였고 힘든 시기에 터터님 영상 보면서 위로도 많이 받았는데 혹시 저를 기억하실지 모르겠어요 ..ㅎㅎ
오랜만에 터터님 영상을 보면서 잘 지내시는거 보니까 저도 기분 좋네요 :)
취업소식 들으니 예전에 회사 다니면서 유튜버도 하니까 힘들다고 하셨던게 생각나면서 예전 터터님 영상 많이 보던때가 생각납니다 ㅎㅎㅎ 취업 축하드리구 가끔 재밌는 브이로그, 메이크업 영상, 등등 영상으로 소식 들고 찾아와주세요 ",7.0,7개월 전(수정됨)
2,usernf6pl4xf5e,윤터터님~~ 요즘 취업해서 엄청 바쁘신가봐요~^^ 바쁜건 좋은거니깐 건강하기만해요~~^^,5.0,3개월 전
3,galenburpee8978,직장인부터 주부  부업까지 집에서도 일할 수 있는 중고사업 추천드립니다!,1.0,8개월 전
4,supershymakesksksksjdgsu,진짜 대단한분,0.0,1개월 전
5,heylim126,언니 너무 이뻐용 ,2.0,11개월 전
6,usernc3iy5pz3f,행복해야해요,1.0,2주 전
7,userrk3sy2gx6w,중간중간에 맛있다고 하는거 졸귀에요ㅠㅠ,2.0,11개월 전
8,userlk3dz9vw2r,터터님 다음 영상 존버,3.0,5개월 전
9,9DokKing,윤터터 님~ 이렇게 사랑스러우면 반칙 아닌가요?,1.0,10개월 전
10,usercv1so7si5w,맛있게 먹는거보니 먹고싶네요~출출할때 좋을듯.,1.0,11개월 전
11,HJem7hc,신예은님 닮았어요~! 휴 유튜버 전업으로써.. 어렵지요 ..ㅜㅜ,18.0,10개월 전
12,usersz4gy6vj8v,,0.0,9개월 전
13,usernf6pl4xf5e,먹고싶어서 영상 못보겠어요 ㅋㅋㅋ,0.0,3개월 전
14,usertu4ld4py8m,박은빈님 닮은거 같아용 ㅎㅎ,6.0,11개월 전
15,usercp8xn6qn2j,얼굴 존나 예쁘네 결혼하자,0.0,7개월 전
