,youtube_id,comment,like_num,comment_date
0,mynewhist,율럽님 영상은 명품을 다룸에도 화려하기만 한 게 아니라 정보성 가득이라 너무 좋아요,34.0,7개월 전
1,userle2qe7vk8l,꺄 완전 꿀팁 대방출이네요!!!!! 여행가시는분들 꼭 이거보고가시길 널리널리 알리고싶다는️️️ 오늘 룩도 넘나 이쁘구 언제나 귀에 쏙쏙들어오는 설명까지 감사합니당 ,17.0,7개월 전
2,raiddo4992,가격 비교 너무 깔끔하게 해주셔서 너무 좋네요~~~~~,9.0,7개월 전
3,rambo3570,"이틀 후 프랑스, 이태리 가는데 너무 잘 봤습니다. 또 감탄하며 봤어요. 역시 배운 사람은 다르구나 하며ㅋㅋ 그리고 자신의 적성에 찰떡인 일 찾아 행복해하는 율럽님 보며 저까지 행복해요(저는 명퇴한 전직 중학교 교사입니다)",11.0,7개월 전(수정됨)
4,yellowj65,옷!! 이번 컨텐츠 너무너무 유용해요!(물론 율럽닝 컨텐츠들 다 너무너무 유용하구 좋구요) 해외여행 가면 어떤 브랜드 가방이 한국보다 더 저렴하게 살 수 있는지 궁금했었는데 셀린느는 확실히 유럽에서 사야하는군용!!ㅎㅎ 담주에 샤넬은 과연 어떨지 너무 기대되용> _<,6.0,7개월 전
5,zipkkumi5037,"벨트, 모자등 소품 액세서리도 함께 담아주세요~ 
여행가면 작은 아이템들은 부피도 안차지해서 구매하면 좋을것 같은 데 궁금해 지네요.
유용한 정보 잘 봤어요~",2.0,7개월 전
6,userbv9qu5fn9y,세상에 세상에 4원에 파리로 신혼여행가서 가방 사려했는데 세상 꿀팁이 여기 다있네요 최고에요ㅜㅜ,2.0,7개월 전
7,kmkim19731973,"진짜 설명 똑 소리나게 잘하시네요!
선생님 출신이셔서 그런지 머리에 쏙쏙 들어와요~~♡",8.0,7개월 전
8,usernq9ie1ws4e,썸넬 제목부터 빵터졌어요 호구되지않기ㅋㅋㅋㅋ 오늘도 유용한 정보 가득한영상 율럽님만의 똑똑한 정보가 가득합니당!,6.0,7개월 전
9,sallyyooshin5856,"와..!! 셀린느도 요즘 엄청 눈이 가던데ㅜㅠ 무조건 유럽여행을 노려봐야겠어용ㅎㅎㅎㅎ 환율 떨어지거나 했을 때 잘 노리면 진짜 어마무시하게ㅠ저렴하게 구매가능하겠네용!! 한두푼 아니니까 신중하게 고민하게 되는데 이렇게 꿀팁으로 가격비교 해주시니까 너무 좋습니당!! 언능 담쥬 영상도 보고시퍼용!!

이번 주 영상도 너무 유익하게 재밌었습니당!! 담쥬에 언능언는 다시 만나여️",8.0,7개월 전
10,jjoahyo,"오늘 유럽 비행기표 샀는데 타이밍 대박이에요ㅎㅎ 셀린느 사고싶었는데 여행갔을 때 꼭 가봐야겠어요!!
오늘도 재밌게 꿀팁 알려주셔서 감사합니당",2.0,7개월 전
11,ming9rami,"지난 여름에 독일 여행간 김에 셀린느 구경갔는데 엄마가 가지고싶다 했던 카바스백도 거의 백만원 차이나길래 냉큼 구입했었어요!!
셀린느가 유독 가격차이가 있었네요",7.0,7개월 전
12,userlz7nz7tr1l,"입국시 세관 신고 여부 궁금합니다.
말씀해주신 가격이 입국시 관세 포함한 가격 인가요?",9.0,7개월 전
13,ssutv,진짜 너무 필요한 정보에요!!!!!궁금하였는데 설명을 잘 해주셔서 딱 좋아요!,2.0,7개월 전
14,userry4bn3my9o,셀린느 진짜 예쁘지만 저 가격대는 좀 아니다 싶었는데 역시나 유럽 가격은 납득이 되네요. 오늘도 유익한 정보 감사드려요.,1.0,7개월 전
15,oluv4skyo,우와~ 아직 보기전인데! 딱 필요한 정보라서 제목부터  저는 겨울에 여행예정인데~ 안그래도 오늘 신랑이랑 이얘기했었거든요~ 정말 알짜정보가 될거 같은 기대에 시청전에 먼저 댓글 남겨요! 두근두근,0.0,7개월 전
16,magenta995,이런 내용 너무 좋아요.  세금계산 방법도 꼭 알려주세요.어떤경우는 네이버 계산기대로 세금나오는게. 아니라 해서요.   그리고. 2-3개. 사더라도 같은 가격 적용이 되는지 궁금해요.,15.0,7개월 전
17,usermz5yr5ko2w,셀린느 이탈리아에서도 싸게 파나용?ㅎㅎ 아울렛 말고 일반 매장 가격 기준인 지 궁금하네용 ^^,2.0,7개월 전
18,userts1yl8vy4h,율럽님 항상애정합니다  가방설명 핫한가방유행까지 너무너무좋아요 그리고 톤도 설명도 똑부러지고 젤좋아하는 명품유투버에용,2.0,7개월 전
19,gram826,오늘 셀린느 보스턴 스몰 구매해왔어요... 셀린느는 유럽이 답이지만!! 당분간 유럽에 갈 일이 없을 것 같아.. 아른아른거려서 그냥 구매해버렸답니다~~~!~!~! 이 영상을 보고도 후회되지 않는다면 찐 위시리스트였던거겠죠?ㅋㅋㅋㅋㅋ,36.0,7개월 전
20,hyosunchoi4390,4월에 이탈리아 가는데 좋은 정보 감사해용♡ 셀린느 꼭 가봐야겠어요!!!,1.0,7개월 전
21,iamjoyfuljoy,"미국에서 사면 텍스까지 내야해서ㅠ 이왕 미국오셔서 사시면 세금 안내는 포틀랜드가서 사시는거 추천드려요! Nordstrom 매장에 이멜로 원하는 제품 오더 넣어서 픽업 가도되고요! 단 샤넬 제외..! 디올도 매장에선 안팔지만 다 구해주더라고요 ㅎㅎ 

샤넬같은 경우도 한국서 사는거 보다 미국서 사는게 적어도 백만원은 쌌어요~!",4.0,7개월 전
22,GloryKIM0EC0801,오 이번 영상 진짜 도움 많이됬어요,3.0,7개월 전
23,userfn9ye2fk5r,이거 시리즈로 시즌마다 계속 해주세요!!,2.0,7개월 전
24,userjj9xv1zk9b,가방사러 유럽가고 싶네요 ..사정상 당분간 여행은 꿈도 못꾸지만ㅠㅠ 율럽님 출장영상이라도 언능 보고 싶어요!! 목빠지게 기다릴게요,2.0,7개월 전
25,userff6ny8my9s,"진짜 궁금했던 주제에요!! 역시
울럽님",1.0,7개월 전
26,userpk3si2rm3j,방금 율희희희 브이로그보고왔는데 또 영상올라와서 너무 좋아요,5.0,7개월 전
