,youtube_id,comment,like_num,comment_date
0,hayeonhwang,역시 윰로그는 언제봐도 재미써여... 패션도 얼굴도 뭐든 다 내 취향이잖아요..️ 코맹맹이 소리나는 윰웅니도 그저 귀엽,3.0,11개월 전
1,usereh3sn6qp9v,저도 요즘 여행 가고 싶어서 미치겠는데 언니 영상 보면서라도 대리만족 해야겠네요ㅠㅠ🫶,0.0,11개월 전
2,jiyunkim2869,행복한 가족일상 찐입니다.항상 밝음뿜뿜도 다 좋은가족들의 힘이 아닌가 싶어요. 늘 응원합니다~!!^^,1.0,11개월 전
3,zismell,"공부하다 지쳐서 폰 켰는데, 언니가 어제 올려뒀었다..
늦게라도 봤는데, 역시 언니 브이로그는 진짜 감성 미쳤어요",1.0,11개월 전
4,Hrong,"언니 너무재밌다(아직안봄)ㅎㅎㅎㅎㅎ 헤헿 언니브이로그 젤좋아하는일인
딱 언니가준팩 붙히고,,, 딱브이로그 다보고 딱떼야지~
진짜 우리아빠도 경상도남잔데 맨날 먼저 저멀리가있음ㅋㅋㅋㅋㅋ",1.0,11개월 전(수정됨)
5,userfz6li6zn3t,알콩달콩  서로서로 잘 챙기며  행복한가을   알차게 보내길 ᆢ울딸 수고했고 늘 홧팅하구ᆢ 사랑해,3.0,11개월 전
6,useryu8ic6hs3y,윰님 브이로그 보러왔어요~~~♡ 매번 알림 설정하구 바로바로 봤는데 ㅠㅜㅜ 보는 속도가 늦어져 아쉬울 따름ㅠㅠ 자주 방문할게오!! 덕분에 힐링 받구 갑니당♡♡,1.0,11개월 전
7,deepgreentea,"맛있는 디저트와 음식들 보는 즐거움도 있네요오,,️ 히히",0.0,11개월 전
8,userez2ze8me6u,우왕 갑자기 알람 떠서 깜짝놀래서 들어왔어요!!🥹🥹 행복해용 ,1.0,11개월 전(수정됨)
9,Justdoitgrl9,윰님! 저 언니 브이로그 정주행했어요...️ 언니만의 감성이 담긴 브이로그 넘 조아효..히히!! 혹시 13:50에서 입으신 맨투맨 사이즈 좀 알려주실 수 있나요?!!!!저도 이 맨투맨 사려다가 사이즈 때문에 고민하고 있었는데 언니가 입고계셔서 물어봅니다!,0.0,11개월 전
10,usersn4pk4kq5n,윰님 커피드시는거보면 넘맛있게드셔서 커알못인데도 커피가땡기네요,1.0,11개월 전
11,userix9mb2yg6o,"유튜브 요정
누드립 특집 또 해주실 때가 된거 같다!!
첫등장 립 넘 예쁘기때문,,",4.0,11개월 전
12,userki4wh4dm9u,혹시 풀빌라 어디인지 알 수 있을까요? 너무 예뻐용,1.0,11개월 전
13,usernb5mj3li8i,혹시 왜 다시 코수술 하게되신건지 말씀해주실수 있나요?,3.0,11개월 전
14,yuunnss3447,왜 나는 모자이크 안해주는교,3.0,11개월 전
15,chejehuk1209,영상 잘봤습니다.혹시 밑에 링크 영상 3분 대에 나오는 웨스트코스트 01 하금테 안경 제품은 원사이즈로 나오는 제품인가요? https://youtu.be/nAE4EmBgroo,0.0,11개월 전
