,youtube_id,comment,like_num,comment_date
0,userfs3lq1ep7d,"윰탁님!!! 편안해지는 소리를 들을 수 있게 해주셔서 항상 고맙습니다. 유트브 피아노소리  중에 가장 편안해지는 연주소리입니다.
야생화 윰탁님 버전 들으니
 ""하현상-바람이되어"" 라는 노래도 윰탁님 버전의 피아노가 궁금합니다. 너무 듣고싶어요",1.0,1년 전(수정됨)
1,userux8io3gl5k,진짜 좋아하는 노래 이 노래가 이렇게 바뀌네요 넘 좋아요!,2.0,1년 전
2,usereu3tx8uh9s,완전완전 감사합니당..ㅠㅠ♡,1.0,1년 전
3,useroe2cf7gy8o,윰탁 스튜디오 덕분에 매번 잠 잘 자고 있어요 조심스럽게 어쿠스틱 카페의 Je Te Veux 신청해봅니다️,0.0,1년 전
4,userbd5yr8gj6g,윰탁님 안녕하세요! 항상 잘 듣고 있습니다~! 혹시 신청곡도 받으실까요 레이디스 코드 - 아파도 웃을래 신청 합니다!,0.0,1년 전
5,Yullp90,제발 접지마세요 진짜 사랑해요 제 생명의 은인이세요(?),0.0,8개월 전
6,userem1hv7eo7v,"딘디노래로
이러면안될꺼아는데너앞에서면노래해주세요",0.0,1년 전
7,userrx4li4ne6u,방탄 정국님의..still with you 듣고싶습니댜ㅠ부탁드립니댱 ㅡㅜㅠ,0.0,1년 전
8,RENOYouTube,안정하세요,1.0,1년 전
9,tsueloo,41초전1빠 그저목소리하나 신청가능한가요?,1.0,1년 전(수정됨)
