,youtube_id,comment,like_num,comment_date
0,hieveryone497,너무 이쁘고 피부광 미쳤고.. 인스타에서 본 일상들 영상으로 다시 보니까 너무 좋아요 언니 앞으로도 일상 공유 많이 해주세용 알럽조밍…,0.0,7개월 전
1,userek2ge6cz1w,"은정씌 진짜 예뻐요,, 이젠 예쁘다는 말로 다 표현 할 수도 없을정도 감기 조심하구 오늘도 영상 넘 잘 봤어요 !!",0.0,7개월 전
2,useryf2zi1vu4b,이쁘고 여성스럽고 멋지십니다새해 복 많이 받으세요^^,3.0,7개월 전
3,useron6cf6nl6z,언제든지 봐도 은조미 언니 꺼는 완전 좋아 영상 재미있어,0.0,7개월 전
4,SoSoed8fz,아 어쩐지 애기 너무 이쁘고ㅠㅠㅠㅠ태리여써,0.0,7개월 전
5,uservz5dj1wh7k,언니 브이로그 꿀잼이야 ㅠ,0.0,7개월 전
6,userqe6sp8ud4t,은조미님 브이로그가 재미있어요.,0.0,6개월 전
7,userxk4kc9xd5v,2023년 행복한 한해 되세요,0.0,7개월 전
8,happpie,은조미님 마켓에서만 제품을 사고 있는데 문샷 정말 애용 했었거든요! 다른 은좀픽 쿠션 마켓 계획은 없으신가요??,0.0,7개월 전
9,userzk9si7ye8m,좀언니 영상 잘볼게용ㅎㅎㅎ아껴봐야지ㅎ 항상 영상 감사해요🫶,0.0,7개월 전
10,userrj2hz5ze8p,자기 전 최고의 선택 은좀 엉니 유튜브 보기 ,0.0,7개월 전
11,hieveryone497,다시 와써요 잘볼게요,0.0,7개월 전
12,usergt1iw2rp2p,,0.0,7개월 전
13,userbx4xe9yj5j,머리 색깔 어떤거에요? 영상 볼때마다 너무 예뻐서ㅠㅠ 한번은 미용사님께 영상 보여드리고 염색 했는데 레드컬러가 나와서 머리 컬러 알려주실 수 있나용 혹시 탈색도 같이 하신건가용???,2.0,7개월 전(수정됨)
14,leemama,연말은ㅋㅋㅋ 역시나 맛있는 음식이 빠질 수 없지용??,0.0,7개월 전
15,Moroming,21초짜리 귀여운실수,0.0,7개월 전
16,wj8470,하트 있는 티 정보 알 수 있을까요??🥹,1.0,7개월 전
17,userbl5gn9tm9f,언니 머리색 무슨 컬러인가용..,1.0,7개월 전
18,usersr7jn6dq5l,아 예뿌다,0.0,7개월 전
19,userld8mn7gu2f,하하 잘보것습니다~,0.0,7개월 전
