,youtube_id,comment,like_num,comment_date
0,usermj2zq2xh1s,"은조미 위크.. 안돼... ㅜㅅㅜ 진짜 맘 같아서는 매주 보고 싶은 맘,,,,  얼른 또 돌아와주세욤🫶️",18.0,1년 전
1,bunny220,은조미님 스트레스받지말고 건강해유,0.0,7개월 전
2,userek2ge6cz1w,은정씨 일주일위크 영상 촬영하시고 편집까지 바쁘신데 해주시느라 넘 고생많으셨어요 ! 마지막 7일차 위크까지 너무 재밌었습니당🫶,0.0,1년 전
3,userpb4hw1bp5p,"일주일동안 영상 다 챙겨봤어요
편집하느라 고생하셨어요 ",3.0,1년 전
4,useryf2zi1vu4b,멋진 숙녀가 되시길 바랄게요,0.0,1년 전
5,always0r,"은조미 위크는 역시 사랑 그잡채...
좋은 영상 올려주셔서 감사해오 이 영상 보고 자극받아 갑니당 열심히 살아야지...!!!",0.0,1년 전
6,wannie2069,은조미님 항상 영상잘보고가요!!!!!^^매일 영상올리신거볼때마다 좋아요와 댓글많이많이남길게요!!!!!^^,2.0,1년 전
7,heylim126,언니 오늘 영상도 잘보구 갈게요 ,0.0,1년 전
8,OoOfe1ee,팥물 끓일때 안불리고 바로 끓여도 괜찮을까요??,0.0,10개월 전
9,userqx8bq9jr2w,영상 너무 잘 보고있오요!! 렌즈 정보 좀 알려주세여!!,0.0,11개월 전
10,rawann44,,1.0,1년 전
11,usergx7cj6mk2f,거짓말 돌아와여 ㅠㅠㅠㅠㅠ드라마마냥 한꺼번에보기 꿀잼이였눈데ㅠㅠㅠㅠ,0.0,1년 전
12,karakuwa553,"今日も1日お疲れ様でございます♪今は晴れて23℃までしか上がりませんでした♪今は肌寒いです♪これから日が短くなると思うと元気を無くします♪冬は苦手です♪寒いのは嫌いです♪冬が長く感じてしまうのは自分だけでしょうか？本日も素敵な動画をありがとうございました。

ウチも雌猫を飼っています♪動画もあります♪良かったらご覧下さいね♪",0.0,1년 전
13,usergt1iw2rp2p,️,0.0,1년 전
14,Jimonss,볼써 끝이라구요..? 은좀위크..? ㅠㅠㅠㅠㅠㅠㅜ 또 돌려봐야겠군뇨,3.0,1년 전
15,yul1381,언니 브이로그 사용하시는 카메라 모델명 알 수 있을까용🫶🫶,0.0,1년 전
16,userxk4kc9xd5v,은조미님 안녕하세요.,0.0,1년 전
17,leelee234q,렌즈 정보 부탁드립니다!,3.0,1년 전
18,userpm7jo7xp8m,머리 어떤색으로 염색했는지 알수있을까요??,0.0,11개월 전
19,userio9fw5ch4q,드라이기 어디꺼에용??,0.0,1년 전
20,userdt2gi9kd1t,일주일은 왜 7일인가요!,0.0,1년 전
21,userom5ih5dx8b,머리 색상 궁금해요,0.0,1년 전
22,87yenamom,저는 157에 47이요 ㅎ,0.0,6개월 전
