,youtube_id,comment,like_num,comment_date
0,ppaalsl,"배송받고 오늘 처음 써봤는데 클렌징 워터까지 하고 물 닿았을 때 촉감이 달라요. 폼클 전인데도 되게 부들부들.. 뭔가 잘 맞을 것만 같은 기분이 들어요. 일주일 열심히 해보려고요 :) 전에 메이크프렘 클렌징 밀크 썼을 때 절대 오일리 하게 되지 않고, 폼클에도 잘 지워지는 것 같지 않아서인지 그 제품만 쓰면 트러블이 나던데 마리꼬는 훨씬 가볍고 잘 지워지는 거 같아요.

+ 다만 오일리 하게 될 때까지 러빙 하다 보면 밀크 양이 점점 적어져서인지 뻑뻑해지던데 이게 맞을까요..?",3.0,8개월 전(수정됨)
1,ppaalsl,"잘 결정하신 것 같아요! 클렌징 밀크가 안 된다고 마리꼬의 다른 제품을 공구했더라면 조금 뜬금없다 생각이 들었을 것 같아요. 알고리즘 타고 클렌징 영상 보게 되었는데 비포 사진의 이마가 제 이마를 보는 것 같고, 이미 간증 댓글이 넘쳐서 바로 주문하러 갔어요. 말씀대로 수급이 어려운지 대부분 2월 예약배송이라는데 한 곳이 12월 말 배송이 가능해 500ml 바로 구매했어요! 할인쿠폰, 포인트, 카드 청구할인까지 체감가 3만 7천 원대 나오네요. 500ml 면 워터 제형도 아니라 양이 너무 많긴 한데.. 제발 잘 맞길 바라봅니다..",5.0,8개월 전(수정됨)
2,useruf8wy9ph5c,아니 진짜 써보세요 저 이분꺼 영상보고 걍 마리꼬라는 브랜드를 사랑하게 됐어요 진짜 나무 좋아 클렌징써보고 살면서 처음으로 클렌징하면서 쩍쩍갈라지는 느낌을 안 받아서요 진짜 아무리 비싼거 써도 조금이라도 땡기는데 이건 진짜 하나도 안 땡기는거예요 그래서 진짜 홀린듯이 샘플 크림 써봤는데 너무 좋아서 바로 사야지 했는데 진짜 너무 비싸더라고요 100ml가 15만원이라니….. 진짜 그 샘플 아껴쓰고 있어요 3일짜 쓰고 있는데 거의 다 써서 눈물이 납니다,1.0,3개월 전
3,jungyeonyun5751,"러빙 과정이 골고루 바르기 + 아이리무버 하는 동안 방치되는 시간까지 합해서 1분인 걸까요…?! (아니라면, 도합 몇 분 정도 걸리시나요?)

이전에 올려주신 영상 보며 따라하고 있는데, (1) 골고루 바르며 약간 러빙해주는 시간 + (2) 아이리무버하며 방치해두는 시간 + (3) 본격 러빙 이렇게 3단계로 나눠서 하다보면 3-5분 정도 소요되는 것 같아서 질문드려요!!",0.0,1개월 전(수정됨)
4,mimihan8542,"언니가 알려준세안법한지 벌써 한달다되가네요 ㅎㅎ 결이 많이좋아진것같아요
근데 밀크클렌징 바르고 좀 오일리해질때까지 꼼꼼히 문지르라고 하셨는데
열심히 문지를수록 뻑뻑해져서 나중엔 다 마르는?흡수되는? 그런느낌이거든여 
더 문질러야할까요.....?",0.0,7개월 전
5,userbc4ri1vj3c,언니 안녕하세요!! 솜털 많은 피부라언니 방법 그대로 써보려고 마리꼬 클렌징 밀크 따라 샀는데요!️ 혹시 좁쌀도 있지만 화농성 여드름도 있어도 따라해도 괜찮을까욥??,0.0,6개월 전
6,userxs7rm4ye3c,늘 진심으로 영상 올려주신다는 느낌이 들어요 앞으로도 화이팅 입니다~^^,2.0,8개월 전
7,uservn4mn9cv9c,다음 영상이 기대돼요 !!! 너무나 궁금한 비결입니다,1.0,8개월 전
8,useruv2vj8bw7u,"마리꼬 클렌징 밀크는 파데나 선크림, 색조 화장 세정력은 좋은 편인가요???",0.0,3개월 전(수정됨)
9,inoff8468,이니아니 항상 응원해용 ,1.0,8개월 전
10,userdz5zk8pn3t,폼클렌징은 어디꺼 사용하시나요!,2.0,7개월 전
11,userrv9th1ky9g,옷 정보 궁금해요오,1.0,8개월 전
12,usergi6ck5cg9b,미용티슈는 일반 클리넥스를 사용하면 되는걸까용,1.0,8개월 전
13,ParkPhoenicis,여드름안나는 선크림 추천좀 해주세요;; 젭알,2.0,8개월 전
14,usernm3qq6hz6l,보통 어디서 구매하세요??,1.0,7개월 전
15,useryl3ws4uz2c,언닝 아침에 일어나셔도 밀크 ㅡ 티슈 ㅡ 워터 ㅡ 폼클 이렇게 하세여??,0.0,5개월 전
16,userhj5jr1uq2c,두루마리 휴지 써도 되나요 ???,2.0,7개월 전
17,youngyoung5212,광나는 메이크업 기다릴게용🥹,1.0,8개월 전
