,youtube_id,comment,like_num,comment_date
0,een9,"인스타에서 5/21 오후부터 퓌 블러셔 무물 진행합니다!
https://www.instagram.com/_een9",0.0,4개월 전(수정됨)
1,SisselSasha,OMG you look AMAZING  love that makeup look! ,0.0,2개월 전
2,usercg3yl3kz7k,스모키 찰떡 🩶🩶 메쿠업 스킬이 날이갈수록 늘고잇서…,1.0,4개월 전
3,userym3bf7fq9v,와 언냐 너무 예뻐요… 얼굴형도 짱인데 이목구비가 전체적으로 내스타일… 메이크업도 정말정말 최고예요… 🩷🩷️,0.0,4개월 전
4,userdp3dp3nr8q,오늘메이크업 너무 예뻐요 ㅎㅎ,0.0,4개월 전
5,jellyfish686,綺麗な肌です(⁠◍⁠•⁠ᴗ⁠•⁠◍⁠)⁠,0.0,4개월 전
6,usermh4ls6fe4g,와 이 메컵 진짜 이뿌요...🩷🩷🩷,0.0,4개월 전
7,userzj1wy9hh3p,"omg~~~ 스모키 넘 예뻐용 
트렌드 따라잡기 도전  ㅋㅋ",0.0,4개월 전(수정됨)
8,sebonge,"진짜 피부오ㅑ케 좋아여ㅠㅠㅠㅠ
그냥 화장한듯",0.0,4개월 전
9,userct8dq7xj3w,잉구님 넘 귀여우세요ㅜㅜㅎㅎㅎ,0.0,4개월 전
10,useros4hh4dm9d,뽀용 볼따구가 넘 이뻐여 ㅠ,0.0,4개월 전
11,usertd4qy1fl3s,언더라인브러쉬 렌즈정보 너무너무 궁금합니다 반드시 알아줘야 합니다 ㅋㅋㅋ,0.0,4개월 전
12,userzy4cf2ok6o,잉구님 너무 예뻐요,0.0,4개월 전
13,lissasudo3148,Miss the skincare part ,0.0,3개월 전
14,userql6wl2nz2g,삼각존 브러쉬 궁금해용 !,1.0,4개월 전
15,xxdeborahxx,반지 정보 알 수 있을까요??🥹너무 예뻐요,0.0,4개월 전
16,hahaho2786,렌즈 정보 알 수 이쓰까요? 진짜 장원영같아요..,12.0,4개월 전
17,userfx7cw8bh5x,메이크업 존예 따라하고싶지만 무쌍은 뒤로갑니다..,0.0,4개월 전
