,youtube_id,comment,like_num,comment_date
0,usersm2nj9rj8h,"제가 베라모어 선세럼부터 계속 사용하던 찐팬이에요. 그런데 갑자기 제가 넘 좋아하는 다윤언니가 베라모어 마켓 진행하니깐,, 진짜 제가 왤케 감동이죠? 베라모어 브랜드가 이제 1년 넘은 갓신생브랜드라 다윤언니가 절때 모르실줄 알았는데.... 갑자기 언니가 들고 나오니깐.. 제가 왤케 감동이져ㅠㅠㅠㅠ 흐앙.. 저는 진짜 관계자도 아닌데 좋은 제품이라 맨날 주변에 홍보하고 다니던 1인인데 마켓 열어줘서 고마워요 언니ㅠㅠㅠㅠ 평생 다대기 할게여ㅠㅠ 근데 영상에서 진짜 술냄새 나는거 같아옄ㅋㅋㅋㅋㅋㅋ",12.0,2개월 전
1,flatwhite6356,술 취함에도 이렇게 프로페셔널 하게 설명이랑 이벤트 꾹꾹 챙기는 다윤언니 체고시다,5.0,2개월 전
2,jjiniyya,다윤님 20만 축하드려요 쌩얼이나 화장한 모습이나 둘다 이쁜 다윤님,5.0,2개월 전
3,sulming,"와이렇게 편리한 제품이 ...!!!!!!
믿고 3박스 구매완료요!!  항상 마켓여는상품과구성은 대박인거같아요 ",5.0,2개월 전
4,usernv7dg1xi6k,다윤님 이번에는 베라모어 제품을 공구해주시네요! SNS에서 많이 봐왔던 제품인데 기존 공구도 너무 만족했는데 이번 베라모어 제품도 다윤님이 직접 써보시고 리뷰해주시니 진짜 좋을 것 같아요!,0.0,1개월 전
5,blah7014,클렌징 꿀팁 다윤님 20만 넘 축하드려요!!! 울 다윤님 항상 건강하고 행복하세요,0.0,1개월 전(수정됨)
6,juliadarin,"진짜 리얼리티한 다윤님 ㅋㅋㅋㅋㅋㅋ 영상에서도 갑자기 술냄새 나는 것 같아요 ㅋㅋㅋㅋ 진짜 ㅋㅋㅋㅋ 너무 귀여워용 
신기한게 우리 동생도 저 브랜드꺼 클렌징패드 극찬하던데 다윤님도 쓰다니 뭔가 동생이쓰는 것보다 신뢰 퐉퐉 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ(동생아 미안하다) 근데 동생도 피부 좋고, 다윤님도 좋은거 보면 진짜 좋은가봐용ㅋㅋㅋ 저도 3박스 5박스 고민하다가 5박스 질렀어열ㅋㅋㅋ선세럼 본품을 준다니요 최고닭ㅋㅋㅋ️",1.0,1개월 전
7,userhu7sg4fv4p,헐 언니도 베라모어 알다니요 ㅋㅋㅋㅋ왕신기 ㅋㅋㅋㅋ 여기 선세럼 좋아해서 쓰고 있는데 ㅋㅋㅋㅋㅋ 저도 극효율충이라서 ㅋㅋㅋㅋㅋㅋㅋㅋ 클렌징패드 사서 써봐야겠어요 5box 구매 했어용 ㅋㅋ 빨리 써보고 싶네요 ~~!!,2.0,1개월 전
8,BlackJ,"우런니 벌써 20만명 구독이라니,, 나만 알고싶지만 모두가 알았음 좋겠는 유튜버ㅜㅜ 200만~2000만까지><",4.0,2개월 전
9,solha92,다윤님  츼해도  기여웤ㅋㅋㅋㅋㅋㅋ여자맘 넘잘알 울다윤님  저도  화장지우는개 제에에에에에에일 귀찬아요!!!!! 꼭사서 써볼께요  오늘두 미모짜응+제칭그랑 둘다 바로 세박스 갈겻어요 아이설레랏,3.0,2개월 전(수정됨)
10,userog6zv9yr3u,"아니 나 인스타에 올라온거 미리보고 진짜 놀랬다면서 .. 진짜 10초만에 싹 지워져서 너모 놀랫구 쌩얼이 너무 예뻐서 2차로 놀랬다면숴 ,, 99.12%면 진짜 웅니 말대로 내가 세수하는 것 보다 세정력 좋을 것 같아요 ㅋㅋㅋ 근데 진짜 인정하는게 술 많이 먹으면 너어무 귀찮아서 바로 드러눕는데,, 침대 맡에 몇장 던져놓고 슥슥 닦으면서 자야겠어 ,, (그래도 우리 모두 베라모어 클렌징패드로 깨끗하게 지우고 자요)",3.0,2개월 전
11,useruk2dp4mi1k,클렌징패드 진짜 편해보이네요!!! 언니 나린플라 수분젤클렌징도 꼭 리뷰 한번 해주세요ㅠㅠ,1.0,1개월 전
12,iexpert4063,너무 간편하고 좋아 보이는데요? 넉넉하게 3박스 구매했어요,3.0,2개월 전
13,hac7346,"하여튼!!내가 클렌징 티슈 다 떨어진거
어찌알고!! 영상에!! 좋은 제품까지!!
섭외해오는 다윤님 진짜 쌩얼이 더!이!뻐!!🩷",0.0,1개월 전
14,useriu1eu2mi5z,대박 ㅋㅋㅋㅋ언니도 베라모어를 알다니 ㅋㅋㅋㅋㅋㅋ 소오름... 내 최애 브랜드였는데 너무 신기해요 ㅋㅋㅋ 자사몰에서 보다 더 싸게 살 수 있다니요 이번기회에 5박스로 쟁였어요 ️ >< 꺄,1.0,1개월 전
15,ouuwaa,"숙취 향기가ㅠㅋㅋㅋㅋㅋㅋㅋㅋ 너무 욱겨..
완전 열정적이셔서 믿음이 낭낭함미다🩷
오늘 영상도 고마우어ㅛ🫶🫶",3.0,2개월 전
16,useril4cr6xi1l,"헐대박 저 여기 선세럼 쓰는데 ㅋㅋㅋㅋ 다윤언니도 이 브랜드 알다니요 ㅋㅋㅋㅋ소오름... 뭔가 기분 좋아진댜...허헣
언니 덕분에 할인 왕창 받아서 저도 5box 구매했오용 ㅎㅎㅎ 저도 언니처럼 꿀피부 되겠쥬?><",0.0,1개월 전
17,userku7ms6lw2t,친구도 이거 진짜 좋다 그러던데 믿고 구매 갑니다아 ,3.0,2개월 전
18,userxp7kt6iv6g,오왕~ 친구가 이거 좋다고 했는데ㅋ 언니두 추천해서 바로 질렀어요!!ㅎㅎㅎㅎ,3.0,2개월 전
19,usernb9mr1nw5x,온니이 나중에 지속력 빵빵한 물놀이 메컵도 해주세용!!!,1.0,1개월 전
20,userus5vq9ue1v,저거 유튜버 포니씨도 극찬하는 패드라고 해서 써봣는데 다윤님도 쓰시다니요 대박 ㅎㅎ >< 저도 구매했어요~~!,0.0,1개월 전
21,usergg5bs2yf8e,꺗 극한의 효율충으로써 바로 구매 ㅋㅋㅋㅋㅋ️,3.0,2개월 전
22,nextpangaeainc9723,믿고 쓰는! 3박스 구매 완료!!! : ),3.0,2개월 전
23,usermi6vb4dm5q,엇 저도 여기꺼 써봣는데 대박 ㅋㅋㅋㅋㅋㅋ다윤언니가 여기 브랜드 알다니 뭔가 갑자기 기분 좋아짐 ㅋㅋㅋ ️ 클렌징패드 핑크색 통일 때 써봣는데 패키지가 바뀐건가? 존예롭당... 다유니언니랑 넘나 잘어울림.... 그러면서 결제하고 있는 내자신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ빨리 써보고 싶네용,0.0,1개월 전
24,planemog1258,"아앙앗ㄷㄱㄱ 나같은 귀차니즘에게 체고의 잇테텡ㅁㅇ ~~ 극한의 효율츙 다윤언니한테 영업당하다 🩷닦ㅇ ㅏ냈는데 피부 당김 없이 쥬아유,,,꺄,,,,",1.0,1개월 전
25,naeun2303,꺅 나랑 mbti똑같네욤!! 나도 귀차니즘 심하고 극강의 효율충인데..,2.0,2개월 전
