,youtube_id,comment,like_num,comment_date
0,yuna7890,언니 같이 예쁜 사람이 예쁘다는 칭찬 듣고 신났다는 게 놀라워요,10.0,3개월 전
1,uservv3ld1du2d,언니는 어쩜 머릿결두 조은지… 아 진짜 언니랑 술 먹는 거 넘 재밌을 것 같아욬ㅋㅋㅋ!! 술을 너무너무 좋아하는 한사람으로서 음주 팬미팅 되게 재밌을 것 같아요  거의 하지 않는 언니만의 독보적인 팬미팅!!! 🩷 나중에 언니 팬미팅이 꼭 열리기 바라며… 울 언니 천만유튜버가 되길 바라며… 오늘두 힐링 하고 갑니다 재밌는 영상 고마워요 언니 🩷🩷,8.0,4개월 전(수정됨)
2,userwr7yw4kd6e,육아 하고 항상 언니 영상 자기전에 보는데 밝은 모습 보면 다시 화이팅 하게 되요!!!!!,5.0,4개월 전
3,useruc3qp6yw7c,예쁜데 성격까지 좋다? 언니는 모든걸 다가졌어요염색도 진짜 잘어울리시고 짱짱좋아영 ㅎㅎ,6.0,4개월 전
4,lx2x,와 다윤웅니가 겨쿨이라니 네츄럴톤에 걸치는 건지 얼굴이 예뻐서 소화하는 건지 웜같은 색도 다 소화해.. 나두 겨쿨인데 메이컵이나 코디 영상 많이 올려줘요,5.0,4개월 전
5,userro5sr3ev6s,"아닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 마지막 끝나는게 너무 웃기고 귀여워요,, 팬 이렇게
사랑해주는거 다윤언니뿐.",2.0,4개월 전
6,hac7346,"집에서 연휴에 밀려있는 회사일하느라 초췌한 나지만...12분의 대리만족을 시켜주는 그녀️
영상보다 잠드는 나지만 오늘은 잘수없닷ㅜㅜ
밀린일이여......언니 때문에 힐링한닷",0.0,4개월 전
7,userfk3kq1qs8u,"언니가 실제로 아는 언냐였으면 얼마나 좋았을까 싶은...영상 원래도 느꼈지만 이렇게나마 내적 친밀감 쌓아서 너무 좋아요 키키
같이 언젠가 술먹는게 꿈️️만나서 짠이라도..? 
요번에 스물 다섯먹고 제대로된 첫 독립! 시작하는데 독립+자취 관련해서 언니만의 꿀팁?이나 장단점 썰 등등 풀어주시는거 어떨까요! 평상시 집안일이나 집에 종일 있을때는 어떻게 하루를 보내시는지! 이런거요",1.0,4개월 전
8,userot3xf5hq8f,다윤님 밝은 에너지가 너무 좋아요ㅋㅋㅋㅋㅋㅋ,0.0,4개월 전
9,hahahahato5ld,이 언니 볼 떄 마다 너무 매력적이다...,0.0,4개월 전
10,nadongee,언니를 보면 그냥 너무 기분이 좋아져요 해피바이러스 인간 그자체🫢🫢️️,11.0,4개월 전
11,usercy3fs8bv7w,언니 진짜 대리즐거움ㅜㅜㅜㅜ 너무 밝으셔서 보는 제가 행복해요,1.0,4개월 전
12,userce4vz5lt7j,언니 진짜 미치게 예뻐요!!!!!!!!!ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,0.0,4개월 전
13,userbp8iv5qh3o,진짜 다윤쓰 너무 예쀼 ㅜ_ㅠ 공주님비주얼,0.0,4개월 전
14,mOgUa0311,다윤쓰는 진정한 술톤이다. 사람이 왜 술마시러만 가면 미모가 폭발을 하는걸까…?,2.0,4개월 전
15,sbwjskjdk,아니 언니 왤케 예뻐요 진짜 너무 예쁨 미모 걍 미쳤음,1.0,4개월 전
16,userge5jq4ip5g,ㅠㅠㅠㅠㅠㅠㅠ온니진짜ㅠㅠㅠㅠㅠㅠㅠ 지방러라  ㅜㅜㅜㅜㅜㅜ 언니 보고싶어서 서울살고싶다생각했어요 ㅠㅠ 이십만만 되길 기다릴꺼예요.  ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ ️️️️,1.0,4개월 전(수정됨)
17,btrue0205,아 빨리 다대기 정모 만들어요~ 언니랑 술 마시고싶어서 현기증 나여!,4.0,4개월 전
18,userdp6hw9ov4k,"모야,, 오늘도 왜케 예쁜고야 .. !

언니 근데 음식 꼭꼭 씹어 먹어융~
소화 안될까바 걱정돼",1.0,4개월 전
19,Kongeunseo,6차라니… 언니 대단해용,7.0,4개월 전
20,userut9ly4lq4g,꺄 언니  언니 브이로그 너무 조아요 언니가 떠드는 영상 다 조아요 ㅠㅡㅠ,2.0,4개월 전
21,userdt2we4pl8f,다윤쓰는 진정한 쿨톤이다,109.0,4개월 전
22,userfb8gh9yq1u,언니 ㅋㅋㅋ 웃음소리가 너무 취저입니댜....!!!,1.0,4개월 전
23,leeyg2gt,며칠전에 숙취에 절어서 술 안먹겠다규 다짐했는데 언니영상 보니까 술땡기네요,1.0,4개월 전
24,useryf6uu1jg1b,언니라고 치려다가 뭔가 그렇게 안보여서 확인해보니 나이가 저랑 동갑이시더라구요~~!!괜히 혼자 친근감ㅎㅎ..  다윤님 항상 건강하시고 행복하세요...🩷,3.0,4개월 전(수정됨)
25,HuJiShim,우리 다윤이를 꽉 채워주고 싶다!,0.0,4개월 전
26,userqt4sv8du7w,귀여웡..️️️ㅋㅋㅋㅋ 다윤님이랑 같이 술마셔보고싶다 진짜 존잼일듯,2.0,4개월 전
27,jjiniyya,확신의 쿨톤상 다윤님,0.0,4개월 전
28,shampoofairy,잦은업로드...넘조아유🥹🥹 요즘 언니 태국여행부터 썰전 입담에 빠져서 4일동안 유튜브 정주행 했어용ㅋㅋㅋㅋㅋ,1.0,4개월 전
29,userpk5bn6ff2m,"역시 넘 이쁨 ️
다윤씨 유튜브 정주행 하먄
기분이 좋아져요~.~
다이어트 보조제 알려주세요🩵",1.0,4개월 전
30,usersv8oi5gn5g,다윤님실제로봤눈데 진짜짖짜진짜짱이뿌시구 성격두짐짜진짜너무좋았어오 ㅠㅠㅜㅜㅜ짐짜긍정비타민에너지폭팔 ㅠㅠㅜㅜㅜ체고!!!!!!,1.0,4개월 전
31,qazwdcrfvjbg,꺄 저도 언젠가 우연히 만나면 페레로로쉐 선물하고싶어요 웅니~~~ 술 잘 못하지만 음주팬미팅 찬성찬성ㅏ,1.0,4개월 전(수정됨)
32,son6012,언니 오늘도 언니 영상 보고 힐링하고 가요🩵,0.0,4개월 전
33,mimiuh6hx,"웅니 영상에서 드시는 영양제뭐에융?!?! 나중에 드시고계시는
영양제 정리 영상도 올려주심 넘나감사할거가타유",3.0,4개월 전
34,userdm7cp7gg6j,안양 범계역 놀러오세요 옹니 술집 완전많고 핫훼요ㅠ 마주치면 기절할듯,1.0,4개월 전
35,nanalc3jb,10:46 남편이 먹다 남긴 훌랄라 치킨에 밥 비벼먹고 있었는데 언니가 짠해줘서 냅다 옆에 있던 탄산수로 짠 했어요 치얼쓰~~~~~~~,1.0,4개월 전
36,userpw7rn7hb5d,다대기 태국에도 있어요... 여기서도 보고 싶어요^^,2.0,4개월 전
37,hespersvlogs8109,"언니 역대급 예쁨 인정🫶,,, 상의 정보 좀 알 수 있을까요 ㅠㅠㅠㅠ너무 궁그매",4.0,4개월 전
38,useryf2zi1vu4b,멋있어요,0.0,4개월 전
39,usergl4dl4tu6x,"을지로 갔다가 신사갔다가 홍대간거맞죠? 진짜 대단해 나는 걸어갈수있는거리로 이동하는게 최선인데,,,ㅋㅋㅋㅋㅋㅋ",1.0,4개월 전
40,forever0,웅와아아앙 레전드 미모네여 언니 목걸이 정보 궁금해용!!,1.0,4개월 전
