,youtube_id,comment,like_num,comment_date
0,userey9qc2yy5j,진짜 깔끔하고 내용정리가 너무 잘되있어요!!,1.0,2개월 전
1,yoon1606,27일에 시험있어서 끝나구 드디어보네요 정우님 ! 진짜 심플하면서 너무 예쁘게 룩북 준비해주셔소 감사해요 ️ 이제 무채색은 정우님 덕분에 어느정도 입을줄 아는데 색깔이튀는 신발 ( ex) 빨강구두) 이랑은 어떤걸 매치해야할지 모르겠더라구요  나~~중에 혹시 괜찮으시다면 룩북 부탁드려도 될까용 ??,0.0,1개월 전
2,SONto4ip,정우Jungwoo님 여름룩북이 너무 잘 어울리시네요.,2.0,2개월 전
3,youngpv4iq,룩북 중에 정우님 룩북이 제일 좋아요..🩷 항상 좋은 영상 감사해요!,0.0,2개월 전
4,usergv6rg5ri6f,우와 심플한데 진짜 옷잘입으세요,3.0,2개월 전
5,jang8772,"여름코디 깔끔 그자체 이뻐여 !!넘나제스탈 ㅎㅎ
레인부츠 정보도 알수있을까욤 ",0.0,2개월 전
6,Dotoriacorn,이번 룩북 정말 다 예뻐요  오버롤코디 정우님 손민수 해야겠어요 🩵,1.0,2개월 전
7,mingki9786,기다렸어요!! 오늘도 너무 유용,0.0,2개월 전
8,userxt3ry9em1u,"옷이 정말 심플하면서 너무 이쁘네요 
여자친구한테 보여주고 입혀주고 싶어요
남자가 봐도 이뻐요",0.0,2개월 전
9,doit156,헐 이런 컨텐츠 너무 좋아요!!!ㅠㅠ,0.0,2개월 전
10,ine3258,정우님 소소한 궁금증인데 양말 컬러조합을 너무 잘하신 것 같아서 양말 주로 어디서 구매하시는지 질문드려도 될까요 ....?!🫶,0.0,2개월 전
11,donnaaaaaa,"아니 여름여신인가봐,, 제 여름도 가지세여,,",0.0,2개월 전
12,userwj9xc2mt7f,정우님! 저  look3에 나오는 사뿐 샌들힐 착용감 어떤가요?? 영상에서 자주 보이는데 높기도 하고 해서 사고는 싶은데 객관적으로 어떤가해서여ㅎㅎ,1.0,2개월 전
13,userbk2yj4vv5g,진짜 심플 이즈 더 베스트.... 다ㅡ너무 예뻐요!,0.0,2개월 전
14,qkdwlals123,다 이뻐요… 부츠컷 바지 여름에 안 더울까요???,0.0,2개월 전
15,jiminleeresults5846,,0.0,2개월 전
16,usertc3ov8jf4z,떠서 바로들어왔네요 ㅎㅎ ,0.0,2개월 전
17,userim8oz2er7z,너무 이뻐요 진쨩1:14초에 나오는 회색바지 정보알수있을까용?,0.0,2개월 전
18,usersw4vr6ww6b,6번째 룩에서 벨트 정보 알 수 있을까요?,0.0,2개월 전
