,youtube_id,comment,like_num,comment_date
0,userzs2dr2xf5z,보정한 썸네일보다 원래 얼굴이 훨씬 예뻐요ㅜㅜ,33.0,7개월 전
1,userff1rg4zy5p,어떻게 얼굴에서 완벽하지 않은 부분이 없어요….???? 완전 대박 예쁘시다,301.0,7개월 전
2,useroo7mu4hy2h,와 속눈썹 연장이 확실하게 되는게 보여요!!,74.0,7개월 전
3,ddjeong,속눈썹 올리신것두 예쁘신데 화장 보여주시기 전 옅게 화장한 얼굴이 넘 넘 예쁘시네요...!!! 특히 눈이 시원하구 넘 완벽하셔서 속눈썹 안하셔도 매력있고 예쁘실거같다는 생각이 들었어요 ,76.0,7개월 전
4,useril3mb1it3v,보정안한게 훨씬더 자연스럽고 청초해보이시네요 너무 예뻐요!!,168.0,7개월 전
5,lp4914,지금까지 한 메이크업중에 제일 우아하고 예쁜 거 같아요 진짜 단아 그자체,7.0,7개월 전
6,neoculturemakeup,속눈썹이랑 블러셔 진짜 레전드.. 갈수록 예뻐져요 ㅠㅠㅠㅠㅠㅠ어케 ㅠㅠ,16.0,8개월 전
7,userfp5jt7vd7o,보고 있으면 기분까지 좋아지는 페이스를 가지신거 같아요 ㅎㅎㅎ 오늘 기분 안좋았늠데 정채님 얼굴보고 기분이 좋아졌어요 신기하네요,0.0,5개월 전
8,hahauk7xq,"2:38 원래도 예쁘지만,, 마스카라 전후 미쳤어요ㅋㅋㅋㅋ 속눈썹의 중요성ㅠ 눈이 훨씬 풍성+커짐 퓌 쿠션만 써봤는데 마스카라도 그만큼 좋을지 기대중ㅎㅎㅎ",62.0,7개월 전
9,useryf2zi1vu4b,이쁘고 여성스러워요새해 복 많이 받으세요^^,3.0,8개월 전
10,userzu8yd8fc3k,"와,, 이렇게 예쁜분을 왜 이제야 알게 된걸까 ",2.0,7개월 전
11,userrf9eo7sw8e,얼굴도 얼굴인데 분위기가 너무 예뻐요 ,2.0,7개월 전
12,userwx1og1ns1b,반묶음 머리 너무 잘 어울려요,0.0,8개월 전(수정됨)
13,userkg9sc7xx5k,헐 정채님 안본사이에 더더 이뻐지셨네요,2.0,7개월 전
14,userkg9lp4ko5o,뭐야 뭐야 조회수 !!!! 처음부터 챙겨봤던 사람으로써 너무 뿌듯해요 안좋은소리 신경쓰지말구 항상 홧팅,0.0,4개월 전
15,userwg4hf8od1g,얼굴형에서 이미 완성인데?..부럽다 너무이뻐,13.0,7개월 전
16,usersq1zz3sn9h,와 너무 이뻐요ㅠㅠㅠㅠㅠ,1.0,7개월 전
17,usersh7fu9nv1q,마스카라 안하신 거 너무 청순해요..🩷,22.0,8개월 전
18,userck1ub4wt7l,아뉘 쌩얼도 완벽 그자체..,0.0,2개월 전
19,userew1nv9gn1v,ほんとにかわいい、、,0.0,2개월 전
20,usersb2kv1ew6k,원래 본판도 이쁘셔서 연하게 하는게 더 자연스러울 것 같아용,29.0,7개월 전
21,usertj3fi8rc2y,별루 보정 안하신 것 같은데..? 걍 개이쁨,0.0,7개월 전
22,csj0428,이번 메이크업 영상 베이스부터 전체로 보고싶어요ㅠㅠㅠ,1.0,6개월 전
23,useric2mc5co6l,제가 봤던 05년생 중 가장 예뻐요!,1.0,7개월 전
24,userps4oj9kp5p,오랜만이에요 ㅠㅠㅠㅠ넘 예뻐요,1.0,8개월 전
25,heehaha199,최근 잘끼는 렌즈 영상 한번 올려주세요 ㅋㅋ 렌즈들이 다 넘이뻐요 ,1.0,6개월 전
26,usermd8wm1gp1t,영상 캡쳐해서 썸네일로 하셔도 더 조회수 잘나오실거같아요 너무 이쁘세용,2.0,7개월 전
27,userei3ru8dc3k,얼굴형이 진짜 예뻐요,1.0,7개월 전
28,userle9ke8is3d,오늘 역대급이다..너무 옙뻐ㅜ,1.0,8개월 전
29,userrf5cd2hc1m,다들 화장 진하게 하니까 본판이 예뻐도 본판 기대 안하는 오해가 좀 있겠다,2.0,7개월 전
30,usernu3og7xe5e,너무 예뼈요️,0.0,8개월 전
31,couldnot,코 쉐딩만 좀 힘 빼고 하면 ㄹㅇ 메이크업 달인,24.0,7개월 전
32,lliilillil6049,mz메이크업이면 40대 분들도 좋아하시는 화장법이겠네요^^,3.0,7개월 전
33,seyoung8747,헐 퓌 마스카라 진짜 좋아요 진짜 진짜로...!! 원쁠원한다니 당장 달려갑니당,3.0,7개월 전
34,dbscodna11,헐 쌍액 ? 했을 때 봤었는데 왤케 이뻐졌지 ..?,2.0,6개월 전
35,teazle2001,세상에서 마스카라 젤 잘하는 05년생 아니냐며 ㅜㅜ,40.0,7개월 전
36,userco6th7qu2s,아 진짜 이쁘다 ㅠㅠ 맨날맨날 보러옴,0.0,7개월 전
37,dumpling3667,속눈썹 핵 부럽당..,1.0,8개월 전
38,userxj6vw3sp7u,"썸네일 보정없는걸로 바꾸시는게 
조회수 더 댑악일듯 존예다",7.0,7개월 전
39,Jhk248,너모 이뻐여,2.0,8개월 전
40,lilyednee,상큼한 복숭아 같아요 ㅠㅠ 잘 보고 가요 ! 오늘도 은혜로운 하루되세요 :-) 갓럽스유 ️,1.0,7개월 전
41,Catpigsame,"본판이 이뻐서 화장덜어내는게 더 이쁘실듯. 사실 피부, 연한섀도우, 블러셔, 마스카라 이거 네개로만 화장하시면 진심 이쁘실듯.",3.0,7개월 전
42,useryl8ef9hf4o,와 그냥 스노우로 보정한 것처럼 생기심... 초반에 화장 연하게 하셨을 때부터 개예쁜데,0.0,6개월 전
43,userhg1xm6jk2z,너무 이뻐요ㅠㅠ 화장 잘하시는 거 부러워요! 혹시 족집게 어떤 제품인지 알 수 있을까요?,0.0,5개월 전
44,usertx7be5pv9u,짱이뿌다 난 이렇게 속눈썹 올라가면 잘 어울리는 사람이 부러움ㅠㅠ 난 속눈썹 올리는 게 안 어울려서 밋밋함 짱이쁘시넹..,1.0,7개월 전
45,hzz6s2,립 정보 귱금해요 >< 넘 예뽀요..,1.0,7개월 전
46,userqu2sm3gy8l,피부관리 어떻게 하시는지 영상같은거 찍어서 알려주실수 있을까요..? 피부가 너무 좋으세요!,1.0,7개월 전
47,fuckingdailyfunny,"진짜 인형같이 생기셨어요.. ㅠ
메이컵도 메이컵이지만 너무 오목조목 예뿌심.. 댓글에서 보정하냐구 하는데 영상은 보정 안되는걸로 알기도 하고 보정이면 손가락 얼굴에 갖다댔을때 울렁이는데 그런것도 없는데 왜그러는지 ㅠ 암튼 너무 예뿌시다 ㅠㅠ 혹시 렌즈 정보 조심스레 여쭤봅니다.. ",2.0,7개월 전(수정됨)
48,yeeun0485,"쌩얼부터 이목구비 뚜렷하셔서 코 쉐딩 진짜 연하게 하시는게 더 자연스러워 보일것 같아요..
진하게 하거나 평소대로 하시니까 오히려 코가 도드라져 보여요..",6.0,8개월 전(수정됨)
49,Loverlkj,와 ㄹㅇ 예쁘다,3.0,7개월 전
50,userim8ov5ko2p,정채님!혹시 오늘 여기나온 영상에서 사용하신 피부나 섀도우 정보가 알고싶어요!혹시혹시 화장법도 시간 괜찮으시다면 올려주 실수 있을까요...?!,2.0,8개월 전(수정됨)
51,briley2408,ㄱ...그냥 본판부터가....이쁘잖아...,0.0,7개월 전
52,userku6xh5ti2b,개이쁨 ㅠㅠ,0.0,7개월 전
53,usercf1wp6cw7q,뭐야 그냥 예쁜사람이잖아,2.0,7개월 전
54,userqh9ot7vz8y,얼굴형이 너무 신기..!,5.0,7개월 전
55,usernt9kf6zi4p,너무 예뻐요!! 혹시 카메라는 어떤 거 쓰시는 건가요??,0.0,5개월 전
56,yn6801,05년생이 이렇게나 성숙하다니 나보다 으른같네,2.0,7개월 전
57,userxf7kv1se9l,얼굴이 3d?? 진짜 ai 모델 같은 얼굴 처음봐요 ㅋㅋㅋㅋㅋ 넘이뻐요,2.0,7개월 전
58,uii1982,언니 렌즈 정보 궁금해요..! 그리구 렌즈 조금 더 작은거 끼셔도 예쁠것 같아요!,14.0,8개월 전
59,userqm3vb2bc9r,님아 보정 안한게 훨씬 예쁜거같아요 마스카라 한것도 예쁜데 안한것도 귀엽고 너무 예뻐요,7.0,7개월 전
60,userrz1gr8dm6e,목소리도 그렇고 얼굴도 카리나랑 닮았네요.. 이뻐요,0.0,7개월 전
61,userel5mm8wv1j,와 브이넥 미쳤다 ㅠㅠㅠㅋㅋㅋ,1.0,7개월 전
62,tiyuurerweio6630,너무이쁘네요,0.0,6개월 전
63,usernu3og7xe5e,정채언니 오랜만이예요,1.0,8개월 전
64,usernx9xh6oq4c,언니 이 메이크업에 쓰인 제품들 전부 알 수 있을까용?ㅠㅠ,0.0,7개월 전
65,userfl8gs9ut3f,얼굴형 진짜 레전드… 턱선이 미쳤어요🥹,0.0,7개월 전
66,usermy6sg6kg9j,요즘 고딩들은.. 속눈썹을 한없이 올리는구나..,1.0,6개월 전
67,user19284zzdkwfg,썸네일 ㅈㅂ 보정하지마세여ㅠㅠㅠ 안한게 훨 예뻐야,3.0,7개월 전
68,userpj3ox2bf1v,썸네일보고 놀래서 들어왔는데 영상이 훨씬예뻐요!!!!!!,1.0,7개월 전
69,userbj8qc9te1v,정채님 너무 예뻐요,2.0,8개월 전
70,queenant,저도 쿨톤이에용ㅎㅎ블러셔 당장 지르러 가려구요ㅋㅋㅋ,0.0,7개월 전
71,aaaaaaaaaaaasaass,아니 광고 썸넬보고 화장을 왜 저렇게 했지 했는데ㅋㅋㅋ 쌩얼이 훨씬 예쁘신데 자연스럽게 해보세요ㅠ 빡쎈 메컵상이 아니심..,12.0,7개월 전
72,om1o985,속눈썹 핀셋 어디서 사셧어용??ㅠㅠ,0.0,7개월 전
73,userbv7ge1gz4r,혹시 꾸안꾸 메이크업 해주실수 있나요?? 본판이 너무 예쁘셔서 꾸안꾸로 하시면 정말 청순하실거 같은데!,0.0,7개월 전
74,userou7rk1pi5e,눈화장 하신 섀도우 정보 궁금합니다️,1.0,8개월 전
75,Beemil2,이게 요즘 미의 기준임??? 진짜 이쁜거맞음?,11.0,6개월 전
76,useriq8vx1rw4d,이쁘세요,1.0,7개월 전
77,useryv3um9nz7h,얼굴형 진짜 이쁘당,1.0,7개월 전
78,userbf1ud5jo7h,이 영상에서 쓰신 섀도우 정보 알려주세요!,0.0,7개월 전
79,userfg9dp7ff2d,머리 고데기 영상도 찍어주세요~~ ㅠㅠ,0.0,7개월 전
80,jongsuny1,입술이 예뻐요,0.0,8개월 전
81,userlf5xe8tc9l,렌즈 정보도 알려주세요,3.0,7개월 전
82,sujinn152,헐 화장법 너무이쁘다.. 뭔가 목소리가 김유연님 닮으셨어요..!!,0.0,7개월 전
83,Qkdmz6nc,혹시 전에 올리셨던 증사 사진관 정보 좀 알려주실 수 있을까요ㅠㅠ?,0.0,7개월 전
84,userln7dc6cz9i,머리하는법 궁금해요 ,0.0,7개월 전
85,userrt9bb2vq6t,렌즈랑 립 정보 궁금합니다 🥹,0.0,6개월 전
86,userqf5ug5vv5c,진짜진짜루 볼 때 마다 느끼는건데 엔믹스 지우 완전히 똑닮았어요 진짜 엔믹스 지우 완져니 닮으심…..,0.0,5개월 전
87,babamina4427,입술제품 넘 귱금해요,0.0,7개월 전
88,6uu6kkk,썸네일 보고 호다닥 달려왔어요,0.0,7개월 전
89,userdq5du3zk5x,고데기 하는 법 찍어주실 수 있으신가요ㅠ,1.0,7개월 전
90,vgru,"?? 썸네일 보고 AI인줄,, 개이쁘네",0.0,7개월 전
91,usergw8pr5sl9z,보정 안 한 얼굴이 더 예쁘네,0.0,4주 전
92,userry1ox4yf8m,섀도우랑 아이라인 뭔지 궁금해용,0.0,7개월 전
93,prosperitas4479,립정보 알수 있을까용?!,0.0,7개월 전
94,lediyomi,렌즈 정보 너무 궁금해요..,4.0,7개월 전
95,userju1tk5xe5x,렌즈 컬러도 너무 이뻐요~~ 출처 알고 싶어요 공유 가능 할까요~?,0.0,7개월 전
96,slr3123,썸네일 놓지마정신줄 캐릭턴줄..ㅋㅋㅋㅋㅋ,3.0,6개월 전
97,usergm1se6if9u,"요즘 애들 진짜 성숙하다.
20대인줄",8.0,7개월 전
98,userey4by6fh6d,혹시 립 어떤 제품인지 알수 있을 까요옹..?,0.0,7개월 전
99,useriy5fr9ng1m,언니 코쉐딩 영상두 찍어주시면 안 될까요..? 넘모 궁금해요,0.0,7개월 전
100,usersz8re8sd7m,공쥬다 공쥬님,1.0,8개월 전
101,userbg3eb1vr2y,"와 순간 동갑인줄
05학번으로 봣네 ㅠㅠ",2.0,7개월 전
102,userop1wg8qi9u,렌즈 정보 알수있으까요??,0.0,5개월 전
103,Wuehejekk,옹딱좋다 이뿌당,0.0,2개월 전
104,userqv6cu6oj8s,와 ㅈㄴ 이쁘다 턱이 ㅈㄴ 뾰족하네 ㅈㄴ 애니에 나오는 여주같음 ㅈㄴ 이쁘네 진짜,0.0,7개월 전
105,userlm9tg9gy7n,혹시 팔레트는 모 쓰시는지 알수 있으까요?,0.0,7개월 전
106,usercp3iv8yd3r,ㄱㅐ예쁘다 미친,0.0,7개월 전
107,j2j356,05년생한테 언니라니.. 댓글 나이대가 너무 궁금한것..,3.0,7개월 전
108,useryt3kr9mu5t,렌즈 정보좀요 넘  이뻐요,1.0,7개월 전
109,userbi7pw2sx2g,동샹 눈썹 그리는법도 좀 알랴줘요,0.0,7개월 전
110,userti5xb8tx2w,입술 정보 궁금해용,0.0,7개월 전
