,youtube_id,comment,like_num,comment_date
0,yennnxn,기요미ㅠㅠ 갈 수록 메이크업 실력이 느는 것 같아요 보는 내가 편안해 지는 느낌..🫧 쿨톤 메이크업도 너무 잘 어울리고 웜톤 메이크업도 너무 잘 어울려요️,2.0,1년 전
1,manduzipsa,원래는 화려하게 이쁜 사람의 대명사였는데 오늘은 청순 그 잡채,7.0,1년 전
2,userqu6hc1er5v,와 완전 공주님 처럼 생겼어요.. 조곤조곤 말투도 너무 편안 .. ,0.0,1년 전
3,userle9ke8is3d,오늘 진짜 청순해요,0.0,1년 전
4,usernv9ou4es9t,피부 진짜 좋다..,0.0,1년 전
5,wineluvin,섀도 너무 이뻐서 질러버린...1+1이라니 대혜자,0.0,1년 전
6,useryf2zi1vu4b,이쁘고 여성스러워요,0.0,1년 전
7,userbl5ef1gl4z,와 진짜 예쁘시네요..,0.0,1년 전
8,userbj8qc9te1v,너무 예쁘시네요,0.0,1년 전
9,usersz8re8sd7m,청순 미쳤다ㅏ,0.0,1년 전
10,Haeun0227,온니 너무이뽀!,0.0,1년 전
11,userwn9if8ib7i,너무 기다렸어요ㅠ,0.0,1년 전
12,userxn1op6om4u,렌즈 정보 진짜 너무 궁금해요ㅠㅠ 너무 예쁩니다... 제가 딱 원하는 렌즈... 꼭 부탁두립니더..,0.0,10개월 전(수정됨)
13,jongsuny1,예뻐요,0.0,1년 전
14,useroz4rg9gg1k,헐 영상 넘넘 기다려써요 ㅠㅠ,0.0,1년 전
15,dlwldn0110,혹시 애굣살 밑에 그리신 어두운 펜?? 정보좀요ㅜㅜ,0.0,3개월 전
16,mddung,팔레트 색감 대박조녜 마스카라 직모도 컬링잘될까요 ????,0.0,1년 전
17,userek3um8vo1h,"아 다 사고 싶다.... ㅎㅎㅎ 지르러 갑니닷... 총총,,, 지금 원플원하네요...",0.0,1년 전
18,userwx1og1ns1b,하루하루 리즈를 찍으시는..,0.0,1년 전
19,DrHong119,렌즈명 궁금해요 ,2.0,1년 전
20,userul6fb9se8r,렌즈정보궁금,2.0,1년 전
21,userxj2wf4ky3e,넘무 예뻐서 현기증나... 실례지만 키 몇이에요?,0.0,1년 전
22,useroj7rs7do4k,더이쁨,0.0,2개월 전
23,gugja6604,농협은행..,0.0,1년 전
