,youtube_id,comment,like_num,comment_date
0,Jessiehada,"저번 영상 부터 지인들이 계속 등장하네요 ㅎㅎ 비지니스 적인 모습이 아닌 real 평소 저의 모습이 나오는 듯한? 
그런데 놀고 들어와서 찍은거라 살짝 눈이 피곤해 보이는... 6개월 임산부는 금방 피로해집니다 흑...
anyway, 완벽한 쿨톤 제시와 완벽하게 웜톤인 친구
퇴사 후 재택으로 일하는 미니백 러버 (me) 𝑽𝑺 12년차 보부상 직장인 친구
정말 극과 극의 취향 ...... 그녀들이 뽑는  ONE PICK은?",23.0,7개월 전(수정됨)
1,hohoho7078,"제시님이 진짜 앵간한 쿨톤이신듯 ㅠㅠ
물론 모든백이 다 잘 어울리고 빈티지한 금장들도 전부 잘 어울리지만 22백이랑 주얼사첼이 하드웨어도 실버다보니 확 감겨요ㅋㅋ 피부톤이 확 밝아지고 얼음겅듀인데 온화한 모순같은? 아주 매력적인 느낌이 들면서 착붙이긴하네요ㅠㅠ 주얼 사첼이 결승까지 갔다는건 그만큼 본인에게 어울리는걸 잘 아신다는 증거!! 하지만 디올과 샤넬의 근본은 이길수 없긴 해ㅠㅠㅋㅋ",9.0,7개월 전
2,userru5ig8jx7n,근데 제시님은 디올브랜드가 너무 찰떡이에요진짜 확신의 디올상이여서 그런가봐영  퍼스널 가방 월드컵 재밌는데용찐친구분이랑 같이 있으셔서 그런지 언니가 더 신나보여욤,18.0,7개월 전
3,userkc4bz3zi1j,가방 다 예쁘지만 특히 디올라인이랑 맥퀸 쥬얼사첼백은 진짜 찰떡이에요!!가방이 주인을 잘 만나 찰떡쓰~,4.0,7개월 전
4,jianiese9666,"레이디 디올이 제일 짱 제시님한테 하얀색,검정색 레이디 다 넘 잘어울려요 샤넬 22백도 넘 잘어울리시고..! 제시님이 사시는 가방은 대부분 제 취향 저격 영상 보면서 대리만족합니당ㅎㅎ️‍",2.0,7개월 전
5,userrb6yq3hz8u,"와 신기해요 쿨톤웜톤 가방 색깔도 완전 다르네욬ㅋㅋ
친구분 가방은 유니크한게 많네요ㅎㅎ
상태만 괜찮으면 나이 들어서 들어도 분위기있을거같아요ㅋㅋㅋ 근데 진짜 무거워보이긴하네옄ㅋㅋㅠㅠㅠ",3.0,7개월 전
6,usermy3nu3xv7d,"제시님 예전 영상보고 맥퀸쥬얼사첼백 샀어요
각이 안무너지고 고급스럽게 화려하더라구요
쿨톤 웜톤에 맞는 가방 ^^♡
디테일에 강한 제시님 영상 보고 또 팁얻어가네요
그리고 보니 저두 쿨톤인지라 제시님 가방이 넘 넘 눈길이 가네요 ^^♡
디올가방이랑 넘 넘 잘 어울리니. 더불어 구매욕구 뿜뿜 ^^♡",2.0,7개월 전
7,macso3666,"제시님 친구분도 디자이너이시군요! 패션 컨텐츠를 주로 하시지만 브랜딩 디자인 영상 2개도 너무 잘봤어요. 가끔 다시 보는 영상입니다. CMF 디자인이 뭔지 이번 영상 보고 궁금해서 찾아봤어요. 나중에 기회가 되면 메이크업하면서 썰 푸는 형식이나 아니면 브랜딩 디자인처럼 각 잡고 입시, 학생 때 이야기 풀어주시면 재미있을 것 같아요. 제시님 영상은 제시님의 매력과 취향이 드러나서 너무 좋아요. 영상 속 가방들처럼~",1.0,5개월 전
8,userjx4pn3tq9c,"ㅋㅋㅋㅋㅋㅋㅋㅋ"" 요새 쌈박을 쓰냐  ?""..""그래 우리 곤조를 지키자""냐니 ㅎㅎㅎㅎㅎㅎㅎ 요새 제시님 영상 왤케 웃긴가 ...생각해봤더니 친구랑 있을때 같이 영상찍으면 그게 잘 나오는것 같아요 ♡♡♡♡♡♡♡",7.0,6개월 전
9,userce6vu3sp5s,"아니아니, 이번 영상에서 잴 쇼킹한건 제시님 키가 160이라는거 !!! 170 은 되어보이는데, 무슨 매직이죠??  비율의 중요성을 충격적으로 배우고 갑니닷~",2.0,7개월 전
10,kgvely,아아아닛!!? 레이디디올 화이트백 대충 들고만 계시는데도 찰떡콩떡 역대급 잘어울리시는데  탈락이라니!!?? 충격과 공포에 댓글달아욬ㅋㅋㅋ 오버 좀 보태서 같이 들고계신 샤넬22백이 오징어로 보일 정도였는데 제시님은 갖고계신 기준으로 맥퀸이랑 디올백들이 진짜 잘어울리시네요 라고 댓글쓰며 보는데 둘이 결승갔네요 신기ㅋㅋㅋ 어찌보면 둘이 상반된 이미지인데 둘다 넘넘 잘어울려용!!,0.0,7개월 전
11,userdj5mq2dy1j,알차기는 개콩이다 ㅋㅋㅋㅋㅋ 오늘도 잘 봤습니다 ㅎㅎㅎ 가방이 하나같이 다 이뻐요 ,0.0,7개월 전
12,userjt7rc8zd5i,와 진짜 쿨톤하고 웜톤하고 완전 다르네요 ㅎㅎ 컨텐츠 재미있게 넘 잘봤어요^^,0.0,7개월 전
13,useroo7jj1ix8y,제시님이랑 친구분 취향이 다른게 확 보이니까 너무 재밌네요 ㅋㅋ,1.0,7개월 전
14,rebeccalee3605,제시님 가방 야금 야금 사시더니 엄~~청 많네요 ㅋㅋㅋㅋ다양하니 코디할맛 날듯요 ㅎㅎ,2.0,7개월 전(수정됨)
15,userfm3xu5su9k,저희 남편두 ENTJ 제시님과 완똑 성격인데 애낳고 진짜 좋습니다~~ 애낳음 일단 선택할게 무지 많고 그거 하나 잘못된 선택하면 참 많이 돌아가야되는데 남편한테 조언 구하면 아주 분석적으로 타닥 설명해주니 제가 선택을 안해도 되서 너무편하고 남편이 알려준대로하면 대부분 만족인거같아요~제가 그래서 제시님 컨텐츠를 좋아하나봐요 아주속이 뻥 뚫림!저와는반대스탈이라 속 시원ㅋㅋ 가방도 속 시원히 나름의기준을 가지고 골라주시니 아주 보는내내 기분좋아영,0.0,7개월 전(수정됨)
16,Jennakr,"저두 디올이 좋아요ㅋㅋㅋㅋ친구와 대화가 담긴 자연스런 이런 영상두 넘 좋네요,, 라면은 잠깐이었지만 대리만족했어요!",2.0,7개월 전
