,youtube_id,comment,like_num,comment_date
0,cutesavestheworld,"꿀탬 엄청 많네요
하나하나 다 써보고 싶을 정도에오!!!
점점 나이 먹을 수록 건성이 되는 느낌이었는데, 제이시님 추천탬들 참고해서 구매해봐야겠어요ㅎㅎ",3.0,6개월 전
1,ayHOIZ,제품 링크까지 달아주는 제이시님 천사 …. 저는 제이시님 덕에 웰라쥬 앰플로 정착했어요 존좋  다른 추천템도 써볼게요 !!!!,2.0,6개월 전
2,userde9nt3pe7u,머리길이랑 앞머리 딱딱 너무 기여워ㅜㅜㅜㅜㅜㅜ️️ 좋은 제품들 소개 너무너무 감사해용,0.0,5개월 전
3,ghkdlxld8420,오늘도 꿀템 가득한 영상~~ 이제 영상 자주 올려주세요 제이시님~~~~~~~,1.0,6개월 전
4,Ywwwi,"진짜 히터에 마스크에 피부가 바삭바삭해요 ,, 꿀정보 감삼당 ♡ ️",1.0,6개월 전
5,userde9nt3pe7u,가디건도 얼굴도 너무 귀여워,0.0,5개월 전
6,userob9qb1ni9u,"마지막에 보여주신 오늘 메이크업 너무 깔끔하고 예뻐요🫶🫶🫶🫶 트릭세라 로션 계속 구매할지말지 고민중인데, 건성피부가 여름에 쓰기에도 괜찮을까요?",1.0,6개월 전(수정됨)
7,redkang6748,아 이번에도 넘나 유익한 영상 ,0.0,6개월 전
8,ueong2,"코스톡 수분크림 나중에 건조해지거나 날아가는 느낌 안 들까요~?? 거의 맨마지막 성분이긴한데 에탄올 들어있길래 여쭤봅니다 (근데 벌써 구매했어요...) 

그리고 제이시님은 연작이나 꾸셀같은 베이스랑 선크림중에 뭘 먼저 바르세요?",0.0,6개월 전(수정됨)
9,dnkty2204,"제이시님 옆광대커버메이크업 보고 너무 배워보고싶은데
화장을 잘 못하는 사람들을 위한 오프라인레슨은 안하시나요?",0.0,6개월 전
10,usersz5hd5uz2r,누나 항상 이뻐용,0.0,6개월 전
11,avadakedavra5044,수분크림 건성한테도 괜찮을까요?,0.0,5개월 전
12,yenas409,지금 순서가 스킨케어하는 순서일까용~??,0.0,3주 전
13,SONto4ip,제이시 JAYCEE님 아주예쁘군요.,3.0,6개월 전
14,ccashewnut1111,헤어 예뻐요~ 스타일링 자세히 알려주세요~,0.0,4개월 전
15,userxk4kc9xd5v,제이시님 3월달도 화이팅입니다,0.0,6개월 전
16,akinuakinu2087,,0.0,6개월 전
17,usergg6gi6be1k,코스톡 크림 궁금하닷,0.0,6개월 전
18,userch7yu5vo3c,웰라쥬 링크 100ml가 아니고 75ml예용,0.0,6개월 전
19,gaamza1515,일등이다~~,0.0,6개월 전
