,youtube_id,comment,like_num,comment_date
0,jodolworld," 제 인스타는 @jodol_world
 칸초 인스타는 @kancho_world",14.0,1년 전
1,kyungeunjang2138,칸초가 엄청 표정과 눈빛이 안정적이어졌어요 엄마 품에서도 편하게 있는!!! 이제 엄마를 믿고 의지하는 몸짓  사랑입니당,9.0,1년 전
2,userpr4cy7ec4k,보통 강아지들은 옷입는거 싫어하는데 칸초는 진짜 착하고 순하네요,14.0,1년 전
3,userrw3ju2xi5b,옷입는거 스트레스 받는 강아지도 많다고 들었는데 칸쵸는 얼굴을 쏘옥 내밀고 잘입네요.ㅎㅎ,6.0,1년 전
4,usercy4pz8ti5i,와 칸초 패션하울 너무 귀여워요 ㅠㅠ아니 저렇게 사랑둥이라니요 ㅠㅠ 만져달라고 누워있는거 귀여워요 저희 돌돌이는 매일 장난감만 가져와서 제 손을 잡아당기거든요 ㅋㅋㅋㅋ ㅋㅋ,10.0,1년 전
5,yoonglog508,너무 얌전한 칸초️ 칸초랑 함께하는 하울 너무 재미있어욤,4.0,1년 전
6,ahjj0907,"멋진 조돌님 영상 보며 옷 구매시 많은 도움이 됩니다️
칸쵸~ 옷 갈아 입혀도 얌전히 다 따라주다니 진정 개셔니스타
너무 사랑스럽고 귀엽네요️
저도 칸쵸 쿨톤에 한표입니다
영상 잘 봤습니다~~",5.0,1년 전
7,SOMSOMdg2qd,칸쵸 옷들 다 귀여워요   패션센스 넘치는 누나덕에 칸쵸도 멋쟁이네요  진짜 사랑스런 칸쵸 ,6.0,1년 전
8,oren50,깐쬬 가만히 있는게 너무 웃기고 귀여워욬ㅋㅋㅋㅋㅋㅋ 오랜만의 패션하울 잘 봤어요 조돌님! 새로운 시즌 준비하시느라 힘드셨을텐데 영상도 꾸준히 올려주시고 감동이에요️️️,8.0,1년 전
9,arizzang,와~소개해주신 옷도 예쁘고 칸초도 모델포스 뿜뿜이에요 ㅋㅋ 옷입을때 얼굴 쏙 들이미는거 넘 귀여워요^^ 처음 입고계신 스트라이프티셔츠 정보도 알고싶어요,6.0,1년 전
10,usersm2to1ur7l,"칸초는 모델끼를 타고난듯요ㅋㅋㅋㅋ
오늘 영상도 잘보고 갑니다이~~~~~",5.0,1년 전
11,uservl9ck7co7r,"토즈슬리퍼 딱 봐도 편해보여요~️
칸초댕댕이 볼때마다 이뻐지네요 너무 이쁜칸초~
예전얼굴이랑 지금 얼굴은 완전 다른강아지~ ",3.0,1년 전(수정됨)
12,monmonrt9jr,"개리야스도 소화해버리는 칸초!!
칸초 is 뭔들!!! 칸초 너무 다 잘 어울려요",4.0,1년 전
13,JLeehn7qu,"칸초 너무 귀여워요.
조돌님 머리 상큼해서 잘어울려요.",4.0,1년 전
14,userxl7yr5jr5u,으앙 칸초옷도 소개해주시다니 ㅎㅎㅎㅎㅎ 귀여워 죽는줄 알았어요 (즈이집 강쥐 눈치보면서...ㅋㅋㅋㅋ),2.0,1년 전
15,useruv6jm3er3u,진짜 너무 귀여워서 기절할것같아요,1.0,10개월 전
16,userro3lx7dp8u,칸초 룩북도 있다니.. 테켓티셔츠들 너무 이쁘네용! 좋은소비 해야겠어요 ㅎㅎ,4.0,1년 전
17,usertp4xp2yp6e,"칸쵸 사랑해,,, 조돌월드님 패션하울 너무 죠아요,,,",4.0,1년 전
18,hwataa2047,칸초랑 같이 커플룩북도 재밌을거 같아요!!! 칸초 개셔니스타!!!,9.0,1년 전
19,ASmn3og,I love Kancho ,2.0,1년 전
20,useruc1ng6jh9l,칸쵸 너무 귀여워요 ㅠㅠㅠㅠ 칸쵸 ㅠㅠㅠㅠ ,3.0,1년 전
21,userkv1us8zb7k,"개리야스~~~^^  ㅎㅎㅎ
저도구매하러가야겠어요
영상 잘봤습니다~^^♡",1.0,1년 전
22,lillyl6191,So cute,2.0,1년 전
23,userok8kv7iy4q,영상이 너무 짧게 느껴져요 1분 본거 같은데 끝났네요. 칸초 브이로그 한시간짜리 영상 만들어주셨으면 좋겠어요,3.0,1년 전
24,mickeymiheechilli1946,"패셔니엄마 만나서 칸쵸 최고의 옷빨개 되었구나 드파운드에 면티제작에 칸쵸얼굴넣어 팔면 인기많을듯여
토즈 슬리퍼 이뻐요",4.0,1년 전
25,hippog,"우연히알게되어영상털고있는중입니다
영상들이매력적이에요",0.0,9개월 전
26,usersi1lo9xs6c,칸초~칸초~~,2.0,1년 전
27,uservs8eg4sy1p,미쵸따 너무 귀여워요,3.0,1년 전
28,wellnessyuni1175,기다리고 기다렸던 칸초 룩북🫶🫶🫶,3.0,1년 전
29,moongci,칸쵸 꼬랑지ㅎㅎㅎ 귀요오~~~,1.0,1년 전
30,ssonggongju2305,칸쵸,4.0,1년 전
31,T02,칸초 인형이야으아악 너무귀여벙ㅠㅠ 엉엉,1.0,1년 전
32,sunitasinha6832,Koncho the cutesy,1.0,1년 전
33,fu311,"久しぶりの日本語字幕！️
vlogにも以前のように字幕付けてくれたら嬉しいです…",1.0,1년 전
34,userxc2ic5hm4g,으아칸쵸와 함께라니,2.0,1년 전
35,dhevyfskw,칸초 룩북 너무너무 귀여워요🫶작고 소중,2.0,1년 전
36,userbj8qc9te1v,조돌월드님 패션하울 잘 보고가요.,2.0,1년 전(수정됨)
37,userfi4yz4ox1g,ㅋㅋㅋㅋㅋㅋ칸초 겨울 브라이트톤이네~,3.0,1년 전
38,useruu3ef1so8b,미쵸다 개리야쓰 BYC,1.0,1년 전
39,jungsonu5169,졸귀탱이네요,2.0,1년 전
40,sggam6256,입고계신 스트라이프 반팔 티셔츠는 어디제품일까요???:),2.0,1년 전
41,iDillyD,So cute,2.0,1년 전
42,userff4ou4sv2c,칸쵸 너무너무 기다렸어요,2.0,1년 전(수정됨)
43,userdb5eu1yq2p,칸초 가을 룩북 기대할께용🫶️,2.0,1년 전
44,userso2dc8zw9l,칸하!,2.0,1년 전
45,usersx8gc1vn8i,반바지화이트 정보부탁드려용,1.0,1년 전
46,thehive6910,안녕하세요 영상 콜라보 협찬 문의 메일 드렸는데 확인 부탁드릴게요 :),0.0,1년 전
