,youtube_id,comment,like_num,comment_date
0,userpd7vc2ft4w,,5.0,9개월 전
1,lazysleeper1,"잔잔하게 피아노 연주하면서 우리 모두 따뜻하고 행복하게 만들어주는 쥬쥬님~
저희들도 행복을 담아서 말할게요~메리 크리스마스~",6.0,9개월 전
2,userkn6cb4uf7b,편안,3.0,9개월 전
3,berceuse57,"징글벨에 로렐라이까지 크리스마스 영상 선물 넘 좋다 
쥬쥬님도 메리 크리스마스 ~~ !! ",5.0,9개월 전
4,wannabewip,방송에서 피아노 실력 잠깐 들었던 거 같은데 이렇게 연주 영상을 올려주시다니.. 보는 내내 흐뭇한 영상이네요 ㅎㅎ 메리 크리스마스 ~!! ,3.0,9개월 전
5,pjchaans0831,쥬쥬님 메리크리스마스️ 영상 오랜만에 올려줘서 고맙구 행복한 연말 보내시길 바랄게요,4.0,9개월 전(수정됨)
6,userul6nz3iw2x,"짱갈래 쥬쥬 + 피아노 연주 너무나 행복해지는 조합
쥬쥬와 모두 즐겁고 건강한 크리스마스",5.0,9개월 전
7,dayfeeling,"능력자네ㄷㄷ
피아노까지
심지어 강약조절도 하시네ㅋㅋㅋㅋㅋ
옆에있는 트리까지 너무 잘 어울려요",5.0,9개월 전
8,userzo9cy3xl1v,연주가 너무 감미로웠습니다^^ 즐거운 크리스마스이브되시고 즐거운 크리스마스 보내세요 주현님♡♡♡♡♡,3.0,9개월 전
9,starlord1234,쥬쥬쥬쥬♡ 영상 일주일에 한편 이상 기원,6.0,9개월 전(수정됨)
10,shahnameh12,멍하니 빠져서 계속 보게된다 ㅋㅋ 빠져나오는데 30분쯤 걸림,4.0,9개월 전
11,userfx5xk2ir6k,요새 공주들에게 악기는 기본소양이군요....!!!!,4.0,9개월 전
12,userol3jq1hj9v,"뒷모습은 완전 고등학생이네요!
아맞다 19살이구나 너무 귀여워요ㅜㅜ",1.0,9개월 전
13,userig1bf1js8e,피아노까지 잘친다....? 이거 못막는데,5.0,9개월 전
14,pjchaans0831,3:25 어?? 뭐얔ㅋㅋㅋㅋㅋㅋㅋㄲㅋㅋ ㄱㅇㅇ,4.0,9개월 전
15,useryr5iq9xj2w,트위치 영상 왜 다 삭제된건가요.? 저만 안보이는지,0.0,9개월 전
16,modelhun,몬난눔 타고왔어용,1.0,8개월 전
17,queenz9489,양갈래 귀엽go 목소리 me쳤네 개달달보스 디저트쎄요~~~?!,3.0,9개월 전(수정됨)
