,youtube_id,comment,like_num,comment_date
0,cocomeeh2wj,"쥴리쿠님 덕분에 간접체험 잘 하고 가용
저도 곧 브이로 리프팅 받으려고해요
47살에 갑자기 피부 현타 와서 슈링크 인모드로 이중턱이랑 얼굴라인 정리는 됐지만 탁력이ㅠㅠ미백 레이저도 같이 받지만 너무 늦게 관리해서 효과가 좋진 않네요 쥴리쿠님처럼 피부 좋을 때 열심히 관리 받았어야 했는디요 후회가 ~
항상 열심시 관리 받으시는 모습 멋지세용",1.0,4개월 전
1,sdhnncvz2224,쥴리쿠님 간접체험 넘 귀해요 ㅠ 혹시 엔코어리프팅 받아보셨을까요?ㅠㅠ 라인정리랑 탄력 채워준다고 하는데 어떤지 너무 궁금해요 ㅠㅠ,1.0,4개월 전
2,hanrd6bs,진짜 탄력이 생기는게 보이네요~,1.0,1년 전
3,userxs4cd7xr8v,쥴리쿠언니는 브이로 잘 맞는거 같아요!! 전 피부가 두꺼워서 그런가.. 엄청 효과 보진 않아가지규ㅠ 고주파는 올리지오랑 하이푸는 요새 나온 타이탄으로 갈아탔는데 이 것도 잘 맞는거 가타요 담엔 다른것도 추천해주세요,1.0,7개월 전
4,usernt4zz5gw8s,줄리쿠쌤 늘 잘보고있어용! 근데 쌤은 따로 각질케어나 비타민케어는 안하시나요? 저는 아쿠아필같은걸 받아볼까하는데 선생님따라 요즘 인모드랑 슈링크도 받아봤는데 효과 굿..진작할걸 했어요!  각질은 따로 피부과케어 안받으실까여?,2.0,1년 전
5,userjj7on8eo4o,"안녕하세요 줄리쿠님 항상 잘보고 있습니다~~! 저는 피부가 말랑 거리는 타입인데요 얇은편입니다 ㅠ
줄리쿠님은 피부가 두꺼우신 편이신가요? 레이저 받으면 피부 얇아지고 꺼진다는 후기가 넘 많아서요ㅠ",2.0,1년 전
6,useruy9il6gg9d,언니 울쎄라도 받아보셨을까요? 저는 울쎄라받고 더 루즈닝와서 울쎄라하기는 무섭고ㅠㅠ 탄력없고 쳐지는 느낌이라 레이저하긴해야하는데ㅠㅠㅠㅠ,1.0,9개월 전
7,paulek9zg,응원합니다^^,2.0,1년 전
8,userhy1fn9bu5t,좋은 정보 공유하고 응원합니다 좋아요,2.0,1년 전
9,oauworks542,2주뒤  궁금해요~하이푸랑 rf가  한번에라  더  기대됩니다,2.0,1년 전
10,userxk4xx1kz2b,"오 저 브이로에관심있었어요.. 아픈거못참으니깐, 이거추천하더라구요
초음파고주파같이하면 시너지 효과를 발휘한다고... 근데 쫌 고민인게 고주파는 열감이있다고했는데 저는 원래얼굴에열이있는편이라 열감이있는게 싫더라구욧ㅠㅠ열감이있어야콜라겐생성은된다고하긴하던데.. 그래서 초음파라인만받아야하나고민이에요ㅎㅎㅎ",3.0,1년 전
11,kimqw8ql,쥴리쿠님 잘보고 있어용 ㅎㅎㅎ 혹시 브이로 몇샷 받으셨나요??,1.0,2개월 전
12,ly733,이거랑 울쎄라랑 어떻게 다른가요~? 울쎄라가 가장 쎈 하이푸 라고 알고 있어서 울쎄라 생각하고 있어요. 근데 하이푸 잘 못 맞으면 얼굴 볼륨이 너무 꺼지 더라고요 ㅠㅠ,2.0,1년 전(수정됨)
13,userxo7dx3rx8l,브이로 리프팅은 강도에따라 가격이 틀린가요?,1.0,3개월 전
14,minmina821,슈링크 올리지오 다 아파서ㅠ 스트레스 받았는데 이건 확실히 안아픈가요?ㅠ,1.0,7개월 전(수정됨)
15,userkr2fr8ev4s,여기 제가 다니는 피부과라 브이로 문의드렸는데 그런건 안하신다네요..ㅠ 뭘까요?,1.0,1년 전
16,usergm5fy4rf8e,저는 레이저하러 갈 때 일부러 세수 안하고 가요.썬크럼도 안바르고. ㅋ,1.0,3개월 전
17,userxk7xv3mc3v,여기 언제 상담갔던 병원 같은데 이름이 기억안나네요 ㅁㅈ에요?,1.0,7개월 전
