,youtube_id,comment,like_num,comment_date
0,usergk5yq3ge2y,안녕하세요. 저희친정어머니 하나님께로 가신지 삼일되는 날이에요..장례가 끝나고 어머니  잘보내드리시고 집에왔는데..늘 어머니께서 유튜브에 들어가서 들어보라고 했던게 생각나서 들어와봤어요..목소리가 너무좋으셔서  즐겨들으신다고 하셨었거든요.. 계속 투병중이셨는데 잠시나마 노래를 듣는동안에는 행복을 느끼신다고..감사드려요.. 어머니생각에 또 눈물이 나지만 저도 자주 들으면서 이겨내보겠습니다..,90.0,2주 전(수정됨)
1,userqr5wd7ni9s,목은 괜찮으신지 건강하시길 바랍니다. 찬양 너무 좋아여,5.0,12일 전
2,arnoldhong,사랑합니다 감사합니다 고맙습니다 ,4.0,2주 전
3,kyung6040,항상 밝은 표정과 목소리를 낸다는 것이 스트레스가 되지는 않으실지.. 더운데 건강 잘 챙기십시요^^,4.0,3주 전
4,userix9qr2ep6m,찬양 할렐루야♡♡ 모든 영광 홀로 받으실 주님을 찬양합니다!,1.0,6일 전
5,usergi6mf4js9f,"하나님 저도 이렇게 하나님 안에서 평안케 인도해주세요ㅠㅠㅠ
아름다고 은혜로운 영상 감사합니다",6.0,11일 전(수정됨)
6,usergd3gs6ys8k,"풍경도
지나님 음색도
사랑스런 아이들모습도
힐링 그 자체입니다
삶의 고백같은 찬양이 너무
마음에 와 닿습니다",28.0,4주 전
7,userfo3uu5bq4s,"아멘 ~은혜받고가여~
풍성한삶 누리시기를 축복합니다 ~",18.0,1개월 전
8,esther9346,답답한 인생에 시원한 파도와 같은 아름다운 찬양 감사해요~~️,7.0,3주 전
9,userxl9hl9co2d,"지나님
찬양 감사합니다
주님의 은혜로 지나님 부르시는찬양을 듣게 되었습니다
건강히 잘계신 모습 보게 되어 감사 합니다~
주님 다시 오실때까지 지나님의 찬양이 계속 되기를 기도합니다^^",18.0,1개월 전(수정됨)
10,chj3418,그새 애기들이 많이 컸군요.   지나님 찬양은 항상 은혜롭습니다,8.0,3주 전
11,eunhee5825,성령의 바람이 불고있네요 찬양 감사합니다 ,23.0,1개월 전
12,tvbless,축복합니다. 주님안에 늘 건강하시고 가정가운데 기쁨 가득하시길 기도합니다.,12.0,1개월 전
13,userdd1ge6vn4k,지나님 초기부터 듣고 태교도.. 아기 안고도 듣는 구독자에요.. 항상 예쁜 목소리로 주님 찬양하심으로 은혜 나눠주셔서 고마워요.. ^^ 오늘도 주님안에서 평안한 하루 되세요.. !,8.0,2주 전
14,userig1sy4gj6t,"완젼. 아름다움ㆍ아멘입니다
할렐루야ᆢ복많이받으시고. 아이들도 건강히 잘지켜주시는 의지의 하나님 감사합니다~^^♡♡♡♡♡♡♡ 4:02",33.0,1개월 전(수정됨)
15,uservm3xw6lq3r,지나님 아름다운 찬양 감사합니다아이들 너무 귀여워요 항상 주님안에서 평화롭고 행복하세요아름다운 목소리의 찬양곡 많이 들려주세요~~팬입니다,24.0,1개월 전
16,widerhorizon,세상의 먼지들을 씻겨주는듯한 찬양과 아름다운 자연환경을 그대로 배경으로 쓰신 영상에 감사드려요,10.0,1개월 전
17,sikyungmoda9241,너무나 은혜로운 목소리로 찬양들려 주셔서 고맙습니다~ ,26.0,1개월 전
18,jyhjohn200,시원한 바다 배경과 함께 힘있는 찬양이 마음에 큰 위로가 됩니다~~주님의 영원하신 팔 의지합니다^^♡♡♡,38.0,1개월 전
19,healingvoice119,"우와 아름다운 바다와 하늘과 바람 속에서 부르는 찬양 너무 좋네요!!!^^
주말 아침 지나 찬양에 상쾌하게 시작합니다!!!",22.0,1개월 전(수정됨)
20,userqq2kp2kb6w,"주님께서 내옆에 계심
우리를 언제나 지켜주심을
지나님의 찬양으로
느끼고 은혜받고갑니다~
감사드립니다~",20.0,1개월 전
21,ellen1731,"대학입시를 치르며 종종 들었었는데, 오랜만에 들어와서 제일 최근 영상을 눌러봤습니다. 그때도 지친 저를 일으켜 세워줬었는데, 오늘 밤에도 위로가 되네요. 어려운 대학 공부에 지치고, 자신감이 많이 떨어져 우울한 밤이었는데 한번 다시 힘을 내서 공부해 보겠습니다. 감사합니다!",4.0,2주 전(수정됨)
22,userxv3es9wn6d,"아름다운 바다와 고운 찬양,  뛰노는 아가들, 강아지 까지..이 모든 어울림이 천국이 아닌가 합니다^^",12.0,1개월 전
23,usertu9jv3ey5w,"우와
이 찬양 제가 작년에 해달라고 요청댓글 남겼었는데
정말감사해요.
큰 은혜의 선물 받은것 같아 성령충만합니다.",9.0,4주 전
24,userxi9ds7uv7c,영롱한. 목소리의 찬양 아멘 ,25.0,1개월 전
25,uservy1zt8ns3w,"너무 좋아요~찬양하면서 아이들과 자연스레 어우러진모습들까지도요
늘 좋은찬송 감사드립니다~
""아무것도두려워말라 ""찬양은 백번이상 들은거같네요^^",4.0,5일 전
26,userol6ef5rh9d,아멘!! 아침마다 지나 님 의 찬송으로 시작합니다.맑은목소리에 나의 영혼이 맑아지는 기분이 들어 항상 듣게 되네요. 아이들도 건강 하고 밝게 자라고 있는 모습을 보니 우리 능력의 하나님의 보살핌에  또 다시 감사하고 기쁨으로 감사합니다.,10.0,1개월 전
27,usersp3ti8md9d,영롱하고 천상의  울림있는 목소리에 소유자 당신은 천사입니다 ,15.0,1개월 전
28,userpw3dq9ro2m,주님 과 함께 계시는 주님의동산   같습니다  ,0.0,5일 전
29,isaiasdaisysammy5705,Happy Sabbath beloved sister Gina. Hearing you singing while I'm preparing my sermon to preach in my church. May God bless you and your family.,12.0,1개월 전
30,userky2eu7pf5o,시원한 배경 삶아 찬양 올리는 모습 건강해 보이고 울들에게도 힐링됩니다. 두아이 모습도 안전한 환경속에서 뛰어노는것이 행복하게 보입니다~♡~,21.0,1개월 전
31,usertr7wi2se7k,"청량감을 주는 바다 앞에서 찬양을 부르셔서 찬양을 부를때 땀이 다 식을 것 같아요^^ 
찬양이 참 아름답습니다 할렐루야 ",14.0,1개월 전
32,usergw1cc7qg4e,"아멘 할렐루야!! 
아름다운 바닷가 배경으로 찬양을 부르시는 지나님 아름다워요♡♡ 
지나님이 부르시는 찬양가삿처럼 영원한 주의 팔을 의지하길 소망하며 기도합니다",16.0,1개월 전(수정됨)
33,Joy170,너무 아름다워요~^^ 주님 지으신 세계와 귀한 가족~^^,6.0,3주 전
34,juwonhada,찬양가사에 또 힘을 받습니다,5.0,3주 전
35,paulinaelenagalvanrobles8237,"I really like listening to you, although sometimes I don't understand what you sing  I love the way you are with your children.  Your patience with them leaves me a lesson.  Thank you!  May God bless your beautiful family.",4.0,2주 전
