,youtube_id,comment,like_num,comment_date
0,forest,아니 이언니 어쩜 이리 예쁜 것만 쏙쏙 골라오시는지️,6.0,9개월 전
1,userku5hw2lo6b,"온앤온 핸드메이드 점퍼도 예쁘고
그로브 플리스는 너무 귀엽네요.
지안님 영상보면 구매욕구 뿜뿜합니다.",1.0,8개월 전
2,lj2132,아 .. 지안시언니 .. 내 텅장 책임져 .. 광광 .. 언니 중간에 선물 받는 제품 중 1/10도 못보여준다고 하면서 호홍 웃을때 넘귀  하트 날립니당,3.0,9개월 전
3,usermz1gm3uc4v,"와오!!!!  하울이 제일좋아!!!!
연말 잘보내세요 지안님️️️
오늘도 열일 감동",1.0,8개월 전
4,userwj1si8nf7h,지안시 코디 다 예뻐요 완전 취저ㅠ,1.0,9개월 전
5,jungdaeun,지안언니!!진짜 지안언니 하울영상보면 눈호강하는거 같아용!!옷이 너무 이뻐여지안언니!!오늘도 영상재밌게 보께용 사랑해용,0.0,9개월 전
6,haenique,룩 너무 귀여워요!! 잘봤습니다ㅎㅎ,2.0,8개월 전
7,Forky,"웅니 겨울에 굉장히 진심이네요,,두근,,️",2.0,9개월 전
8,soo889,"전 코트 잘 안 입긴 하지만, 지안님 영상보니 사고 싶어지네욬ㅋㅋ",0.0,9개월 전
9,userbt8qe4ry2x,아 다 귀여워..입고나오신 니트부터 제스탈,1.0,9개월 전
10,userlt6wz1cb8v,"울언니 완전 열일,,,룩캐스트 코트 탐내고 있었는데!! 엔니즈 테디베어 자켓도 넘 이쁘네용",0.0,9개월 전
11,userrx5mp4xl7m,언니픽은 언제나 믿고 보긔><,0.0,9개월 전
12,userqi8gc5ne3o,"증말 옷부터 얼굴 머 머 다 이뻐 ㅠㅠ
그냥 전부 다 너므너므 애뻐요 
손민수 댕장 갑니닷 ",0.0,9개월 전
13,jiwon2046,으아... 아우터 다이뻐요ㅠㅠ 이날 같이 코디하신 바지도 공유 부탁드려요,1.0,9개월 전
14,userqe6sp8ud4t,지안님 코디가 너무 예뻐요,0.0,9개월 전
15,choieunji8449,당쉰 ..... 옷 보여줄 때 짜~안 너무 중독이ya .....,2.0,9개월 전
16,usermerrr,왕 오늘 옷 다 취저…,0.0,9개월 전
17,useriy4sr3yd4b,지안시 옷장 복붙하고싶어요... 어쩜 다 이쁘죠? ,0.0,9개월 전
18,strawberryinlove,지안씨 쇼핑한게 세상에서 젤 잼있따악!!!🫰,0.0,9개월 전
19,usergf8ql4pf5e,코디 하나하나 다 취향저격이에용🫶,0.0,8개월 전
20,userzg7oy8st7j,지현님 코디가 다 예뻐요,0.0,8개월 전
21,usereq9im5jz4c,룩캐스트 코트랑 매치한 목도리 정보 궁금합니다!,0.0,6개월 전
22,workerant,다 너무 예뻐요 앤니즈 자켓에 코디된 아이보리바지 정보 넘 궁금해요ㅠㅠ모델명 기억나시나요🥹🥹,0.0,8개월 전(수정됨)
23,userbb3qu6ji9c,겨울바지도 보고싶어요 울언니 추천 받고 사야징..,2.0,9개월 전
24,userwl3jd7nl7v,흐엉 ㅠㅠ 이번 룩북 착장들 미쳐따 넘 잘 보구 가용 지안씨 위아썸 데님은 s 사이주 입으셨나용?!,0.0,8개월 전(수정됨)
25,tjfgk709,"다 너무 이뻐요 
혹시 계속 같이 코디하신 아이보리 일자 바지 정보 주실 수 있을까요??",0.0,9개월 전
26,userit1rh6mp4u,열일하는 울웅니 최고ㅠㅠㅠㅠ(그래도 건강최고인 거 알쥬...? 절대건강하기),15.0,9개월 전
27,useril2ri7ny8x,안그래도 무지 기다렸어요~♡♡,0.0,9개월 전
28,seori5vb,코디하신 흰 바지 상품명이랑 사이즈 궁금해요 .. 항상 잘 보고 있어요 감사합니다 ,0.0,9개월 전(수정됨)
29,useroz7rd2bi2g,알람 뜰때마다 기뻐요,1.0,9개월 전
30,userrs4qm6zg2x,"진짜 너무 다 예뻐요ㅠㅠㅠㅠㅠ텅장 각,,, 룩캐스트 하프코트는 보풀 많이 나는 재질은 아닐까용??",0.0,8개월 전
31,sujinlee8428,"언니 나 기다렸잖어~
ㅈ오늘두 잘볼게요",0.0,9개월 전
