,youtube_id,comment,like_num,comment_date
0,useryi6jk3zc7b,반스 초록색 넘 예뻐요! 저도 초록색에 꽂혀서 최근 초록 컨버스를 수소문 끝에 구입했는데 다가오는 봄 여름에 만족도 최상일 거 같아요,0.0,6개월 전
1,zangjero,"지애님 브이로그 정말 힐링 그자체에요.. 지애님은 그저 빛,, 사랑,, 봄날의 햇살,, 🫶오늘도 재밌게 보고 갑니다아",0.0,6개월 전
2,userqr3cv6xp8w,"회사 다니면서 유튜브까지 하는게 쉽지 않은데 정말 대단하세용ㅜ 덕분에 영상 알림뜰때마다 바로 지애님 영상 보면서 하루를 잘 마무리한답니다ㅎㅎ 
맛있는 음식 드시는 모습 + 지애님의 감각적인 패션센스 + 직장인의 애환 + 남편분과의 도란도란한 대화 + 귀여운 분홍이까지 곁들인 지애님 영상은 제 최애입니다ㅠㅠㅠ 보면서 저두 이런 잔잔하게 행복한(?)ㅎㅎ 삶을 살고싶다는 생각을 늘 하는것같아요~~~

오늘도 영상 잘보고 갑니다아 
하고싶은것만 하면서 살순없다..증말 맞는말입니다.ㅠ 저두 요즘 취준생활이 힘들어서 혼자 부산여행을 다녀왔는데용 너무 좋았어서 이렇게 내가 하고 싶은것만 하면서 살고싶더라구요^^ 하지만 고난이 있어야 행복이 있듯이, 다시 현실로 돌아와서 저는 제 자리에서 다시 열심히 해보려고 합니당ㅎㅎ 직장생활이 많이 힘드시겠지만, 앞으로 다 잘될거에요 지애님! 늘 응원합니다!!~",6.0,7개월 전(수정됨)
3,jellyfkal,지애님 목소리도 나긋나긋 좋으시고 영상 볼때마다 눈도 즐겁고 편하고 마음도 편안해져용️,0.0,7개월 전
4,userkh7rr4tt4j,지애님이 올려주는 영상 덕분에 한주한주 마음의 평안을 찾고 있습니다~데일리룩 올려주는거 넘넘 좋아용~~정신 차려보니 내일 또 출근하는 날이지만 요번주는 3월 1일이 있잖아요^^우리 힘내봅시다~~화이팅!!!,1.0,7개월 전
5,Euncho1104,"지애님 영상보면,, 옷이랑 음식 뽐뿌가 어마어마,,, 미쳐요️ 지애님 패션 손민수하는 것도 모자라 음식까쥐.. ㅠㅠㅠㅠㅠㅠㅠ지애님 애정합니다 항상 행복하세요 ~~~",2.0,7개월 전(수정됨)
6,rinapark0420,지애님 ~~~ 저희 두 아들이 분홍이 너무너무 이쁘데요    오늘도 너무이쁘고 센스넘치시는 지애님 감사합니다   한주도 힘내세요 ,0.0,6개월 전
7,SONto4ip,지애Jiae님 봄 데일리룩북이 너무 잘 어울리시네요.,6.0,7개월 전
8,uservh6hx3nz7k,"지애언니가 입고계신
시즈닝 브이넥 골지니트 한달내내 바라보다
드디어 조금전 색상별로 다 구매했어요
언니가 올려주실 봄옷도 잔뜩 기대중

참치 알러지 있고 
추운 사무실에서 김밥 먹다 체한 경험있어
제게 김밥은 고통이지만;
고구마는 잔뜩 쪄둬서 
낼 출근길에 가져갑니다",0.0,7개월 전
9,userle8bd8ch6z,day7에 회사에서 입으신 검은색상의 너무 이쁘네요 김밥 드시는거 하나도 안 지겨우니 걱정 마세요 ㅎㅎ 그리고 남편분 말투 뭔가 귀여워요. 오늘도 지애님이 사무실에서 싱긋 웃으신 덕분에 제 주말도 웃음으로 마무리 할 수 있어 감사합니다. 좋은 한 주 보내시고 다음주에 봬요,0.0,7개월 전
10,SoooORA1217,오늘은 반스에 영업당했네요ㅎㅎㅎㅎ 오늘 날이 풀리긴 했는데 진짜 봄이 빨리왔으면 좋겠어요 겨울 이제 그만 가버렷~~~ 지애님의 봄 착장들은 어떨지 너무너무 기대돼요!! 회사는 날 힘들게하지만 덕분에 예쁜 옷을 살 수 있으니 다가오는 한 주도 뿌십시다!! 화이티이잉!!,0.0,7개월 전
11,Runninglover77,지애님! 저 오늘 휴일근무하고 와서 심신이 지쳤는데 오뎅탕에 소주 한잔 곁들이며 지애님 영상보며 한 주를 마무리하고 있어요ㅋㅋ 그만큼 제게 휴식을 선사해주는 브이로그 제 최애음식도 김밥이고 지애님 옷도 죄다 제 스탈이고.. 어쩜이래요? ㅎㅎ 회사다니시면서 편집하시는거 진짜 보통일 아닐텐데 짬내서 업로드해주셔서 감사해요,0.0,7개월 전
12,usersl4uv7jf2d,코트들 너무 예쁜데 다 품절이라니ㅠ,0.0,6개월 전
13,usercs1lz7mt9u,"분홍이 너무 귀엽고 사랑스러워요
내사랑 반스 신발이 지애님 신고 나와서 좋았어용~~저는 반스 어센틱 깔별로 있습니다 ㅋㅋㅋㅋ 
사회생활 너무 힘들죠? 힘내세요!!! 
요즘 저도 남편이랑 인생에 대해서 대화를 하게 되네요~~ 
날씨가 다음주부터는 풀린다고 하네요~~ 빨리 봄이 왔으면 좋겠어요♡
이번주도 고생했어요",0.0,7개월 전
14,malrang77,"Day6 흰 니트 사고싶은데 품절이라 넘 아쉬워용 ㅜㅜ 담에 비슷한 거 있음 꼭 알려쥬세요!!
회사에서 속상한 일 있으셨던 거 같은데 훌훌 터시고 이번 한 주도 파이팅하세요 ",0.0,7개월 전
15,jellyfkal,거침없이 쉐딩하고 화장하는거 제모습 같아요 ㅋㅋㅋㅋ 저도 저렇게 화장한답니당 친근감..♡,0.0,7개월 전
16,userxl5uw4wo9s,"지애님~~♡힘든 일주일이 지나갔어요~^^
저도 지금 혼자 회사에 삐쳐있어요ㅠㅠ불공정불평등..ㅠㅠ
낼 출근이 두렵지만 지애님 브이로그 보며 힘낼께요♡♡♡",0.0,7개월 전(수정됨)
17,userds6of6ep9t,출근룩 예쁜거 너무 많으세요~화장품 소개시 입으신 민트색 니트 정보도 알고싶어요~,0.0,6개월 전
18,useril2ri7ny8x,출근룩도 예쁘지만 신랑이랑 두분이서 저녁드시는 영상에서 자꾸 그 메뉴가 먹고 싶어지네요ㅎ 감자튀김이랑 즉석떡볶이 추천해주세요!,0.0,7개월 전
19,userff4it5qe3f,머리는 고데기만 하신 걸까요? 아니면 따로 펌을 하셨나요? 컬이 너무 예뻐요!!,0.0,7개월 전
20,userfq5np7fs1m,지애님  주말이  끝나가요  영상 잘 봤어요 이번주 화이팅해요 ,1.0,7개월 전
21,useren1nx5pg1h,지애님 은은하게 너무 웃겨요 ㅋㅋㅋ 지애님 저도 같은 고민입니다. 남편 길어밨자 50대면 퇴직할테고 저도  정년까지 일을 딱히 하고싶지 않은(?) 지라.. 둘이 멀 해야할지 고민이 많네여 ㅠㅠ,0.0,6개월 전
22,userrd4gk5pm8r,볼때마다 지애님 출근룩 손민수하고싶어요ㅠ 넘 제스탈!,0.0,7개월 전
23,sogom,"아껴봐야지,, ",1.0,7개월 전
24,usermw2yo9ny7j,기다렸지요,3.0,7개월 전
25,userjy3ct1ke2p,초록색 반스 상콤하니 이뻐요 다이제샌드 지애님 영상보고 먹어봤는데…정말 맛있네요?!?! 이번주도 힘힘!!,0.0,6개월 전
26,repeat99,지애님 저도 혼자 회사에 삐쳐있어요... 불공정불평등...(절 삐치게 한 자들은 모른다는거...ㅋㅋㅋ)수요일 휴무(3/1)가 있어서 가벼울 줄 알았는데... 일요일 저녁이면 답답함이 이번주엔 안올줄 알았는데...답답함 죽지도 않고 왔네요~ 지애님을 친구삼아 조금이나마 마음을 나누니 좋네용^^ 찰떡같이 이쁜 데일리룩도 맘에 쏙 드네요~ 참고해서 담주 출근룩을 맹글어 봐야겠어요~ 깝깝한 일상에서도 소소한 즐거움 찾으시는 한주 되시길요~ 일요일에 만나용^^,0.0,7개월 전
27,userye1tr3oi2t,"지애씨유튜브구독하면서 반스빨간운동화샀는데 ㅋㅋ
말투은근중독성있어요 ㅎㅎ",0.0,6개월 전
28,BearsBeetsBattle,브이로그 잘 보고 있어요~ 배경에 등장하는 24:09 갈색 가방 혹시 정보 알 수 있을까요?,0.0,7개월 전
29,userbj8qc9te1v,지애님 너무 예쁘십니다,2.0,7개월 전
30,userxk4kc9xd5v,지애님 감기조심하세요,0.0,7개월 전
31,userzo8gh8zn2p,지애님 달달한 과자 좋아하시니까 비쵸비 드셔보세요 추천! ㅋㅋ,0.0,7개월 전
32,userhe8fj4cq6r,니트 안에 입으신 기본 흰반팔 어디꺼인지 궁금해요오오 ,0.0,6개월 전
33,ny22,오아ㅏ아 오프닝 노래 먼가용 너무 잘어을리구 좋네용 오늘도 잘보고 가요!!,0.0,7개월 전
34,happycg4gc,오~ 기다리고 있었어요^^,0.0,7개월 전
35,userdk1go1pf1v,지애님 드시는거 보고 먹는양 늘렸더니 2키로 바로 찌네요ㅠ 전 그냥 살던데로 소식좌로 돌아갑니다🫡 근데 즉떡 어디껀가요ㅋㅋㅋ,0.0,7개월 전
36,userxe5hs4vt2t,지애님 연두색 니트안에 레이어드 하는 흰색 기본티 궁금해요~~~~,0.0,7개월 전
37,mi904,기다리던 지애님 영상^^  제대로 먹을 줄 아는분ㅎㅎ 몸매비결 뭐냐구여ㅠ,0.0,7개월 전
38,uservc3yx6hf4k,지애님 데이6 그린색 머플러 궁금해요,1.0,7개월 전
39,useryv7um1rh9s,참치김밥 아직 안질려용^^더 드셔도될거같아웅,2.0,7개월 전
40,userdi9oz4cu8f,"영상도 코디도 다 좋은데
오늘으~~~~은
입고~~~오 그리고~~~오 
요런 말투가 조금 신경쓰여요 
영상은 잘보고 있습니당ㅜㅜ!!",0.0,7개월 전
41,SamsungKimPro,손이 빨라서 게임도 잘할듯,1.0,6개월 전
