,youtube_id,comment,like_num,comment_date
0,jiae688,"안녕하세요
브이로그를 시작하고 처음으로 Q&A를 해보려 합니다
궁금하신점 댓글로 남겨주시면 성심성의껏 답변을 준비해서 영상을 만들어보도록 하겠습니다.
본격적인 추위가 시작됐어요 이너 많이 껴입으시고 따뜻한 차 많이 드세요.
그럼 뿅!",14.0,9개월 전(수정됨)
1,useryi6jk3zc7b,화욜 코디 넘넘 이쁘다 하고 반했다가 막날 입은 회색니트 너무 예뻐서 월급놈 들어오면 바로 손민수 각이에요ㅋ ㅋㅋㅋ바퀴입 보시면서 웃는 모습 마치 퇴근철에서 바퀴입 보면서 조용히 들썩이는 제 모습이 생각나네요,0.0,9개월 전
2,yeonnnii,"지애님 삼실에서 유튭보다가 알고리즘 떠서 정주행했는데 결국 구독했오요 스타일 너무 좋고ㅠㅠ 단아하게 생기셨어요!! 하시는 업무도 저랑 똑같아서 공감가여 ㅎㅎ 전표처리하고 월마감,, 등등 ! 앞으로 영상 많이 올려주세유 ",0.0,9개월 전
3,rinapark0420,멀리 미쿡에서 영상 잘 보고있답니다 스타일이 다 너무 이쁘세요  마지막에 던스트코트 너무 제스탈이에요 ,0.0,9개월 전
4,userhc7dn5gv2x,지애님 저 왔어요 좀 전에 영상 업로드 하셨네요 흐흐 첫 날부터 데일리룩 완전 취저에요ㅎㅎㅎㅎ 넘 예쁘게 코디도 잘 하시구 맛있는 것도 많이 드셨네요! 날씨 넘 추워졌어요 ㅠㅠ 다가오는 연말도 잘 마무리 하시구 더 오래오래 뵈어요 감기조심하세용,0.0,9개월 전
5,userlq3ky9fd9i,지애님 한주 수고 많으셨습니다 다음주도 화이팅,0.0,9개월 전
6,userfj2re3km9k,진짜 언니..너무너무 궁금했었어요.. 옷관리!!!!! 항상 깔끔하게 잘 보관하시는것같은데 궁금해요ㅠㅠ,0.0,9개월 전
7,son7092,지애Jiae님 데일리룩북이 너무 잘 어울리시네요.,2.0,9개월 전
8,ssri812,지애님 영상 보면서 항상 힐링하고 있어용 !! 저도 같은 직장인에 30대지만 !!  혹시 브이로그 시작한 계기가 무엇인가요? 옷 좋아하시는만큼 잘 입으셔서 항상 잘 보고 있습니당 ,1.0,9개월 전
9,Euncho1104,"오늘도 잘봣어요~! 지애님 따라 아가일니트
회색사서 어제 받아봣는데 아이보리도 사셨네요 ㅎㅎ 회색이랑 아이보리중 엄청 고민했는데 지애님 입으신거보니 아이보리도 넘 예쁘네요

Qna 질문!
1. 지애님 형제관계..? 가 어떻게되세요? 그냥 궁금해지는..! 장녀이신지 외동이신지 뭐 이런거요 ㅎㅎ 사실 지애님의 신상(?)정보도 더 듣고싶은데ㅜ 너무 개인적인 영역이라 말씀하시기 곤란하실까봐 자세히 여쭈어보기가 그렇네요..!

2. 마이찬님과의 러브스토리~!🫶 언제,어떻게 만나셨는지, 왜 결혼결심을 하셨는지요!! 마이찬님에 관한 얘기도 듣고 싶어요~!

3. 결혼생활하시면서 배우자와 행복하게 잘 지낼수 있는 지애님의 방법, 생각이 듣고 싶어요.! 

4. 배달이랑 외식 많이하시는거같은데 식비가 전체 생활비용에서 얼마나 차지하는지 궁금해요~! 저도 자취러라 식비가 많이 드는데ㅠㅠㅠ 지애님은 매번 사드시면 식비가 많이 들지 않으세요? ㅠㅠ +지애님의 돈관리 방법?!?

5. 애기 없이 분홍이랑 마이찬님이랑 사시는거같은데 지애님의 경험으로는 애기 없는 삶은 어떠세요? 저는 내년에 결혼예정인데 저희 커플은 딩크로 살기를 확고해서 아이를 낳지 않을 계획이에요. 그런데 주변에서 살다보면 마음이 바뀔거다 등 여러가지 부정적인 얘기를 많이 들어서요 ㅎㅎ 사실 아이라는게.. 생길수도, 아니면 원하지만 당연히 안생길수도 있는 그런 인간의영역(?)을 벗어난 일이라 논하기 조심스럽지만 그냥.. 지애님의 생각,경험이 궁금했습니다~!

6. 인터넷쇼핑을 많이하시는거같은데 옷이나 신발 등을 고를때 지애님의 기준, 팁이 있을까요? 지애님은 리뷰 없는 상품들도 많이 구매하시고 성공하시는거같아서요!!! +자주 둘러보시는 브랜드나 쇼핑몰 알려주셔요

7. 사회생활을 오래하셨는데 지애님이 생각하시는 직장생활 팁이나 방법이요..! 

8. 주말에 보통 뭐하시는지~! 저는 개인적으로 주말엔 방전이라 집에서 쉬는 타입이거든요..! +mbti?!

9. 직무가 쭉 현재 직무와 같으셨는지 궁금해요~! 지애님의 커리어가 궁금합니다! 거창한거 아니구 그냥,, 20년 지애 회사원의 길(?)이랄까요ㅋㅋㅋㅋ

10. 지애님이 생각하시는 지애님의 성격이 궁금해요 +주변사람들이 말하는 지애님의 성격?이미지도 궁금하네요~~~ 

11. 영상 하나 만드실때 대략적으로 시간이 얼마나 걸리시는지, 편집 툴은 무엇을 사용하시는지, 카메라는
무엇을 사용하시는지 궁금해요~! 

12.지애님의 관심사가 무엇인지 궁금해요!
예를 들면 동물, 영화보기, 옷, 영상편집 등 그냥 전반적인 지애님의 관심사들이 궁금하네요~! 

13. 스트레스 어떻게 푸시는지..? 먹을거나 마이찬님과의 수다로 푸시나욧?ㅋㅋㅋ


지애님~ 혹시나 대답하시기 곤란하신부분은 스킵하셔도 전혀 상관 없습니다 qna 영상 기대할게요.!!!! ",4.0,9개월 전(수정됨)
10,userxo6jr1tt1p,지애님 영상 보면서 저도 브라운 바지 계열 도전해 볼 용기가 생겼어요ㅋㅋ 왠지 튀는 것 같아서 용기가 안났었는데 도전해 볼게요ㅋ 아가일 가디건 너무 이쁜데 요즘에는 왜 이렇게 옷이 짧게 나오는건지 키큰녀는 웁니다ㅜㅜ,0.0,9개월 전
11,userwt5yk3hv7u,안녕하세요 지애님! 영상 오늘 처음 보게 되었는데 마침 Q&A하신다고 해서 궁금한 점 남겨봅니다! 옷에 관해서는 이미 많은 분들이 남기셨을 것 같아서 헤어스타일링법이 궁금하더라고요! 묶음머리나 컬링 같은게 너무 자연스럽고 예뻐서요ㅠㅠ 전 프로 지각러라 맨날 머리만 급하게 말리고 나가는데.. 헤어 스타일링에 관해서도 알려주시면 감사하겠습니다!!,0.0,9개월 전
12,miniminiming,스타일링 너무 좋으세요 🫶,0.0,9개월 전
13,bella282,"매번 드시는 저 양파돈가스..너무 먹어보고 싶어용
늘 예쁘고 센스있는 아웃핏 넘나 사랑합니다
내일 영하로 또 떨어진다 하니 건강 유의하시고 바쁘실텐디 늘 편집해서 일상 공유해주셔서 감사해요",1.0,9개월 전
14,Runninglover77,"안녕하세요 지애님, 매주 일요일 지애님 영상 올라오면 설레며 손꾸락 클릭하는 애독자입니당 ㅎㅎ  겨울에 코트 즐겨 입으신다고 하셨는데 최애 브랜드와 라인 궁금해요. 던스트 vs 파사드패턴 중 어떤걸 추천하시는지도요 ^^",0.0,9개월 전
15,Jjlh8nt,"지애님! 드디어 Q&A 하시는군요! 넘 반가운 소식이에요. 일단... 1. 옷 관리 방법 (특히 바지류.. 세탁은 얼마만에 한번씩 하시는지, 혹시 드라이로 맡기시는지 궁금해요) 2. 사용하시는 헤어제품 (지애님 머릿결이 엄청 좋아보여요!) 3.아무래도 저녁 식비나 옷 구입 비용이 많이 드실 것 같은데 비용관리는 어떤 식으로 하시는지도 궁금해요!",1.0,9개월 전(수정됨)
16,chrose9262,"지애님 일상 너무 보고시펐써여!! 언제쯤 올리오시나 기다리고 있었써여, 선댓글 후감상!! 이번 한주도 고생 많으셨습니다~~>//<",0.0,9개월 전
17,usergo2fm5nr3v,지애님 출퇴근 시간이 얼마나 걸리시는지 궁금합니당!!,0.0,9개월 전
18,usergi1rh5gz1j,지애님 옷장이 궁금해요!! 매주 하울도 있고 깔끔하게 입으셔서 옷관리도 어떻게 하는지도 귱금하구용 ㅎㅎ,0.0,9개월 전
19,fulpeace5664,"그동안 영상보면서 궁금한거 너무 많았어요!!

1. 한달에 옷에 얼마정도 쓰시는지
2. 옷도 잘입으시고 옷이 많으실텐데 옷 정리 어떻게 하시는지,, 옷장 공개 가능한가요..! 옷정리가 안되서 너무 고민이에요
3. 무슨샴푸,린스 쓰시는지! 머릿결 관리법, 미용실 얼마나 자주가시는지 궁금해요! 
4. 어떤 스킨케어 제품 쓰시는지! 피부 넘 좋으세요ㅠㅠ
5. 굉장히 부지런하신거같은데 몇시에 자고 몇시에 일어나시는지! 
6. 저는 소화제를 달고 사는사람인데... 지애님은 소화를 진짜 잘하시는거같아요! 체 자주 안하시나요?? 비법같은게 있을지...
7. 스트레스 푸는 방법
8. 남편분 어떻게 만나셨고 몇년연애 후 결혼하셨는지 연애 스토리! 
9. spa 브랜드 옷은 잘 안입으시는건가요? 선호하는 옷 브랜드나 옷 살때 가격,소재 등등 어떤거위주로 보고 사시는지! 
10. 지애님 20대때는 어떠셨는지 20대 스토리? 같은것두 궁금해요! 그리고 인생선배로서 20대에게 해주고싶은말? 지애님이 생각하시기에 20대때 알면,하면 좋은것! 
11. MBTI 
12. 평일 퇴근이후나 주말을 보통 어떻게 보내시는지! 취미가 있으시면 무슨취미인지! 
13. 남편분이랑 결혼하신 결정적인 계기! 딱 이사람이다!하는게 뭐였는지 궁금해요
14. 회사에서 어떤 일, 어떤 업무 하시는지! 
15. 지하철타고 출근한다고 하셨는데 회사는 서울인가요? 집이랑 많이 먼가요? 지하철안에서 보통 어떤거하면서 시간보내시는지! 

항상 영상 잘보고있어요 지애님!! 앞으로도 계속 응원할게요",3.0,9개월 전(수정됨)
20,userss8tz9wb4s,아니 왜 따라사고 싶은건 다 품절인건데요 !! ㅋㅋㅋ 오늘도 잘봤습니당,0.0,9개월 전
21,grace7335,"제가 ""좋아요"" 일등이네요 ㅎㅎㅎ 알고리즘에 떠서 보기 시작했는데 회사생활이 너무 많이 공감되네요~
저도 돈많은 백수가 되고 싶어요
구독 누르고 2년전꺼부터 차례차례 보는  중이에요^~^",0.0,9개월 전
22,userkh7rr4tt4j,"날씨가 갑자기 많이 추워졌어요~~요즘 독감,감기 너무 많이 걸리더라구요~~항상 조심하세요~~♡
질문:인간관계, 스트레스 해소법, 피부관리",0.0,9개월 전
23,userpd8il1ik2w,"지애님 오늘 영상도 너무 감사해요  전 이제 결혼이 2주도 안남아서 두근두근 하네요 ㅎㅎ 

1. mbti 궁금해요 
2. 이사가시는 곳?
3. 남편과 어떻게만나신건지+결혼계기
4. 한달 식비.. (잘드시니 ㅋㅋ)
5. 부부 돈관리는 어떻게 하시는지
6. 저축같은거나 아니면 재태크 주식 이런거 하시는지
7. 그동안 좋았던 여행지 같은거 해외나 국내 
8. 집안일은 서로 나눠서 하시나요? 
9. 보통 출근 준비시간은? 몇시에 기상하는지
10. 유투브 하는거에 대한 장단점",2.0,9개월 전
24,userjp1sf5hk6i,룸투어하실 생각은 없는지 궁금해요 집이 깔끔하고 이뻐보여요 특히 옷이 많은거같아 드레스룸이 궁금해요,0.0,9개월 전(수정됨)
25,userxk4kc9xd5v,지애님 추운날씨에 감기 조심하세요,0.0,9개월 전
26,usertm6sm2ew8q,"지애님 안녕하세요 늘 지켜보고 있는 팬입니다ㅠㅠ! 드뎌 큐앤에이를 하시는군요!! 항상 옷 예쁘게 너무 잘 입으셔서 참고 많이 하고 있어요~
1. 제일 최애 쇼핑몰 3군데는?
2. 쇼핑 주기는 어떻게 되시는지?
3. MBTI 궁금해요!

나중에는 하울도 함께 해주시면 좋을 것 같아요",0.0,9개월 전
27,userij7bn3gj2l,"지애님 ㅎㅎ 드디어 Q&A 너무기다렸어요^^
저도 궁금한점 남길게요.
1.마이찬님과 어떻게 만나셨는지, 결혼을 결심하게 된 계기
2.평소 스트레스는 어떻게 푸시는지

3.지애님 mbti
4.저랑 같은 30대이신데 30대 꼭 해보거나 해봤으면 좋겠는거 추천해 주세요 ㅎㅎ
5.분홍이를 키우게된계기
6.유튜브를 시작하게 된 계기
7.지금 회사 직무(회계)적성에 잘 맞으시는지 
8.지애님만의 옷 살때 기준

이렇게 궁금해요",3.0,9개월 전
28,usercs1lz7mt9u,"키작녀인 저는 지애님 만큼 핏이 안나오네요ㅜㅜ
오늘 옷들 다 마음에 쏙드네용♡ 
남편분이랑 어떻게 만났는지 궁금해용 !! ㅋㅋ
날씨 추운데 김기조심하세용^^",0.0,9개월 전
