,youtube_id,comment,like_num,comment_date
0,userxo2mh9xh7n,지인언니의 구독자 15만달성 진심으로 축하드려요    2천명때쯤 지인언니를 알게되어 많은 꿀팁을 얻었습니다 ㅎㅎ 늘 감사합니다  구독자 100만으로 달려갑시다  화이팅 ,5.0,9개월 전
1,dietkim,지인언니 15만 축하축하드립니다!!항상 활기차고 알차게 꿀팁 알려주셔서 감사합니닷!,3.0,9개월 전
2,Jiyeon3258,지인언니~ 축하축하 15만 구독 정말 축하드려요!!! 언니 20만 100만까지 갑시다~~ 오늘도 정말 유익한 정보 짱!! 감사해요~~,2.0,9개월 전
3,usereq4qk3hk1t,지인언니 15만 구독을 축하드려요  톡톡튀는 말로 기분을 업 시켜 주심을 감사요~♡,2.0,9개월 전
4,userer5cy3bg2q,"와우~~ 지인언니
15만 달성 추카 추카 드려요~~
20만 코앞이네요~~
백만도  롤러코스터급으로 가즈아 ~~~~~^^
잼있는 언니 영상 보면서 힐링 받을때도 있어용~
오늘도 좋은 정보~ 
굿아이디어 ~
늘 ~ 감사 감사 드려용~~~~
사랑해요~~~~♡",2.0,9개월 전(수정됨)
5,sujin03040901,"축하해요~
포기 안하고 계속 해주신 덕분에 로션도 안 바르던 제가 지금은 주변에 오일 추천하는 사람이 되었어요ㅎㅎㅎ
앞으로도 많은 정보 공유 부탁드립니다",1.0,9개월 전
6,hpk1099,"꺄악 
15만 추카추카해요
지인언니 구독한지 벌써 3년째인데~ 
시간이 너무 빠르네용.
앞으로 유익한 영상 기대할께요~
다시 한번더 15만 구독 축하합니다~",2.0,9개월 전
7,userbi6ls3dv1m,"지인언니 구독자15만 진시축하드립니다
늘~~따라장이  하는 영상
그래서 이뻐지고 있답니다~♡
저는 이제59살이 되네요 ㅠ",2.0,9개월 전(수정됨)
8,alexkwon3158,헉 지인언니님 진짜 최강동안이시네요 진짜 깜짝 놀랐어요 아참 15만 축하드립니다!!      ,0.0,9개월 전
9,usergl1tm2ud2t,지인언니의 그 친구 참 맘에 듭니다. 포기하지 않은 지인언니에게도 박수~ 저도 이제 막 공부하는게 있는데 포기하지 않고 열심히 해볼랍니다. 오늘도 지인언니는 짱~♡,1.0,9개월 전
10,userhx1yv4io2e,15만 축하축하해요 언니 밝음 늘 좋음♡♡♡,1.0,9개월 전
11,userxp8tg6dx1m,"사랑합니다
솔직하고 건강하고
넘감솨드리고
15만구독도 츄카드려요",0.0,9개월 전
12,userky3rg8rf4u,먼저 추카추카합니다. 메마른 제 피부에 단비를 언니가 주셨어요~~앞으로 쭈욱 찐구독자가 될래요. 고마워요. 사랑합니다♡♡♡,0.0,5개월 전
13,userms9zu5xm8h,"구독자 15 만,
축하합니다.
백만구독 되십시오.
지인언니의 유튜브로
코코넛오일 사용법을 알게 되어
다양한 방법으로 잘 쓰고 있습니다.
감사합니다.",0.0,9개월 전(수정됨)
14,alexandersteinhoff9035,늘 건강하시고 좋은 나날들 되시길 바랄께요~,0.0,8개월 전
15,moolly2920,15만! 지인언니 축하드려요,0.0,9개월 전
16,ujpark186,"에너지가 너무 좋은 분. 좋은 정보 나눔하시는데 웃음도 납니다^^ 
감사해요~",0.0,9개월 전(수정됨)
17,usersz4dy5st3w,지인언니  짱.....  100만 문제없당,2.0,9개월 전
18,usersw1cb9gn2r,스팀다리미 헤어팩은 꼭 해봐야겠어요 저도 머릿결이 푸석푸석한 편이라 유용한 팁이네요,0.0,8개월 전
19,jangminari,역시 지인언니 입니다. 축하드려요,0.0,9개월 전
20,usergu7sz4fw7f,"축하합니다
좋은정보  늘감사해용^^",0.0,9개월 전
21,canbisholdings2137,"지인언니!!! 항상 짱짱짱짱짱짱짱짱!!!
",0.0,9개월 전
22,binnyg670,15만 달성 추카 추카 드려요~~ ,0.0,9개월 전
23,userxo1wk3dp2s,언니 추카추카,0.0,9개월 전
24,useryh5bf5jl7o,축하드림니다 머리비듬은 어떤 샴푸가 좋을까요~? 감사합니다,0.0,9개월 전
25,uuu8313,좋은 에너지,2.0,9개월 전
26,userkh5rr1ob7m,궁금한게잇어요 코코넛오일과 야자유와 팜유 다른건가요,0.0,9개월 전
27,userwe1pw1rt9i,"억수로 마니 축하 드립니다. .
빵빠레 ㅡㅡㅡ뿡뿡 
20만을 향해 고고씽 

쉽게 해 볼수있는 팁들  잘 따라
해 봅니다 .",0.0,9개월 전
28,usereq6wt9nf7x,"축하축하드려요
♡♡♡",0.0,9개월 전
29,SuperChoijungwon,"우왕. 저보다 언니시네요
어려보이세요~~
오늘 영상들 정주행하고잇어요. 많은 도움이 됩니다~^^",0.0,9개월 전
30,millionaire175,헤어스팀보다 스팀다리미가 더 강력한가요?,0.0,3개월 전
31,alexandersteinhoff9035,좋아요!,0.0,8개월 전
32,userfb8cs3xd6i,"안녕하세요~저는 미국 테네시에 살고 있어요
스팀다리미 완전 기발해요^^
스팀다리미 추천 부탁드려요
저도 사서 해봐야겠어요ㅎ",1.0,9개월 전
33,userzq2cs4th8c,축하합니다  좋은정보 늘 감사합니다,0.0,9개월 전
34,rubyjung8329,15만 축하축하 한 잔 합시당,0.0,9개월 전
35,sueko3404,"너무 젊어 보이세요.
좋은 정보 감사해요.",3.0,9개월 전
36,JayJayvd6qv,우와 30대인줄 대단합니다~,0.0,9개월 전
37,userpe4xc8po6j,축하드려요 ~,0.0,9개월 전
38,mivlog3327,좋아요 누르고 시청!!!,0.0,9개월 전
39,herbl8671,"지인언니!!!
15만 달성 추카 추카",0.0,9개월 전
40,alh1690,"영상 늘 잘보고 있습니다 !!! 
15만 축하",0.0,9개월 전
41,usersl2gh8bs1z,축하축하 축하드려요.....,1.0,9개월 전
42,userqe6zd8yj3t,우와 치사토 쇼다랑 엄청 닮았네요,0.0,9개월 전
43,paulinakong5711,축하합니다,0.0,9개월 전
44,paulsan839,15만 축하!!!  Congrats! Congrats,0.0,9개월 전
45,snoyee6998,"100,000 가즈아 Let's go Reds! Let's go Reds!!!!",0.0,9개월 전
