,youtube_id,comment,like_num,comment_date
0,rozina7014,"아름다운 외모에 출중한 실력.. 그리고 친절함까지 다 갖추신 원장님..
우연한 기회에 들렸다 잘보고 갑니다.
더욱 건승하세요",2.0,10개월 전
1,uservo4gs5sf3r,진아샘 모든 동영상 너무 유익하게 잘 봤어요~^^ 초보 디자이너라 도움을 많이 받고 갑니당~,1.0,10개월 전
2,userku3qr8un3e,"원장님 덕분에 정말 많이 배웁니다~
감사합니당^^b",2.0,11개월 전
3,userjkeuhbbdk3k,"진아썌엠 왤케 이뻐유,,,,,,,,ㅠㅠㅠ20대인 제가봐도 너무넘무너무너무 예뻐요!!!!!!! 연예인하세요오오오 ㅠㅠ",0.0,7개월 전
4,useryj2np6uk8t,"밑부분 3미리짹을 끼고 하나요 
밑부분짧게하려면 바리깡을 더들어야하나요",0.0,9개월 전
5,usereb3cm6rc1j,머리너무이쁘네요 ㅎㅎ 긴장발 리프컷인데 날 너무더워서 머리자르구싶은데 이분보다는조금길게 모히칸자르고싶은데 머리 얼마나 자르면될까요~?,1.0,1개월 전
6,hjmoon9523,오랜만에  얼굴보니 반갑네요  ㅎㅎ   앞치마 이쁜데  어디서  구매하셨어요???,0.0,11개월 전
7,finaljun3975,샘 요즘 모히칸컷 안하지 않나요???,0.0,11개월 전
8,usercl5wj9nm1v,우왕 굳,0.0,11개월 전
9,usersw9ep7mq9s,2:48에 갑자기 형태가 달라졌는데 중간과정도 보여주세요,0.0,11개월 전
10,usered7xh5lf9c,머리예쁘네여,0.0,11개월 전
