,youtube_id,comment,like_num,comment_date
0,userok5ng5hb6c,"언니 브이로그 개재밌으니까 다른영상보다 조회수낮다고 안올리면 절대안돼요 구독자들이 다코덕이라 그런거니까ㅠㅠㅠㅠ 근데 좀꾸준히 올려야,,,,,",33.0,5개월 전
1,packseal9491,"오로라 엄청 많이 보구 힐링하고 몸은 장렬하게 전사한 안나공주님
보는 내내 너무 좋았네요! 2편까지 올려주셔서 감사해요🫶",4.0,5개월 전
2,ashh132,"전 언니의 브이로그도 넘 좋은데 진짜루ㅠㅠㅠ 메이크업 영상이랑 비기는 정도로 애정하는 컨텐츠에요 다들 아직 진가를 몰라서 그래 언니 덕분에 핀란드 좋은 풍경, 음식 간접적으로나마 접해봐서 넘 좋았어요 저도 꼭 한번 가보고 싶네용",3.0,4개월 전(수정됨)
3,fox200206,"언니덕에 힐링해요
나두 오로라 보러가고 싶다…",9.0,5개월 전
4,daisyl8361,브이로그 조회수 낮은거 1도 이해안되는..근데듀 이렇게 남겨주시면 너무 감사하겠습니다ㅠㅠㅠㅠㅠ 저한텐 젤좋아하는 깡나님영상이라 오로라보여쥬려는 따뜻한마음,9.0,5개월 전
5,smink1023,"요즘 더워지는 날씨에 겨울 브이로그 넘나 청량해용 오로라보다 더 부럽..ㅋㅋ
쭌님이랑 단 둘이서 여행 브이로그라 그런지
안나님 역시 사랑스러우심 
겉보속촉녀야.. 아푸지 마시구 담에 또 일상 담아주세여 열심히 찾아보는 한톨단이 있담니당",2.0,5개월 전
6,useruw1hx1by7f,우연히 1편보고 팬됐어여 ㅜ ㅜ2편 엄청 기다렸어요️,12.0,5개월 전
7,ina3350,"이틀연속이라니진짜 기받아가용
ㅋㅋㅋ 저작권 포기하고 직접 부른 ost은근 영상이랑 잘 맞아 떨어지는거 너무 웃긴ㅋㅋㅋㅋ",3.0,5개월 전
8,jimin3500,"여행 븨로그 자주 올려주세요,, 오로라 영상으로 보는데도 걍 힐링이에요 ㅠㅠ",4.0,5개월 전
9,bloomingHannah,힐링되는 부부 여행영상 이번편도 너무 좋아용,0.0,5개월 전
10,ssgv9ct,브이로그 힐링 그자체… 깡나언니 지짜 행복해보여서 저까지 기분좋아져요,1.0,5개월 전
11,userto6jz3ct9t,풍경 진짜 너무 예뻐요!!! 오로라를 몇 번이나 보고 온 깡나니 럭키걸~~,2.0,5개월 전
12,userwh9ug1zx1u,나도 깡나 온니처럼 핀란드 가서 천연(?) 얼음 커피 마셔보는거야~!~!!,11.0,5개월 전
13,vitamin8042,숙소뷰가 미쳤... 겨울왕국 깡나공주 그 자체,2.0,5개월 전(수정됨)
14,userwr1dj1ii3m,와 핀란드에 먹을게 진짜 없네요..ㅋㅋㅋㅋ 그나저나 오로라 너무 예뻐요ㅠㅠ,0.0,5개월 전
15,hhhy1225,진짜 넘 힐링돼요 ㅋㅋㅋㅋ 핀란드 꼭 가보고싶어졌어요,0.0,5개월 전
16,JJUNAJOA,너무 행복했...DA..,15.0,5개월 전
17,shakitbbosong,"와 핀란드 가서 오로라보기,,, 꼭 해보고싶네여 ㅠㅠㅠㅠ",0.0,4개월 전
18,donghyeon,"훗날 오로라 보러 가는 날
깡나니한테 자랑 오백번 하고 가야지 🥹",0.0,5개월 전
19,jiho1126,언니 제가 작년에 스위스 여행 가고 나서 신혼여행은 스위스다 햇는데 아녜요 핀란드네요 겨울에 결혼해서 저도 저런 오로라 헌팅 할래요....... 겨울나라를 너무 좋아하는 저에게는 환상의 나라예요ㅠㅠㅠㅠㅠ,4.0,5개월 전
20,annaTV,"http://instagram.com/kangnajj
여러분 진짜 오로라 꼭 보러가여 흑흑 너무 좋아 1탄도 꼭 보고오고!!!
1탄 : https://youtu.be/8785QFlUTV8",15.0,5개월 전(수정됨)
21,uujin2,우와 신비로운 오로라… 언니 정말 럭키걸!!! 저도 기받아가요 히히,1.0,5개월 전
22,usersf8vo6rd6x,오와 아이스초코 ~ 얼음대신 눈이라니 정말 눈이 깨끗하니 할 수 있는건데 먹어보고 싶어요 진짜 대리여행 감사감사,0.0,5개월 전
23,szio3203,핀란드 너무 좋아보여요!!!!,0.0,5개월 전
24,userrz9gw2xf2p,ㅋㅋㅋㅋㅋㅋ가이드분 볼수록 진국이란말 진짜 뭔가 언니답닼ㅋㅋㅋㅋ,0.0,5개월 전
