,youtube_id,comment,like_num,comment_date
0,10poundhairshop,"<텐파운드헤어 30%할인이벤트 공지>
9월에 제가 운영하고 있는 뚝배기샵 텐파운드가 30% 할인이벤트를 진행합니다!자세한 내용은 아래 링크 들어가시면 확인하실 수 있읍니다! 많은 관심 부탁드립니다! 성뚝!

30%이벤트 링크
https://m.cafe.naver.com/ca-fe/web/cafes/10pound/articles/193?useCafeId=false

찬살롱 서식하는 미용실: 텐파운드
경기 고양시 일산동구 정발산로 47 205호

탠파운드 헤어상담소
https://m.cafe.naver.com/ca-fe/web/cafes/30937272/menus/1

뚝배기관리사 일상 https://www.instagram.com/10pound_seojun",8.0,5개월 전(수정됨)
1,glory9224,"형님 제 머리카락이 
반곱슬 같은데 엄청 많이 뜹니다
예를 들어 그냥 원래도 머리 위쪽으로 잔머리들이 곱슬끼가 있이 많이 뻗치고
또 바람이 불면 보통은 머리가 날렸다 다시 원래 상태로 돌아오는데 저는 그냥 날린 그대로 있고 다시 안 돌아옵니다
그리고 모발이 얇은 편도 아닌데 이럴때 어떻게 해야합니까???",8.0,4개월 전
2,ojy7405,광대 튀어나온사람은 무슨펌하는게 가장 좋나요?,2.0,5개월 전
3,uservq8bj5mm7i,와 형님 3일전에 다운펌하고 이 고민하고 있었습니다,2.0,5개월 전
4,JONGcg6yi,서준형 얼굴 비대칭인 사람은 가르마비율 어떻게 타는게 단점보완이 될까요? (오른쪽얼굴 턱이 발달된 케이스),0.0,5개월 전
5,userbn1hn7sb7e,자기 머리 빼곤 완벽한 남자,1.0,5개월 전
6,cho8963,오랜만에 존나 배째지게 웃었슴돠 행님,2.0,5개월 전
7,shdjfn,오늘 다운펌 할까해서 미용실 예약했는데 이 영상보고 취소했습니다 돈 굳혀주셔서 감사합니다 형님!!,0.0,3주 전
8,userfe3bt2vl7n,아 진짜 썸네일 존나 웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㄲ,8.0,4개월 전
9,usertd6rb6hz9c,"형님이랑 얼굴형이 거의 일치해서 뒷머리 다운펌만 조지고, 어떤 스타일을 할까요?",0.0,5개월 전
10,wildturkey,근데 일주일만 참으면 다운펌이 살짝풀리면서 자연스럽게 눌린 옆머리됨. 그냥 다운펌 하고 일주일만 조롱을 견디세요,2.0,2개월 전
11,shlee839,"내가 그래서 다운펌을 안하지요~
잘보고갑니다 ",1.0,5개월 전
12,0yhun,앜ㅋㅋㅋㅋ 옆머리 길이 어느정도 해야지 자연스럽나유,1.0,5개월 전
13,whitedog1972,예시 사진에 극딜을 박으시네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1.0,1개월 전
14,usertw7yp6zl8e,형님 그래서 이렇게 다운펌이 ㅈ망했을때 대처법이 있나요,1.0,4개월 전
15,blanc6579,형님 미용실에서 볼륨매직을했는데 뚝배기가 그대로 두피랑 딥키스하면서 볼륨이 살생각이 없는 쥐새끼머리가 됐습니다 시간이 답인가요?,0.0,5개월 전
16,mickoonho8023,근데 요즘 인스타 미용실가면 다 고객님 15mm하시고 다운펌 이뻐요 ㅇㅈㄹㅋㅋ,1.0,2개월 전
17,usercn1sr8fv4s,형님 표주박컷인줄 알았습니다,26.0,5개월 전
18,bluespringds5us,다운펌이 이주일만에 풀리는 이유도 알려주세요...,7.0,5개월 전
19,userjj4gn3vg9v,어떻게 얘기하면서 눈을 한번 안깜빡거리지 ㅋㅋㅋ,0.0,3주 전
20,useres4bm7vs3h,"안녕하세요 
예전 드라마 슈트에서 장동건 머리스타일은 포마드 펌 스타일인가요??",0.0,5개월 전
21,usertt6tp3ms7b,오늘 뚝배기 머리 개박살 나고 찾아 왔습니다,1.0,3개월 전
22,usercu9hz9yq6h,사진들 하나같이 개긑이웃기네ㅋㅋㅋㅋㄱㅋㅋㅋ 아ㅋㅋㅋㅋㅋㅋ,4.0,4개월 전
23,userkt7ux2ce9q,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,5.0,5개월 전
24,userkn4zh5bw5l,썸네일무서워요..,0.0,5개월 전
25,one5806,발기모 ㅅㅂㅋㅋㅋㅋㅋㅋ,0.0,3개월 전
