,youtube_id,comment,like_num,comment_date
0,10poundhairshop,"<텐파운드헤어 30%할인이벤트 공지>
9월에 제가 운영하고 있는 뚝배기샵 텐파운드가 30% 할인이벤트를 진행합니다!자세한 내용은 아래 링크 들어가시면 확인하실 수 있읍니다! 많은 관심 부탁드립니다! 성뚝!

30%이벤트 링크
https://m.cafe.naver.com/ca-fe/web/cafes/10pound/articles/193?useCafeId=false

찬살롱 서식하는 미용실: 텐파운드
경기 고양시 일산동구 정발산로 47 205호

탠파운드 헤어상담소
https://m.cafe.naver.com/ca-fe/web/cafes/30937272/menus/1

뚝배기관리사 일상 https://www.instagram.com/10pound_seojun",4.0,6개월 전(수정됨)
1,YesIamHOON,행님 옆머리가 많이 뜨지는 않는편인데 곱슬기가 있으면 다운펌 안하는게 낫나요,0.0,5개월 전
2,userom9hn4rn3k,예전부터 쭉 투블럭을 하고 있었고 구렛나루가 자랄때마다 말그대로 세로로 자라는데 다운펌없이 기를 수 없나요??,0.0,6개월 전
3,usertq6ly4tl4q,저는 하관이 긴데 머리를 까기 싫으면 어떻게 해야될까요?,2.0,6개월 전
4,userzg8oh9if2f,형님 이마가 넓고 광대가 부각 되었고 코가 형님이랑 똑같은데 어떤 머리를 해야 할까요?,2.0,6개월 전
5,leechunja,형님께 머리 맡기고 싶은데 예약은 어떻게 하면 될까요,0.0,6개월 전
6,useriy8eh7vc2n,오 ,0.0,4개월 전
7,userbi8gr4wf5e,서준님 사랑해요..,4.0,6개월 전
8,usereq3vi1xz6d,형 얼굴이 둥근형인데 시스루펌 ㄱㅊ을까 댄디컷처럼 머리를 내리고픈데..,0.0,6개월 전
9,useryo6he6nb4b,제 뒷머리는 100명중 단 1명이 나올까말까하는 머리입니다 헤어 상담 꼭 답좀 부탁드립니다 헤어 상담 처음에 카페 있는지 모르고 메일도 보내버렸네요 .. 너무너무 고민입니다 ㅜ,0.0,5개월 전
10,userxp9tm3iz9n,모자이크 했는데 누군지 다 알겠네 ㅋㅋㅋㅋㅋㅋ,22.0,6개월 전
11,7,시스루 펌 해도 되나용,0.0,6개월 전
12,dhyune,"형이랑 머리 두상 비슷한데 머리 어떤게 이쁠까요? 
지금은 가르마펌",0.0,4개월 전
13,pizarra,ㅈ댇다,1.0,6개월 전
14,LGJD4,펌으로 추천해주십시요 형님,3.0,6개월 전
15,userjc7bq1ci1z,얼큰이에 마빡이에 난리났네요 ㅠㅠ 제 이야기 입니다.,0.0,6개월 전
16,userip7ig4wz9i,슈하~,0.0,6개월 전
