,youtube_id,comment,like_num,comment_date
0,chaeny1121,"봄웜 보송립 추천영상은 또 따로 찍어볼게용!!

인스타그램 : www.instagram.com/chaeny_1121

제품 정보 :

00:21 LIP1 봄브라이트 형광등 백개 터지는 자몽레드빛 탱글탱글 탕후루립

바닐라코 비바이바닐라 워터리 베일 틴트 CR01 캔디코랄 (봄라이트 추천&봄브 베이스립 추천)
바닐라코 비바이바닐라 워터리 베일 틴트 RD01 포피레드 (봄브라이트 추천)
바닐라코 비바이바닐라 워터리 베일 립 플럼퍼 

01:47 LIP2 탱글탱글 탕후루광택 피치 코랄 레드립

하트퍼센트 도트 온 무드 퓨어 글로우 틴트 11 저스트 코랄 (봄라이트 추천&봄브 베이스립 추천)
릴리바이레드 앙큼 라이어 코팅 틴트 08 당당한 방토인 척 (봄브라이트 추천)

02:49 LIP3 형광등 백개 봄브라이트를 위한 오렌지레드 립

하트퍼센트 도트 온 무드 퓨어 글로우 틴트 01 피치코랄 (봄라이트 추천&봄브라이트 베이스립 추천)
홀리카홀리카 하트크러쉬 글로우 틴트 에어 05 오! (봄브라이트 추천)

03:35 LIP4 봄웜 청순 청초 물빛광택 피치 코랄 레드 립

롬앤 듀이풀 워터 틴트 09 코튼 멜바 (봄라이트 추천&봄브라이트 베이스립추천)
웨이크메이크 워터 컬러링 퓨어 틴트 01 퓨어 레드 (봄라이트&봄브라이트 추천)

04:34 LIP5 웜쿨 모두에게 추천하는 시럽광택 존예립

얼터너티브스테레오 립 포션 아쿠아 글로우 03 슈가 로즈 (웜쿨 추천)
얼터너티브스테레오 립 포션 아쿠아 글로우 04 애플 드롭 (웜쿨 추천)

05:23 LIP6 사알짝 톤다운된 칠리~코랄~레드립

웨이크메이크 듀이 젤 글로우 틴트 03 칠 업 코랄 (봄라이트 추천&봄브라이트 베이스립 추천)
웨이크메이크 듀이 젤 글로우 틴트 05 센슈얼 레드 (봄브라이트 추천)

06:15 전색상 손목발색

06:25 전색상 손목착색",13.0,3개월 전
1,creaker3,와진짜 봄웜 찐 립리뷰는 여기가 1등 이에요........ 제가 딱원하던 그런 리뷰...대박이에요진짜 ㅠㅠ 실제로 쓰고있는 제품 색상 보정없이 최대한 그대로 표현해주셔서 감사해요,10.0,3개월 전(수정됨)
2,userbz3xg4bc2t,"예상치 못한 봄브진단을 받고 유튭찾아보는데 이 분 정말... 한 줄기의 빛입니다..ㅠㅠㅠ 유튭 찾아보면 봄브라고 쓰고 봄브인 화장품이 없어요 진짜ㅠㅠ 대부분 봄라, 봄라인데 봄브도 사용 가능할 거 같다 이러는데 제가 보기엔 그냥 봄라용..ㅠㅠㅠ 봄브 화장품이랑 친해지는 중인데 참고 진짜 많이해요-! 항상 감사합니당",20.0,3개월 전
3,userdx5cc8lm7t,"색조제품사면 다 비슷한 색깔인거 왤케 공감되죠?ㅎㅎ
저도 주로 연한 코랄에 레드로 안쪽 바르는데 얼굴이 환해져서 너무 예쁘더라구요 완전 봄웜 필승조합
오늘 메이크업도 너무 잘어울려요 ㅎㅎ",4.0,3개월 전
4,userzo7hd7hd2d,언니 너무 귀여우세요 틴트 언니랑 너무 잘어울려요 진짜 하나도 안 어울리는 게 없어요  ㅎㅎ 그리고 메이크업 너무 예뻐요 ,0.0,3개월 전
5,userne7eq6zo8r,봄브에겐 그저 편안한 영상..,62.0,3개월 전
6,isjeong,채니 님 저번 영상 보고 고민하다가 결국 바닐라코 워터리 베일 틴트 조합 샀어요!! ㅎㅎ 웨이크메이크 틴트들은 말씀하신 것처럼 살짝 어두운 느낌이 있기 때문에 여름보다는 가을겨울에 손이 더 잘 갈 것 같아서 일단 킵해 두고 여름에 맞는 맑은 색상을 발라 보려고 합니닷,0.0,3개월 전
7,bababaettyaa,와 이런 걸 원해써요.. 저도 봄브인데 봄웜립 하면 죄다 코랄핑크에 연하디 연한 립 추천해서 내 입술엔 티도 안나는 것들 뿐이라 한숨만 쉬었는데 얘네는 다 내 취향이면서 나한테 어울리는 색들이라 너무 너무 조아요ㅜㅜㅜㅜ 근데 전 지속력도 중요시하는 편이라 영상 마무리에 지속력이랑 광택감을 별 같은 걸로 비교해서 표시해주면 더 도움이 될 것 같아요! 우선 얘네들로 손품 팔아서 구매해야게써요 저 진짜 기뻐효 .. ,3.0,2개월 전(수정됨)
8,wamh4004,"목소리가 넘 듣기 편해요 !!
색감도 보정 많이 안하시는 건지 진짜 선명하네용...
립들도 다 넘 예뻐서 봄브 아닌데도 사고싶어요..진짜 인간 봄브셔요",0.0,2일 전(수정됨)
9,MINGSU,채니님! 봄브 보송립(매트립) 추천 영상도 올려주세요,1.0,1개월 전
