,youtube_id,comment,like_num,comment_date
0,chaerny,"[구독자 바이엘을 위한 이벤트]

참여 방법
- 채르니 채널 구독과 좋아요
- 인스타 @chaerny.chaeeun 팔로우!
- 댓글로 더 마음에 드는 룩을 입력하시면 참여 완료!
(🩷마이멜로디or 쿠로미)

추첨을 통해 베러 댄 팔레트 10호
#마이치어리가든 을 보내드려요
(광고, 협찬 아니에요! 사비 이벤뚜🫶)

당첨자는 7/17(월) 발표하도록 하겠습니다
Dm이나 메일로 성함/연락처/주소 보내주시지 않으실 경우
당첨 취소되신다는 점 유의해주세요",1.0,2개월 전
1,cherrymoon0111,🩷 쿠로미를 좋아하는 편이지만 언니한테는 마이멜로디 메이크업이 완전 찰떡콩떡인 것 같아요 핑쿠핑쿠한게 너무 귀여워서 너무 마음에 들었어요! 완전 마이멜로디의 사랑스러운 매력이 언니와 만나니까 더 사랑스러워 보이는 것 같아요!,2.0,2개월 전
2,usergw5py2ig6r,채르니님은 토끼상이셔서 마이멜로디가 찰떡콩떡이지만 개인적으로 아기 락스타같은 쿠로미가 평소에 잘 볼 수 없던 스타일인데도 넘넘 잘 소화하셔서 쿠로미에 한 표 던집니당🥹🥹,1.0,2개월 전
3,harhin97,"저는 쿠로미에 한표요요새 트렌드인 스모키 메이크업의 포인트를 콕 찝어서 잘하신거같아요! 덕후들 심장 뛸만한 룩ㅎㅎ 요새 유행하는 스모키도 찰떡으로 잘 어울리시네요 토끼상+스모키 완전 심장 뛰는 조합인거 아시죠..제가 그래서 지수 아이린 수지 스모키 악개에요 역시 토끼상 채르니님도 찰떡,,, 저도 쿠로미 메이크업 해보고 싶네용",1.0,2개월 전
4,userxs3pe2ft9h,"앙큼 쿠로미 
소올직히,, 평소 메이크업은 마이멜로디와 가깝지만, 요즘 스모키가 유행이라서 그런가 쿠로미를 좋아해서 그런가 앙큼쿠로미룩이 더 마음에 들어요  진짜 넘 예뿌,, 점점 메이크업이 진해지는게 몽가 악당이 나가기 전에 메이크업하는 느낌,, 근데 그 악당이 또 마냥 나쁜 애가 아니야(?) 지금 뭔 말을 하고 있는지 저도 모르겠지만 앙큼쿠로미가 진짜 넘 마음에 들어요! 유행하는 스모키라면 못참지요,, 요롷게 진한 앙큼쿠로미를 따라할 수는 없겠지만 색과 라이너를 살짝 덜어내면 데일리로도 넘 예쁠 것 같아요! 진짜 따라해보고싶다,, 어쩜 이런 룩까지 소화하눙거냐고요!",0.0,2개월 전
5,userps7zx3xq3i,키치한 쿠로미 메이크업이 눈매랑 넘 잘어울려요!!!,0.0,2개월 전
6,usersl3gd8yp7j,"눈망울 무엇,,, 항상 느끼는거지만 채르니님 눈에 꼭 필터씌우신 것 같음 눈 큰거랑 별개로 초롱초롱 눈망울 갖은 사람 드문데 부러워용",2.0,2개월 전
7,makiwq1ee,치키치키한 쿠로미룩이 좋아요  옷도 찰떡이네요,0.0,2개월 전
8,SONto4ip,채르니 Chaenry님 쿠로미 메이크업 아티스트 잘하시네요.,2.0,2개월 전
9,userov8pw2pp7k,우와 메이크업 팔레트 언니랑 너무 찰떡이예요 ! 저도 이벤트 참여합니당,0.0,2개월 전
10,userdi8bc8bh5c,렌즈 정보 알수있을까용?,0.0,2개월 전
11,akinuakinu2087,,1.0,2개월 전
12,kuromi526, 쿠로미 최고입니다아ㅏ,1.0,2개월 전
13,userbb2wy7rc4g,"얼굴에 표정에서 가끔 
배우 수지얼굴이 보이네요",2.0,2개월 전
14,jys961206,,1.0,2개월 전
