,youtube_id,comment,like_num,comment_date
0,chaerny,"00:00 인사
00:09 수술 부위
00:21 성형 조장에 대한 입장
1:39 병원 정보에 대한 입장
1:57 수술 당일 브이로그 시작
2:10 수술 전 팔뚝
2:25 수술 당일 인바디
2:45 지방 두께 초음파 검사
2:56 의사 선생님 소견
3:15 팔 지흡 상담
4:49 이중턱 초음파 검사/상담
5:57 수술 썰
7:25 수술 직후 회복실
7:47 직후 컨디션
8:12 마취 깨면서 비몽사몽
9:16 뽑은 지방량
9:59 당일 후기
11:21 지방흡입 하게 된 계기
11:51 다이어트 저도 해봤어요
13:01 수술에 거부감을 줄이게 된 계기
14:01 예약까지 걸었다가 취소한 이유
14:32 다른 부위가 아닌 팔/이중턱을 하게 된 이유
15:18 수술 2주차 만족도",1.0,5개월 전
1,soyeonoh3803,와... 저도 요즘 이중턱이랑 볼살 엄청 고민 중이었는데!!! 채르니님 얼굴라인 보니까 완전 뽐뿌 오네요!!!! 2주밖에 안됐는데 팔라인도 이중턱도 변화가 엄청 나네요!! 혹시 병원 정보공유 가능할까요....??,2.0,5개월 전
2,smilelh1nx,오우... 자세한 리뷰와 소감 좋아요! 근데 진짜 효과가 좋네요,0.0,5개월 전
3,userrq9xk6xt3z,평생 스트레스받지 마시고 허벅지도 하셔서 조금씩 관리 하면서 멋진 인생사세요.삶의 질부터 자신감까지 많이 높아질거에요.아주 예전 제가 그랬거든요~,0.0,4개월 전(수정됨)
4,userqh5yk2mq3l,"라인 너무 이뻐요~^^
오디서 이렇게 이쁘게 변신하신건가요?",0.0,5개월 전
5,userrz9ee7zt9m,채르니님 넘 이쁘세요.... 저도 다이어트 많이해봤는데 팔만 아무리해도 안빠져서 고민이었는데 혹시 금액대 몇백(?) 몇 십(?)대인지만 알 수 있을까요? .. 그리고 일상생활 언제부터 가능하셨는데 궁금해요!! 출근가능한 정도로요!,0.0,3개월 전
6,userut5pq2ff8u,"성형 조장에 대한 입장은 모든 성형,시술 관련 영상 찍으시는 분들이 동일하시네요. ’결코 조장하려는 건 아니다, 혹시 도움이 될까 하여 올린다‘. 그러나 시술 과정과 그 효과를 명확하게 담아 놓은 이런 콘텐츠들이 시청자들에게 과연 아무런 조장도 하지 않고, 어떤 영향도 주지 않을지에 대해 저는 개인적으로 회의적이에요.가뜩이나 외모 강박이 심한 청소년들에게 이런 영상이 제작자분들의 입장 그대로 받아들여질지 궁금하네요. 이건 채르니님 영상만 그런 게 아니지만요! 한편으로 예전에 성형이나 시술 관련 고민을 털어놓으신 영상도 봤었는데, 채르니님의 결정을 존중하고 응원합니다.",43.0,5개월 전(수정됨)
7,userwr7yw4kd6e,지방 흡입 하고 추후 관리는 어떻게 하셨나요!!,0.0,4개월 전
8,seunghochoi5050,누나 오랜만에 올리셨네요.  잘지네시죠? 안본사이에 체중 빠지셨네요.,0.0,5개월 전
9,avicii0420,"11:19 헐 너무신기해요,, 효과가 확실히 좋네요!!! 이런건 정보공유  불가능 인거죠..?",2.0,5개월 전
10,useriv9cn1pi1w,11:18 오 신기해요.. 진짜 얇아지네욤,2.0,5개월 전
11,userqo1mw5yb5u,수술 끝나고 따로 부작용이나 아프지는 않았나욤???,0.0,2개월 전
12,userku2un8bk2o,따로 상담 하면서 수술날짜를 잡으셨나용?!,0.0,4개월 전
13,dietdiettt,혹시 지방 1200cc면 몇키로인지 아시나요?? 수술 너무 잘된것같아요️️,0.0,2개월 전
14,usercm4ty3ic9k,지흡 절대 하지마세요 세포 죽어서 살쳐지고 주름 생깁니다 주글주글 찌글이 되요 시간이 지나면 지날수록 부작용 생겨요 절대 하지마세요,0.0,1개월 전
15,shp7195,"얼굴도예뿌신데 이제몸매까지 갖추셨고만요저도 어제하고왔는데 붓기가장난아니예요
몸무게도이키로가더찜ㅠㅠ4000cc뽑은거실화?
모든멍과통증이붓기가 옆구리로 몰빵한듯 ㅋㅋ
수술당일부터 팔이 그나마좀자유스러워서 스트레칭계속하는중이고 어제보다엄청부어서 압박복이 터지려고해요손도 도라에몸ㅠㅠ남은건 건강한다이어트입니다^^",1.0,4개월 전(수정됨)
16,useryf2qs8bp6s,견갑이랑 부유방 겨밑도 하신건가요???,0.0,3개월 전
17,usersu9vp4no4f,지금은 팔 안아파요?,0.0,2개월 전
18,userjt6dv9tz9s,와우.............,0.0,5개월 전
19,SONto4ip,채르니Chaenry님 아주예쁘군요.,1.0,5개월 전
20,JHYkpsUljin,채르니님 죄송한데 핏블리에서 휴대폰만 보고 두시간동안 쇼핑해놓고 대표가 폰 그만봐라 했는데 일을 줘야 하죠 쇼핑하면 시간 잘가요라고 한 무개념직원은 잘렸나요? 제발 잘렸길…,0.0,3개월 전
21,usersu1wb1hz9n,169에 67kg면 그냥 운동을 안한 몸인데 지방흡입 전에 운동을 제대로 좀 해보시지ㅠ 운동복 입은 모습보면 체형도 좋은 편인데 앞으로 계속 시술로 해결할까봐 우려스럽습니다.,1.0,3개월 전
