,youtube_id,comment,like_num,comment_date
0,usersu2kv7pk4r,친구분이랑 케이크 만드실때 서로 이름 불러주는거 쏘 다정 기부니 조아요,0.0,2개월 전
1,SONto4ip,CHAESO 채소님 먹는모습이 아주예쁘군요.,5.0,2개월 전
2,useruh5yk7rg7q,왁왁!!!!! 폰하다가 유튜브 알림에 채소님 뜨길래 호다닥 달려왔습니다 진짜 ㅠㅜㅠㅜ 대박 넘 오랜만이여요  넘 보구시퍼써요 채소님 요즘 부산 날씨는 맑고 청량했어요!! 채소님이 계신 곳도 맑고 청량한 날씨면 좋겠고 비 오더라도 뽀송한 하루 보내시길 바라요  저눈 오늘 기분 전환으로 머리 숱 치고 레이어드 컷을 하구 왔돱니다!! 헤어 디자이너 분이 빌드펌도 잘 어울릴 것 같다고 하셔서 조만간 도전해볼까 해용! 요즘 채소님은 어떤 하루들을 보내셨을지 모루겠지만 행복한 시간들로 채워졌던 나날들이셨길 바라요! 남은 금요일도 잘 보내시고 주말 미리 잘 보내세요! 여름이니까 건강 관리 잘하시길 바라요! 싸랑해요 채소넴 ,3.0,2개월 전
3,dainchoi3080,멋진 여성 채소 케이크 진짜 사신 줄 알았어요!,0.0,1개월 전
4,usercw7yv6kd1m,케이크 친구분이랑 만들 때 두분 너무 귀여우신거 아니냐고요!ㅋㅋㅋㅋ,0.0,1개월 전
5,userdp3dp3nr8q,너무너무 기달렸어요 ㅎㅎ,0.0,2개월 전
6,userbp9oc8nf3w,생일잔치 준비중 베스트 넘 궁금해요,0.0,1개월 전
7,Esthervf5jf,언니 셀프네일 영상도 보고싶어용ㅜㅜ,1.0,1개월 전
8,b0ngbong,11:01 채소님 샐러드 그릇 정보 궁금해용!!,1.0,2개월 전
9,userbj8qc9te1v,채소님 브이로그를 잘 볼게요,1.0,2개월 전
10,usernt2bo6fd1y,초반에 나온 리본 블랙 목걸이 제품정보 알 수 있을까용 ? 너무 이뿌세욤 ,0.0,2개월 전
11,schlee3083,2:15 하늘색 카라 집업 정보 궁금해요!,1.0,1개월 전
12,ddazzyy,셀프 젤 네일 후 제거는 어떻게 하나용 ???!,0.0,2개월 전
13,esfjuser,채소딕션 보려고 본다,45.0,2개월 전
14,usergz8zb6zi3s,남색 카라 골지 집업? 정보 궁금해요!!! ,0.0,2개월 전
15,dlddy0914,채소님 5:36 나오는 얼음바스켓 어디꺼에요???,0.0,2개월 전
16,userip7dg5ir2r,영상에 곱창밴드들은 어디서 구매하셨어요???,0.0,2개월 전
17,akinuakinu2087,🩷🩷,0.0,2개월 전
18,userjg7ki6qc6i,팔찌 정보 알 수 있을까요??,2.0,2개월 전
19,iamseungeun2470,컴퓨터 책상 정보있을까요?,1.0,2개월 전
20,silverlining3483,위스키 영상 한번 제대로 찍어주세요!!!,0.0,1개월 전
