,youtube_id,comment,like_num,comment_date
0,jinalee6708,"운동관련 컨텐츠 넘넘 좋아요  
좋은 자극 많이 받고 있어용 ",0.0,1개월 전
1,changheekim6599,너무 아름다우십니다! 소장님 운동복 구경 진짜 재미있어요!,1.0,1개월 전
2,shootingstar9682,"소장님 너무 귀여우시고 멋지시고 자기 관리등 너무 존경스러워요!!!!! 혹시 나중에 시간되실때 헤어관리법 꼭 부탁드려요~머리결이 완전 좋아서 부러워요~특별한 비법, 제품 꼭 기대할깨용",0.0,1개월 전
3,userwk5ip8fh4g,운동하기 싫을때 이 영상보면 힘이 날것같아요  건강미넘치시는 모습 멋진 몸매  예쁜운동복. 오늘 영상도     감사드립니다,0.0,1개월 전
4,yonikim2325,소장님의 컨텐츠는 언제나 힐링이어요아껴보고싶은 마음,1.0,1개월 전
5,userqy1fu1ze8x,매일매일 운동이라니!넘 이쁜 운동복과 몸매라니!!!,0.0,1개월 전
6,userpw5he9eu7k,넘~예쁘시군요 부럽습니다 좋은 옷들 많이많이 소개 해 주세용~^^,0.0,1개월 전
7,userqn8pc1wr7s,깔끔소장님의 청소루틴 보고싶어요~,4.0,1개월 전
8,userzd5nr8ky4p,"진짜 롤모델이세요
넘 예쁘고 멋지시고
소장님짱",4.0,1개월 전(수정됨)
9,userhm2pi1yz4r,소장님 옷. 소품 모두 센스쟁이세요,0.0,1개월 전
10,usercu9co2fi9z,오늘도 서장님 덕분에 운동해볼까... 자극받은 1인입니다 ,0.0,1개월 전
11,uservw8gj4bq4e,너무 귀여운 우리 소장님 ~ ,0.0,1개월 전
12,userrc9gt7wp3q,소색 필테복 사이즈도 궁금해요~,0.0,1개월 전(수정됨)
13,usermh1ol8jj3m,"소장님은 운동복도 이뿌네요
제 몸둥이에 입을만한 운동복은 없네요",0.0,1개월 전
14,anikapersonal,그렇게 잘 드시는데 배가 하나도 없으시네요  워너비 몸매입니당 ,1.0,1개월 전
15,sungyoon836,넘사벽 멋진 몸매&마인드 최고에요! 그래서 On 운동화 강추하세요??? 저도 애들방학 끝나면 운동시작하려는데 운동화 알려주세요~,0.0,1개월 전
16,sunggyusim7728,"매일운동하시나봐요
몸매멋져요",0.0,1개월 전
17,userjw4sp8ur3f,소장님.화요일 입으신 하얀색 탱크탑 브랜드 알려주세요,2.0,1개월 전
18,userit1rq5jn7b,소장님～입고 계신 흰티 정보 궁금해여-!,11.0,1개월 전
19,userrg1et1du3q,소장님~ 지금 착용하신 팔찌 궁금해요~,0.0,1개월 전
20,useroe3nf6ck4k,소장님. 금요일 유산소 룰루레몬 탑이 어떤 제품일까요...,0.0,1개월 전
21,userpz8sg7gu9h,"소장님 
소색?? 운동복위 입으신 

화이트 민소매 어디껀지 정보 알고 시포요~~~~",1.0,1개월 전
22,choheakim4700,나의 소비요정 소장님,0.0,1개월 전
23,userbq7vo3xo5u,몸매밖에 안보입니다요,0.0,1개월 전
24,adnsung870,다 이뽀요,0.0,4주 전
25,foxkim9955,세상에서 운동을 젤 시러하는 나는 모냥.ㅋ,1.0,1개월 전
26,userlv6jt6hd3q,나도 운동하지만 정말 짱이다!! 타고난 몸매!!! 저  칭찬 잘 안합니다!! 너무  좋은 라인 타고 났습니다!! 같은 여자로써!!!,1.0,1개월 전
27,useryh4uo8wm4n,"이쁜데.너무 비싸요.ㅠ
그리고 흉곽컨트럴 하셔야할꼬같아요.흉곽들림 안이쁘기도 한데 안정성도 무너짐니다.",0.0,1개월 전(수정됨)
