,youtube_id,comment,like_num,comment_date
0,justbaekjiin4962,소장님 브이로그 볼 때마다 느끼는건데 남편 분이 반응이 서윗sweet 하십니다 소장님을 아기baby 처럼 대해주고 말에 항상 반응이 좋으세요..저런 남편이라면 대화하고 여행친구로 참 좋겠다 싶네요..서로 너무 잘 맞으시는듯하네요^^,7.0,11개월 전
1,userkf1go9xn3w,은경씨 남편분 목소리 너무 좋고 둘이 어쩜 그렇게 사이가 좋은가요,25.0,11개월 전
2,userbp3qn7lh7k,열씸히 일한 소장님 원없이 먹고 쉬고 보고 ~~ 떠난 여행 충전 잘 하셔서 더 많은 에너지 뿜뿜 해주세용♡♡,5.0,11개월 전
3,usersv9ps5hn3k,"참 예쁜부부~!
다정하고 편안하고 너무 보기 좋아요~~♡",3.0,11개월 전
4,sooyeunchung1748,소장님의 여행 블로그 보니 호찌민 여행 저의 버킷리스트에 올렸어요! 드신 음식 하나하나 다 너무 맛있어보이구요 분위기 좋고 이쁜곳도 많은것 같구요 이번 영상도 감사합니다,3.0,11개월 전
5,anikapersonal,"우오앙…. 여기 저희 집 근처 호텔이에요 호치민에서 구독하는 입주민인데, 소장님이 왔다가셨다니!!!!!! ",1.0,11개월 전(수정됨)
6,userwk5ip8fh4g,먹어서 세계속으로 ㅎㅎ 베트남여행 정말 맛있게 멋있게 보여주셔서 감사합니다. 여행에서 입으셨던 의상들 다~너무 예뻤어요 수영복입으신 모습도 최고셔요  역시 관리의 여왕이십니다,3.0,11개월 전
7,miheaye718,"2군을 왜 안가시나?했더니 역쉬 :)
타우디엔 이뿌죠 ^ ^ 오래 살다와도 그곳이 늘 그리워요.유럽에 살고 있지만 저의 원픽은 호치민 입니다. 자주가던 곳 영상으로 보니 너무 반가웠어요~",4.0,11개월 전
8,userum6cn2zo6s,"최소장님 유튭보면서 에너지 많이 받고 갑니다 
열심히 사시는 모습에 반성많이 하게 됩니당ㅋ
즐건 여행되셨길^^",3.0,11개월 전
9,usercu9co2fi9z,"소장님~ 즐겁고 행복한 충전하셨네요 
보는 저도 즐거웠어요 ~",2.0,11개월 전
10,akid2714,태국편도 이번 여행지 패션도 역시 채고️스타일 좋으셔서 구경 잼️,0.0,11개월 전
11,seven08196,유앙- 호텔 리뷰가 너무 좋네요- 베드남 음식이 넘 맛있는데 시내 오토바이때문에 저도 힘들었던 기억이 있었거든요~~,0.0,11개월 전
12,userkk9cy4ex3e,미아 사이공 옆에 살고있는 주민입니당..늘 가던곳을 이렇게 영상으로 보니 조으네요•~ㅎㅎ,0.0,11개월 전
13,userwl6ci5kz1l,"은굥님  알콩달콩 사는모습이   부러버요
힐링 잘 하고   왔다니   구독자로 기분이가  좋네요 
매력발산  기대 할께요",3.0,11개월 전
14,userrd4eo4ju7d,잘보고 가욤 소장님♡ 힐링되요 정말^-^,1.0,11개월 전
15,userlm5tv1td5w,베트남 음식이랑 주변경관 호텔이 너므 좋네요,0.0,11개월 전
16,tokiya7235,"뒤에 허리 뚫린 드레스 넘 이쁘네여 
어디껀지 궁금해여 ~~
남편분은 소장님이 사랑스러워서 내내 허허 웃으시는 푸근하신 분이네요 
리뷰 보는 제가 힐링되네여 ",2.0,11개월 전
17,usermh1ol8jj3m,소장님 리뷰 참고해서 여행계획 세울께요 ㅎㅎㅎ,0.0,11개월 전
18,userzo7rt9ev7i,마지막 호텔리뷰 너무좋으네요~^ 잼나게 잘보고있어요!!^^,2.0,11개월 전
19,usernv5uk3ks1s,호치민 가고시포요~~너무 예쁜곳이 많아요 호텔두~~~♡♡♡,0.0,11개월 전
20,userzi5bn3xz7s,"언제나 에너지 넘쳐서 좋아요♡
얼굴에 패치 정보 좀 주세요 ㅎ",0.0,11개월 전
21,usernt3np6px4v,"촬영 정말 잘하시네요~~
잘봤습니다",0.0,7개월 전
22,userrl4re9ef3v,"즐거운 시간 보내셨네요
이 에너지로 서울에서 뵈요^^",1.0,11개월 전
23,usertb6gh8cs2v,"저는 기분좋아지고 싶을때 
 꼭 관리사무소를 봐요ㅎㅎㅎ
이상하게 기분이 좋아지더라구요^^*
오늘도 좋은하루되세용~~~",1.0,11개월 전
24,useror2jp5um2k,"흐헐~~떠나고싶어용~~
귀욤은경님밝은에너지 짱조아",1.0,11개월 전(수정됨)
25,lovelovelove,은경씨 잘보고있어요 저도 유튜브 잘되게죠 보면서 응원에 힘 얻어요~!!좋아요 눌렀어요,0.0,11개월 전
26,cobam858,한개도 안빠지고 보고있어요 많이 배웁니다 저의 워너비예요,9.0,11개월 전
27,userkq7se9mq2x,"예쁜 숟가락산 쇼핑몰 넘 예쁘네요~~!!
참 얼굴 패치도 궁금해용~~~^^",0.0,8개월 전(수정됨)
28,userje2pn6un4e,남편분이랑 꽁냥꽁냥 금슬좋으시네요,0.0,11개월 전
29,userpf2nh4ez1r,수영복정보궁금해용,0.0,11개월 전
30,userst7bv3ot7q,소장님~덕분에 호찌민 여행 가고 싶네요.근데 그릇 소품들이 다 이뻐요.제 스타일이네요,0.0,11개월 전
31,userpb8ep9gh9p,2탄도 멋져요,0.0,11개월 전
32,uservx4hu9sp3s,언니 너무 이뻐요. 좋은 에너지 많이 받고 갑니다^^ 아. 수영하실 때 쓰신 모자 어디껀지 너무 궁금해요.,0.0,11개월 전
33,userrc2ek4ro7b,너무 맛있겠다 그리고 즐거웠겠어요,0.0,11개월 전
34,userht7gw9ww1c,"I love Vietnam, Thailand, Indonesia ~~~~",0.0,7개월 전
35,userev5pp2vo7i,부럽당~^^,0.0,11개월 전
36,userwk1jy3ut6b,"보는내내 소장님따라 예에~~~히히~~덕분에 기분이가 좋아지네요
허즈방구뽕님이 업어도주시고
좋겠다리
난 울남편이 업어주면 발이 땅에닿아
의미읍써 ㅜㅜ",1.0,11개월 전
