,youtube_id,comment,like_num,comment_date
0,userpx7og7bq8z,"8:24 사랑하는 춤추는 선진이 구독자 여러분 
오래 오래 기억하고 함께 해주셔서 감사합니다. 다들 덕담 고대로 ~ 가져가요 !! 
사랑스러운 여러분 모두 따뜻한 겨울을 보내기를 바랄게요 ~ 우리 또 만나요 ! 안뇨 ️️️️ - 화무녀 (still..)",8.0,9개월 전
1,dailyomi1016,너무오랜만이시다 ㅜㅜㅜ 반가워요 친구분 ㅋㅋㅋㅋㅋㅋ선진님 영상 다본사람으로써 너무 반갑네요진짜ㅋㅋㅋㅋㅋㅋ️,12.0,9개월 전
2,dayeonjeong2062,넘 사랑스러워요 두분다  어디서 이런 귀여미들이 나타난건가영 기분 좋아지는 영상이네용 ️️️️️,3.0,9개월 전
3,userzm8bp8nz5y,영상 항상 잘 보고있고 댓글은 첨이네요.. 예전에 고딩 때 화장품 무관심녀분이랑 나오는 영상 재밌어서 맨날 돌려봤었는데 저 벌써 지금은 직장인이 되었어요🥹 오랜만에 두분 나오는 영상 보니까 추억도 새록새록 나면서 너무 행복하네요 선진님 코로나 조심하시고 항상 행복하세요,5.0,9개월 전(수정됨)
4,mooji,헐 진짜 화장품무관심언닠ㅋㅋㅋㅋ너무 오랜만이다ㅠㅠㅠㅠㅠ️️이 조합 사랑하는 1인으로써 너무 영상보기 설렌다오늘 영상도 잘보고갈게요,5.0,9개월 전
5,tree9982,너무 사랑스럽네요♡♡♡ 늘 상큼 유쾌한 모습 멋져요~~^^*,2.0,9개월 전
6,dong1002,"너무 아름다운~~ 화무녀의 영상 잘 봤습니다~~^^   두 분의 케미를 보며 웃느라 잇몸이 다 말라버렸습니다~^^
항상 건강하세요~~~ 건강 최고 !",2.0,9개월 전(수정됨)
7,anri5895,"저 영상이 6년전이라니 실화!?!?
그럼 나도 선진이를 알게되서 6년정도 됬다는거구나...신기해ㅎㅎㅎ
앞으로도 많이 응원할겡~️️",4.0,9개월 전
8,Christinapark,"선진쌤!! 오늘 영상 너무 재밌어요!!  텐션 너무 좋으신데요~ㅎㅎㅎ 
너무 귀여우세요ㅋㅋㅋㅋㅋㅋㅋㅋ 
저도 제 mbti 부심 있는데ㅋㅋㅋㅋㅋ
선진쌤 이랑 친구랑 자주 가는 맛집 어딘지 궁금해요~~ 맛집 저두 가고 파용! 저 피카소 브러쉬 탐난당!! 블러셔 브러쉬~~ 우왕! 칼국수 맛나게 드셨기를! 쌤 오늘 영상 완전 웃으면서 봤어용!! 밝고 클스마쓰 분위기 느껴져서 좋았어용!! ",2.0,9개월 전
9,yunaartist3724,"비디오 고마워요! 채미있어요 ㅋㅋㅋ
️️
아, 한국어로 일해야 해. 저는 여전히 모든 것을 이해하는 데 어려움을 겪고 있어요…",2.0,9개월 전(수정됨)
10,tnstngka1950,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  제발 좋댓구알ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  인투로부터 웃기다ㅠ,2.0,9개월 전
11,userve5lq7po7n,역시 엔티제는 인프피다,0.0,2주 전
12,userrw2jk3uh5z,바로 좋댓구알 좋댓구알,2.0,9개월 전
13,dansejin,ENTJ 🫶 INFP,4.0,9개월 전
14,dannychoi1103,좋댓구알 ㄱㄱ,0.0,6개월 전
