,youtube_id,comment,like_num,comment_date
0,userqe5ys5gc9s,"놀이와 쇼핑, 패션에 관한 이야기 소개가 함께 있는 영상은 언니꺼가 가장 재미있어요 
2023년에는 터닝포인트가 될만한 좋은 일이 생겨서 지치지 않고 일 하시면 좋겠습니다
언니의 영상을 꾸준히 보고싶어요..!
건강하시고 새해복 많이 받으세요 
치유 포에버~~~~♡",7.0,8개월 전(수정됨)
1,userpc9wz9yk6k,"진짜 보는 사람 기분 좋게 드시는 것 같아요>.< 
올해 행복하세용!",3.0,8개월 전
2,priasece,"넘 재밌어용  치유님은 패션에 대해 쉽게 설명해주셔서 이해가 쏙쏙 된답니당 :) 신진 디자이너는 나의 이야기를 들어주길 원한다란 말, 왜인지 뇌리에 콕 받히네요 ㅎㅎ 2023년엔 저도 치유님도 맘껏 내 이야기를 펼치는 시간이 되면 좋겠네요! 미리 해피 뉴 이어",2.0,8개월 전(수정됨)
3,userjh3le8xk1j,"2023년도가 새로 다가왔네요! 
치유님 새해 복 많이 받으시고 
영상 보는데 역시 옷을 만드는 
디자이너라서 그런지 옷감 대한 세세한 설명을 잘해 주셔서 옷에 대해 무지해도 재밌게 보았어요!",0.0,8개월 전(수정됨)
4,lettreton7132,새해 복 많이 받으세요 올해 즐겁고 멋지게 보내세요,1.0,8개월 전
5,userxk4kc9xd5v,치유님 새해복 많이 받으세요,1.0,8개월 전
6,wideboom3073,이언니 왜 점점이뻐지지♡♡♡♡,2.0,8개월 전
7,userxd2ne1nx7h,"따로국밥, 삼송빵집도 있어요",0.0,8개월 전
8,usergq9ux6rn7z,첫장면 부터 먹는거야 너무 좋아,6.0,8개월 전
9,userrd5mi9vm9m,치유언니 새해복많이 받으세용🫶🥹,2.0,8개월 전
10,dandelionlily,혹시 이 원피스 어디 건가요.. 너무 제 취향이라...,1.0,2개월 전
11,userec8wd5kz9o,"1등이다!
+언니 2023년에 새해 복 많이 받으세요^^",1.0,8개월 전(수정됨)
12,userxd2ne1nx7h,왕거미 가셨나요 ,0.0,8개월 전
