,youtube_id,comment,like_num,comment_date
0,naeomcity,코코언니는 옷태가 간지나서 보는 즐거움도 있고 구독자들 위해 뭔가 재밌는 템 들고와주셔서 설명해 주시는것도 너무 좋아요.,15.0,3개월 전
1,userwv1ud2fb5i,늘 이쁜것만 사는 초이언니! 너무 예뻐요^^,2.0,1개월 전
2,jhchoi1344,코코언니 너무 좋아요,3.0,1개월 전
3,cappununa2193,코코언니 제품보는눈이 역시 다른것같긴해요 언니가사오면 다 이뻐보이는 마법,1.0,3개월 전
4,userdancer420,"디올은 좀 가격대비 실용성이 떨어지는 느낌이라...근데 오늘 소개해주신거는 수납도 괜찮고 휘뚤마뚤 가능할것같아서 너무 
혹하네요  이런 좋은 신상들 소개해주셔서 감사해요 
구독과 좋아요는 
 사랑입니다 !!!!!",2.0,3개월 전(수정됨)
5,ggoodbtt5099,디올 가방 엄청 예뿌네요 ,1.0,1개월 전
6,inb11,디올 옷들 어쩜 다 이쁜것만 사셨어요?,20.0,3개월 전
7,Anthonytv458,언니말이 맞네요.진짜 유행이 없네요. 가방에서 느꼈는데 오 좋아요.,6.0,3개월 전
8,Silver099,"요즘 디올 니트 입으신 분들 많던데 Christian Dior 글씨가 새겨져 있어서 고급져요. 저는 디올을 사랑해요우아하고…유행도 안타고 
15년 전에는 그냥 Dior (Christian 이 단어 뺐는데) 마리아 그라치아 치우리 디자이너가  북토트 백 만들면서 부활시켰어요. 풀네임으로 했을 때 발음이 아름다운 명품 브랜드입니다.",9.0,3개월 전(수정됨)
9,yeeun4976,"다 딱 마음에 드네요
스트라이프 니트 저거 하나 사면 뽕을 뽑겠는데. 가격 검색 하러 슝 디올로 갑니다.  오늘도 굿템들 소개 너~~어무 감사 드려요🫡",3.0,3개월 전
10,jordi303,골격유형별 가방 스타일 딱  정리해서 알려 주셨으면 좋겠어요  가방살때 참고하고 싶어요,2.0,3개월 전
11,peachmond,디올 가방 너무 예쁨요,6.0,3개월 전
12,shb7414,파리지도 북토트 얼마전 구입했는데 예쁘다 소릴 정말 많이 들었어요~~  전 디올백이랑 1423 불랙 깔깔이(?) A라인 스커트랑 매치했어요!!,2.0,3개월 전
13,jinnyspectrum,퍼스널몸매유형별 어울리는 가방사이즈 꿀팁!!!너무 유용했어요 제 퍼스널몸매유형은 뭔지 알아내야겠네요ㅋㅋ,1.0,3개월 전
14,usermo5rh9zq7i,여름에 들기 딱 이쁘네요,1.0,2주 전
15,SKjw5ot,"벌킨25 vs 30 각각 장단점 각 사이즈 추천하는 대상, 추천이유 컨텐츠 영상좀 만들어 주실 수 있나요? 해외 영상은 많은데 한국유튜버들 중엔 비교 영상이 없어서 코코언니 리뷰 하시는거 보고 싶어욬 요즘 미니백이 하도 유행이라 30 팔아야 하나 유혹이 와서",0.0,3개월 전
16,userhu4sj5zd1i,"언니 눈이 보물이네요
어쩜 그렇게 예쁘고 품격있고 우아한  아이를 잘골라내는지~",3.0,3개월 전(수정됨)
17,userxi1ly6xk4v,"코코초이엉뉘~ 옷,가방 넘 이뻐용~",3.0,3개월 전
18,yourgenius007,디올을 다 갖는 법 ,3.0,3개월 전
19,lujaytube,저도 다을옷너무 좋아해요,0.0,3개월 전
20,clover2294,"디올,돈 안들이고 구경 잘 하고 갑니다^^~~",1.0,3개월 전
21,userdq2kt7er8b,듣고보니...디올컬렉션 빠져드네요~,1.0,3개월 전
22,userlh5nh5kz2m,코코언니는 어렸을적 짝퉁도 사보셨나요? 궁금해요 ㅎㅎ,0.0,1개월 전
23,rebeccalee3605,정말 넘사!! 디올언니~~^^,0.0,3개월 전
24,userwv9vc7wl1t,그래도 저도 샤넬보다는 디올….요즘 샤넬이 이쁘긴 하지만 디올이 러블리 하더라구요ㅠ 근데 이번에 샤넬 22백 데님으로 나온거 보고 마음이 샤넬로 다시 가요ㅠㅠ,1.0,3개월 전
25,userkj5hp5ic2l,언니 22미니 화이트 드뎌 겟했어요. ♡,3.0,3개월 전
26,userhc4zg5ot2n,이뻐여~~ ,2.0,3개월 전
27,jihyevenus,링귀걸이 착용하신건 어디건가요~~ 너무 이뻐요!!! 시선강탈!!,0.0,3개월 전
28,usermg7um2fq4l,저는 요즘 뷰드팍이 제일 예뻐요~,1.0,3개월 전
29,userob4nt4pu7d,공홈에서 보고 꽃혀있는거네요@.@ 수납력 괜찮나요?,0.0,3개월 전
30,userkj5hp5ic2l,디올 백 사러 압구정 현대 갔는데 다 팔렸데요 ㅠㅠ,0.0,3개월 전
31,miokkim2603,,0.0,3개월 전
32,luckyrangE,,0.0,3개월 전
33,userli3ue3wp6g,저..언뉘 땜에 요즘 디올만 판답니다.^^ㅜㅜ,0.0,3개월 전
34,userzn9fc8cm6f,"청반바지 예뻐요^^
브랜드가 뭐예욤^^",0.0,3개월 전
35,87yenamom,디올 립스틱 있어요,5.0,3개월 전
36,usergs8qg1zp5v,10만곧이네요^^고고,0.0,3개월 전(수정됨)
37,eunlb6ko,자막 때문에 제품이 잘 안보여요,0.0,3개월 전
38,margot7074,예쁘다예쁘다,0.0,3개월 전
39,yj7044,가방 잘 어울려요!! 그런데 웨이브 몸이 뭐에요~?,0.0,3개월 전
40,userdz3te3ew6f,뭔소리에요 코코언니 완전 날씬한데,11.0,3개월 전
41,userty6eq1wy4d,굿 초희‘s,0.0,3개월 전
