,youtube_id,comment,like_num,comment_date
0,pletres5976,"잘하셨어요! 큐도리님 서핑 안맞는것 정확하게 인식하시고, 안하는게 당연히 신체 안전에 이롭습니다. 감사드립니다 큐도리님. 안전이 제일 이예요!",0.0,10개월 전
1,dul1693,뭔가 뇸뇸 거리는거 같아서 커여우심,0.0,9개월 전
2,useric5ng1nv6t,왜케 귀엽죠;,0.0,1년 전
3,userwn9en6js7z,브이로그 자주 올려주세요 퓨ㅠㅠㅠ 많이 기다렸습니당.....!,0.0,1년 전(수정됨)
4,xptmxmdyddla,꺅 영상 자주 올려주세요 ㅠㅠㅠㅠㅠㅠㅠ,0.0,1년 전(수정됨)
5,userze1ox9gs2n,기다리고 기다리던 출근길 브이로그이다!!,0.0,1년 전
6,userlp1um2pm8y,지각은 필수 보정어플은 선택,4.0,1년 전
7,Shru8gx,기초화장 아주 열심히 하셨네요 ㅎㅎ,1.0,1년 전
8,mimixz1st,,0.0,1년 전
9,nowaygt1160,짧게 짧게 올려도 볼게요 자주 올려주삼,0.0,1년 전
10,userjy6ow2vs6y,누나!! 안녕하세용,0.0,1년 전
11,userxx2pr5sz2s,운전씬은 눈이 작게 나오는거같은데...,0.0,1년 전
12,summer3165,큐하~,0.0,1년 전
13,softgyo,이게 그 전설의 페라리인가요?,2.0,1년 전
14,usersc5ku9et7d,잘보고갑니다,0.0,1년 전
15,so6751,왜 이제 오셨어요..,0.0,1년 전
16,fjwujsjsj,운전중에 핸드폰을 만지시네? 자료 백업해뒀고 신고할게요,1.0,1년 전
