,youtube_id,comment,like_num,comment_date
0,sunnuy911,포렌코즈 발색력이 뛰어나서 초창기때부터 꾸준히 썼어요 진짜 가격도 합리적이라친구들과 나눠쓰기도 좋고 앞으로도 미니백에 넣기좋은 미니사이즈들 많이만들어주세요 ,1.0,2개월 전
1,uservm6tu3pd5g,"포렌코즈는 진짜 발색력이 미친 것 같아요 ㅠㅠ 너무 독보적인 것 같은... 
색감 디테일도 완벽하고, 지속력도 강한 거 완전 실화인가요? 여름에는 땀 때문에 무조건 잘 지워져서 밀착력, 지속력 강한 제품을 먼저 찾게 되는데 그 부분에서 포렌코즈 단연코 원탑... ️
게다가 색감이 웜쿨 모두 구분없이 사용이 가능할 것 같아서 친구랑 같이 구매하려고요!!",1.0,1개월 전
2,userii5dq1lu9f,브말템 왤케 오랜만이에요?? ㅠㅠ,73.0,2개월 전
3,useryr3sd6po9u,소문으로 타투 틴트하면 포렌코즈라 하는걸 들었었는데 아직까지 써보질 못해서 제품이 너무 궁금했어요  브말템 포렌코즈 마케터님이 영상에서 말하신거처럼 수정할 필요가 없을 정도의 지속력이라하니 더 더욱 기대가 돼요 수정화장 없는 립이라니 저같은 귀차니즘에겐 딱이에요,1.0,1개월 전(수정됨)
4,solutiony4515,"평소 립 제품에 관심이 많은데 포렌코즈를 알게 돼서 반가워요:) 자연스럽고 지속력 좋은 발색감이 호감입니다  
날씨에 따라 웜/쿨톤에 따라, 그날그날 취향에 맞춰 활용하기 너무 예쁠 것 같아요 ",0.0,1개월 전
5,userde1ye8vr4c,"포렌코즈 발색력 왜이리 좋나요...?
게다가 색감 디테일이 어마무시해서 사계절내내, 웜쿨 퍼스널 컬러에 구애없이 사용 가능할 것 같아서 얼른 올리브영가서 실제로도 테스터 해보고 싶어요 🥹🫶",2.0,1개월 전
6,prepure9,포렌코즈 올리브영에서 많이 봤었는데 사실 이렇게 좋은 제품인지 몰랐어요... 그냥 발색 좋은 틴트라고 생각했는데 이렇게 컬러들도 다양하고 미친 발색과 지속력을 가진 제품이었다니 여름에 특히 덥고 땀나고 수정도 귀찮고 해서 지속력 짱짱한 립 제품 써보고 싶었는데 이 영상보니 영업 당해서 당장 써보고 싶네용,0.0,2개월 전(수정됨)
7,userce2jq2ex3b,포렌코즈 진짜 매트파로써 정말 애정하는 브랜드에요️ 요즘 로드샵에선 촉촉한 립들만 나와서 아쉬웠는데 매트립 좋아하는 저는 포렌코즈가 있어서 참 다행인 것 같아요 기존 타투 끌레르 벨벳 틴트도 잘 썼었는데 담당자님이 소개하신 퓨어 픽싱 틴트는 얼마나 좋을지 기대돼용,0.0,1개월 전
8,Zzzzz22,와 시간이 지나도 언제나 예쁜 색이라는 표현 너무 좋아요 ...️ 영상에 나오신 분 말 너ㅜ무 잘하셔요!! 속타투틴트 화장 처음 배울 때 사봤던 건데 좋아요!!!! ️ 저랑도 추억 깊은 브랜드가 나와서 잘봤어요! 여름에 수영장 바다 계곡 많이 가는데 딱 필요한 틴트네요!!,0.0,1개월 전(수정됨)
9,userjq3un7jq7w,포렌코즈 립 유명한거 넘 알고 있었어요 !! 엄마한테 타투벨벳틴트 선물로 드렸는데 넘 잘 쓰고 있고 한번 바르면 수정화장 별로 안해도 되서 편하다고 하시더라구요 >< 최애템 소개해주신 제품들 넘 잘 보았습니닷 ,1.0,2개월 전
