,youtube_id,comment,like_num,comment_date
0,PICHU0302,쇼핑몰 사업에 관심이 가는데 저도 실행해보고 싶네요. 유튜브 잘 봤습니다!!,1.0,4개월 전
1,ChaChapr4gl,와 쇼핑몰 엄청 잘 되시네요^^역시 17년차의 짬바인가요,1.0,10개월 전
2,usermo7hw7zy1y,즐겁게 일하는 모습  보기조아여---^^,1.0,11개월 전
3,userhs1pu1kg8v,쇼핑몰 10개월차 인데 12월부터 해서 지금까지 좀 비수기인듯 주문이 멈추네용 ㅠㅠ 넘 속상하지만 •• 쇼핑몰 자리잡으실 때까지 얼마정도 걸리셨을까요 쇼핑몰은 아무래도 천천히 오래 키워간다는 느낌으로 열심히 해야겠죠 !!?,2.0,6개월 전
4,marvinlee2567,항상 건승하길 바랍니다!,1.0,11개월 전
5,jennypick0324,저 진짜 마리님 너무 존경해요 ㅜㅜㅜ 조언 얻고 싶어요 ㅠㅠㅠㅠ,1.0,9개월 전
6,userlv4ix3gk3n,사장님 안녕하세요! 영상 너무 잘보고 있습니다ㅠㅠ! 저는 지금 월매출 5천-8천정도 되는 쇼핑몰 운영하고 있는데요! 혹시 아침에 사입종이? 입고된 내역 엑셀로 받아보시는거 같은데 따로 프로그램을 쓰시는건가요? 저도 삼촌 쓰는데 저희삼촌은 그런게 없다고 하셔서요ㅠㅠ 그리고 재고같은 경우에 그달에 매입을 미리 몇달치로 많이 잡으면 (단독 주문 등) 가끔 매출보다 매입이 많아져서 회계상 마이너스가 나는데 이럴떄는 그냥 이번달은 마이너스다~ 이렇게 생각하고 운영하면 되는건가요? 재고를 정산할때 어떻게 반영해야할지 몇달째 알아보고 있는데 모르겠어서요ㅠㅠ 구구절절 댓글달아서 죄송합니다ㅠㅠ 그리고 혹시 컨설팅 같은것도 하시는지 문의드려요! 유료여도 어디 물어볼데가 없어서 너무 받고 싶습니다ㅠㅠ !,0.0,4개월 전
7,soosoo5271,"저 뭐 한가지만 여쭤봐도 될까요?
인터넷 쇼핑몰 시작하려 하는데
약국에서 8시30부터~저녁6시까지 주5일
일하면서 쇼핑몰 시작하는건 힘들까요?
초반에는 주문량도 없고 부수입이 있어야 할 갓 같은데, 아니면 하우5시간정도만 알바해서
120만원정도 벌고, 쇼핑몰에 시간 투자하는게 좋을까요?? ㅠ 바쁘실템데 답변해주시면 정말 감사하겠습니다!! 동대문 도 가보고 신마더 봤는데 신마에 안올라온 상품고 너무 많아서, 주1회정돈 동대문도 가야할 듯 싶더라구요..",1.0,7개월 전
8,userqp7nx4tz5s,역시 17년차는 다르네요.. 저는 물량 많은날은 엄청 조급하고 불안한데 ㅠㅠ,1.0,11개월 전
9,usernw9sv1dv9g,3pl 안쓰는 이유가 있을까요? 안쓰고 직접 포장하는 쇼핑몰이 많아서 궁금해요,1.0,11개월 전
10,userxq3ux6cv2u,도매시장에 가지 않고 앱으로 주문 어떻게 하나요?,1.0,8개월 전(수정됨)
11,dear6457,"안녕하세요! 
직원분들이 총 몇분인지 알수있을까요?",1.0,10개월 전
12,JJgy7cm,쇼핑몰 사이트 궁금해요,1.0,10개월 전
13,nebranc,자꾸 다이어트...다이어트라는데요???뭔가 이상해요ㅋㅋㅋ,1.0,11개월 전
