,youtube_id,comment,like_num,comment_date
0,kyongcha6416,팬아시아님의배려하는모습아름답습니다. 대박 나세요 ️,10.0,6개월 전
1,mujeresbellassiempre1895,Me encanta tus videos ️🇦🇷,3.0,6개월 전
2,userpo4xn9yk2o,세련된 코디에대한 세분의말씀 잘봤습니다 감사합니다 ~,5.0,6개월 전
3,userci8ns6tf3q,패션의 자유는 나만의 개성을 살리다.!!️️,5.0,6개월 전
4,ehauthor2321,"경미님, 스카프가 너무 멋져요. 샤넬 로고가 보이는데, 제품 알려 주시고, 어떻게 코디한건지도 궁금해요~~",0.0,4개월 전
5,LifeModaIsraelChristina,안녕하세요.  정말 멋진 비디오입니다.,1.0,6개월 전
6,choonyoon9099,"아름다우십니다.
관리를잘하신구독자! 이십니다.
멋쟁이선생님!전문가다우셔서 최고입니다.!",4.0,6개월 전
7,userld2tj3xl8x,구독자님도 너무멋지세요^,5.0,6개월 전
8,userbz6iy6xp5y,가디건 저도 좋아해요~~~,2.0,6개월 전
9,stella9838,"나오신 두분 멋지시고
두분 닮으셨어요.
포인트 , 중요해요.",7.0,6개월 전(수정됨)
10,userbz6iy6xp5y,저두 첨부터  구독자여욥^.~_,3.0,6개월 전
11,telk5159,팬아시아님  경미씨  벚꽃  머플러 너무예쁘요. 어디건지 좀 알려주세요.,0.0,4개월 전
12,liudmilamostovaya2143,,1.0,6개월 전
13,userjj4kp8td3k,이쁘신분들만  나오셨네요,6.0,6개월 전
14,userpp2ot2wx9j,두분 50 대이신가요?60대이신가요?,3.0,6개월 전
